track,arm,fid,inception_score,delta_from_ode,samples,full_calls,prefix_calls,median_seconds
ig,ode,99.92353496196989,36.48311996459961,0.0,400,128,0,0.7622783202677965
ig,ode_competitor,99.35722895565505,36.09285354614258,-0.5663060063148464,400,128,0,0.8001969666220248
ig,sde,102.11439747057318,33.39377212524414,2.1908625086032885,400,128,0,0.7712355023249984
ig,positive,115.7732107889608,28.687562942504883,15.849675826990904,400,128,0,0.7858047592453659
ig,mean_gaussian,115.9701243841094,28.91896629333496,16.046589422139505,400,128,0,0.7978620650246739
ig,moment_gaussian,115.88195940872924,28.606584548950195,15.958424446759352,400,128,0,0.7964354008436203
cfg,ode,77.5378201566624,60.87089920043945,0.0,400,224,0,1.2048675590194762
cfg,ode_competitor,75.95586477827169,60.488182067871094,-1.5819553783907168,400,224,0,1.2377593209967017
cfg,sde,77.32413611978791,61.798641204833984,-0.213684036874497,400,224,0,1.209492945112288
cfg,positive,85.82397269178415,51.84541702270508,8.286152535121744,400,224,0,1.2284534592181444
cfg,mean_gaussian,86.12867711336537,51.63582229614258,8.590856956702964,400,224,0,1.2510283500887454
cfg,moment_gaussian,85.69216647422769,51.2940673828125,8.154346317565285,400,224,0,1.2498102439567447
