track,arm,repeat,seconds,batch
ig,ode,1,0.7704976480454206,8
ig,ode,2,0.7622783202677965,8
ig,ode,3,0.7595515479333699,8
ig,ode_competitor,1,0.8033173982985318,8
ig,ode_competitor,2,0.8001969666220248,8
ig,ode_competitor,3,0.7984898812137544,8
ig,sde,1,0.7776067201048136,8
ig,sde,2,0.7712355023249984,8
ig,sde,3,0.7709390390664339,8
ig,positive,1,0.7858047592453659,8
ig,positive,2,0.7804325870238245,8
ig,positive,3,0.7858769139274955,8
ig,mean_gaussian,1,0.8097287337295711,8
ig,mean_gaussian,2,0.7978620650246739,8
ig,mean_gaussian,3,0.7964642900042236,8
ig,moment_gaussian,1,0.8162991781719029,8
ig,moment_gaussian,2,0.7964354008436203,8
ig,moment_gaussian,3,0.792427372187376,8
cfg,ode,1,1.2015751954168081,8
cfg,ode,2,1.2048675590194762,8
cfg,ode,3,1.2163212168961763,8
cfg,ode_competitor,1,1.224376467987895,8
cfg,ode_competitor,2,1.2970009837299585,8
cfg,ode_competitor,3,1.2377593209967017,8
cfg,sde,1,1.209492945112288,8
cfg,sde,2,1.2085848050191998,8
cfg,sde,3,1.2116481927223504,8
cfg,positive,1,1.2284534592181444,8
cfg,positive,2,1.226944686844945,8
cfg,positive,3,1.27803089376539,8
cfg,mean_gaussian,1,1.2510283500887454,8
cfg,mean_gaussian,2,1.247076554223895,8
cfg,mean_gaussian,3,1.2529815649613738,8
cfg,moment_gaussian,1,1.2498102439567447,8
cfg,moment_gaussian,2,1.2486222898587584,8
cfg,moment_gaussian,3,1.2681020493619144,8
