amplitude,epsilon,paper_common_transform_fd,official_loaded_fd,generator_gradient_l2,normalized_generator_gradient_l2,max_fake_feature_derivative_abs
0.0,0.001,0.9990009990009979,0.9377850468748999,2.063948508702974e-28,1.1058868612567922e-28,2.6756374893466273e-14
0.0,0.1,0.909090909090909,0.4878864017535663,3.7656928104740446e-29,5.731567514496414e-29,2.6756374893466273e-14
1.0,0.001,1.99800199800196,1.9367860458758632,1.1962993187900006e-14,5.716967488869784e-15,3.907985046680551e-14
1.0,0.1,1.8181818181817873,1.396977310844446,1.0627832891455557e-14,7.0885479647853825e-15,3.907985046680551e-14
2.0,0.001,4.995004995004758,4.93378904287868,6.912674328392599e-14,1.2731655003884566e-14,1.2434497875801753e-13
2.0,0.1,4.545454545454344,4.124250038117021,7.456227504072721e-14,1.3613639899893651e-14,1.2434497875801753e-13
4.0,0.001,16.9830169830149,16.921801030888805,3.788081122714909e-13,2.505288196541857e-14,3.0020430585864233e-13
4.0,0.1,15.45454545454371,15.033340947206376,3.535001018507763e-13,2.2938611587896626e-14,3.0020430585864233e-13
8.0,0.001,64.93506493505735,64.8738489829313,2.2026824808563106e-13,3.58046925441613e-15,4.583000645652646e-13
8.0,0.1,59.09090909090276,58.66970458356547,3.2155493553843715e-13,4.917536880870399e-15,4.583000645652646e-13
16.0,0.001,256.74325674321335,256.68204079108745,9.095159518872572e-13,7.113229329843195e-15,1.7763568394002505e-13
16.0,0.1,233.63636363632753,233.2151591289904,1.365370962835863e-12,3.580793659904828e-15,1.7763568394002505e-13
32.0,0.001,1023.9760239756782,1023.9148080235522,3.909309015690022e-12,3.592417565420873e-15,6.679101716144942e-13
32.0,0.1,931.8181818178944,931.3969773105571,3.0127011996228248e-12,3.765577639103456e-15,6.679101716144942e-13
