seed,method,kind,sigma,intervention,sign,target_coordinate_rms,actual_coordinate_rms,feature_fd,baseline_feature_fd
0,zero_ratio,zero_ratio,0.0,sample_field,-1.0,0.01,0.0099999997764825,0.8881112044252006,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,-1.0,0.01,0.0100000007078051,0.9090418968700932,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,sample_field,1.0,0.01,0.0099999997764825,0.8493078353461954,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,1.0,0.01,0.0100000007078051,0.8376514462526217,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,sample_field,-1.0,0.03,0.0299999974668025,0.9377618638125682,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,-1.0,0.03,0.0299999993294477,1.028548442640826,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,sample_field,1.0,0.03,0.0299999974668025,0.8216977648637567,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,1.0,0.03,0.0299999993294477,0.8143763738130332,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,sample_field,-1.0,0.1,0.1000000014901161,1.1921361745131662,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,-1.0,0.1,0.1000000089406967,1.8255990825247324,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,sample_field,1.0,0.1,0.1000000014901161,0.8182092033377302,0.8673320568411071
0,zero_ratio,zero_ratio,0.0,shared_affine_vjp,1.0,0.1,0.1000000089406967,1.1116624650175453,0.8673320568411071
0,ratio,ratio,0.0,sample_field,-1.0,0.01,0.0100000007078051,0.8858401327565559,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,-1.0,0.01,0.0099999997764825,0.9122060442028896,0.8673320568411071
0,ratio,ratio,0.0,sample_field,1.0,0.01,0.0100000007078051,0.8504775521489307,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,1.0,0.01,0.0099999997764825,0.834281527924901,0.8673320568411071
0,ratio,ratio,0.0,sample_field,-1.0,0.03,0.0300000011920928,0.9276983227134252,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,-1.0,0.03,0.0300000011920928,1.0374236635503138,0.8673320568411071
0,ratio,ratio,0.0,sample_field,1.0,0.03,0.0300000011920928,0.8218580255873178,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,1.0,0.03,0.0300000011920928,0.8036491989537353,0.8673320568411071
0,ratio,ratio,0.0,sample_field,-1.0,0.1,0.1000000089406967,1.1224487676186072,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,-1.0,0.1,0.1000000014901161,1.847982356585561,0.8673320568411071
0,ratio,ratio,0.0,sample_field,1.0,0.1,0.1000000089406967,0.7789670745386843,0.8673320568411071
0,ratio,ratio,0.0,shared_affine_vjp,1.0,0.1,0.1000000014901161,1.0686995307371916,0.8673320568411071
0,ratio,ratio,0.1,sample_field,-1.0,0.01,0.0099999997764825,0.8832594406427461,0.8673320568411071
0,ratio,ratio,0.1,shared_affine_vjp,-1.0,0.01,0.00999999884516,0.9118750928854666,0.8673320568411071
0,ratio,ratio,0.1,sample_field,1.0,0.01,0.0099999997764825,0.8524796212463173,0.8673320568411071
0,ratio,ratio,0.1,shared_affine_vjp,1.0,0.01,0.00999999884516,0.8343769291562353,0.8673320568411071
0,ratio,ratio,0.1,sample_field,-1.0,0.03,0.0299999956041574,0.9182361054248532,0.8673320568411071
0,ratio,ratio,0.1,shared_affine_vjp,-1.0,0.03,0.0299999974668025,1.0357190278334798,0.8673320568411071
0,ratio,ratio,0.1,sample_field,1.0,0.03,0.0299999956041574,0.8261179308228179,0.8673320568411071
0,ratio,ratio,0.1,shared_affine_vjp,1.0,0.03,0.0299999974668025,0.8032333265938263,0.8673320568411071
0,ratio,ratio,0.1,sample_field,-1.0,0.1,0.0999999940395355,1.0715073500447687,0.8673320568411071
