epsilon,train_sample_count,method,kind,sigma,relative_l2_mean,relative_l2_std,relative_l2_count,global_cosine_mean,global_cosine_std,global_cosine_count,norm_ratio_mean,norm_ratio_std,norm_ratio_count,positive_alignment_fraction_mean,positive_alignment_fraction_std,positive_alignment_fraction_count,estimate_rms_mean,estimate_rms_std,estimate_rms_count,target_rms_mean,target_rms_std,target_rms_count,inner_product_mean,inner_product_std,inner_product_count,classifier_bce_mean,classifier_bce_std,classifier_bce_count,classifier_accuracy_mean,classifier_accuracy_std,classifier_accuracy_count,classifier_auc_mean,classifier_auc_std,classifier_auc_count,real_logit_mean_mean,real_logit_mean_std,real_logit_mean_count,fake_logit_mean_mean,fake_logit_mean_std,fake_logit_mean_count,logit_mse_mean,logit_mse_std,logit_mse_count,centered_logit_mse_mean,centered_logit_mse_std,centered_logit_mse_count,logit_correlation_mean,logit_correlation_std,logit_correlation_count,quadrature_mass_mean,quadrature_mass_std,quadrature_mass_count,kl_before_mean,kl_before_std,kl_before_count,kl_after_mean,kl_after_std,kl_after_count,kl_change_mean,kl_change_std,kl_change_count,kl_directional_derivative_mean,kl_directional_derivative_std,kl_directional_derivative_count,oracle_kl_directional_derivative_mean,oracle_kl_directional_derivative_std,oracle_kl_directional_derivative_count,kl_action_ratio_mean,kl_action_ratio_std,kl_action_ratio_count,positive_jacobian_mass_fraction_mean,positive_jacobian_mass_fraction_std,positive_jacobian_mass_fraction_count,train_seconds_mean,train_seconds_std,train_seconds_count,parameter_count_mean,parameter_count_std,parameter_count_count,sobolev_lambda_mean,sobolev_lambda_std,sobolev_lambda_count,real_component_relative_l2_mean,real_component_relative_l2_std,real_component_relative_l2_count,real_component_global_cosine_mean,real_component_global_cosine_std,real_component_global_cosine_count,real_component_norm_ratio_mean,real_component_norm_ratio_std,real_component_norm_ratio_count,real_component_positive_alignment_fraction_mean,real_component_positive_alignment_fraction_std,real_component_positive_alignment_fraction_count,real_component_estimate_rms_mean,real_component_estimate_rms_std,real_component_estimate_rms_count,real_component_target_rms_mean,real_component_target_rms_std,real_component_target_rms_count,real_component_inner_product_mean,real_component_inner_product_std,real_component_inner_product_count,fake_component_relative_l2_mean,fake_component_relative_l2_std,fake_component_relative_l2_count,fake_component_global_cosine_mean,fake_component_global_cosine_std,fake_component_global_cosine_count,fake_component_norm_ratio_mean,fake_component_norm_ratio_std,fake_component_norm_ratio_count,fake_component_positive_alignment_fraction_mean,fake_component_positive_alignment_fraction_std,fake_component_positive_alignment_fraction_count,fake_component_estimate_rms_mean,fake_component_estimate_rms_std,fake_component_estimate_rms_count,fake_component_target_rms_mean,fake_component_target_rms_std,fake_component_target_rms_count,fake_component_inner_product_mean,fake_component_inner_product_std,fake_component_inner_product_count,component_error_pairwise_cosine_mean,component_error_pairwise_cosine_std,component_error_pairwise_cosine_count,component_error_pairwise_relative_l2_mean,component_error_pairwise_relative_l2_std,component_error_pairwise_relative_l2_count,component_error_left_rms_mean,component_error_left_rms_std,component_error_left_rms_count,component_error_right_rms_mean,component_error_right_rms_std,component_error_right_rms_count,component_common_error_rms_mean,component_common_error_rms_std,component_common_error_rms_count,component_difference_error_rms_mean,component_difference_error_rms_std,component_difference_error_rms_count,component_difference_to_common_error_ratio_mean,component_difference_to_common_error_ratio_std,component_difference_to_common_error_ratio_count
0.03,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.03,295.56396484375,63.531575174792145,3,0.028127284022048116,0.025893961133231357,3,295.590337117513,63.514429126073296,3,0.4647623697916667,0.06124783907860676,3,1.2446709076563518,0.2674463358855874,3,0.0042107971385121346,0.0,3,0.00013424204795834763,0.00013240715772505946,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.0000025737260294,0.0,3,9.851015870339942e-05,0.0,3,0.0017398560382419568,0.0006219613211656459,3,0.0016413458795385572,0.0006219613211656459,3,-0.00011597116849180345,6.547295595270286e-05,3,-1.9482732504225357e-05,0.0,3,5.952510432848778,3.3605633059173443,3,1.0,0.0,3,17.8088018646619,1.4834243920369554,3,35716.0,0.0,3,,,0,0.767423947652181,0.05232508756773237,3,0.693503717581431,0.010525409315854578,3,0.9420830607414246,0.11199227154435161,3,0.8736165364583334,0.014839118100992985,3,5.870192050933838,0.6978324249209915,3,6.231077194213867,0.0,3,25.336450576782227,2.6145864949432926,3,0.7642506758371989,0.043841135785386266,3,0.6916476289431254,0.006620534787111894,3,0.9253413478533427,0.11097069604239085,3,0.8634440104166666,0.0026332502746359916,3,5.765903790791829,0.6914707432558216,3,6.231109619140625,0.0,3,24.831749598185223,2.74785856280179,3,0.9654053052266439,0.01198548391559422,3,0.26016321778297424,0.048847657578315634,3,4.781877676645915,0.32604164772286054,3,4.762129783630371,0.2731787277673765,3,4.7303541501363116,0.29244665390803126,3,1.2445598642031352,0.26751855876681585,3,0.26254841685295105,0.049990346338985046,3
0.03,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.1,87.35096486409505,15.871439326846392,3,0.032800049521028996,0.032943520865256794,3,87.3779067993164,15.878142366763125,3,0.56982421875,0.09643276548599726,3,0.4765173892180125,0.08659177082753482,3,0.0054535227827727795,0.0,3,8.699420383588101e-05,9.174634851587814e-05,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.9999980922863188,0.0,3,9.840751993400998e-05,0.0,3,0.00030249299667738317,6.363339364835943e-05,3,0.00020408547674337317,6.36333936483594e-05,3,-9.856226415908867e-05,7.567458257425233e-05,3,-2.914789177297014e-05,0.0,3,3.381454306430797,2.59622833663833,3,1.0,0.0,3,17.8088018646619,1.4834243920369554,3,35716.0,0.0,3,,,0,0.6922783851623535,0.003781887150443096,3,0.7220975756645203,0.003019453721104558,3,0.7423334916432699,0.01783670607597709,3,0.9114583333333334,0.011916296910949543,3,4.146923224131267,0.09964183989022987,3,5.586334705352783,0.0,3,16.72721227010091,0.3426327366586214,3,0.6950928568840027,0.0028256166743479603,3,0.7193589806556702,0.0022658291446281025,3,0.7377323706944784,0.019804693201058467,3,0.908203125,0.01513671875,3,4.121186892191569,0.11063477633780586,3,5.586289882659912,0.0,3,16.560597737630207,0.41352474102066294,3,0.9922897815704346,0.0026526295395525156,3,0.12291448066631953,0.022259990972864203,3,3.867298682530721,0.02112692998351505,3,3.8829901218414307,0.015784786843509778,3,3.867665688196818,0.01810933503083424,3,0.4763704240322113,0.0865552474544809,3,0.12316230932871501,0.02238033383646991,3
0.03,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.3,29.179447809855144,3.860618119598784,3,0.10237498565887411,0.15889798597605814,3,29.264922459920246,3.9056917649075,3,0.6227213541666666,0.12355260512166737,3,0.22751231988271078,0.030363749657171223,3,0.007774232886731625,0.0,3,0.00018823015216185013,0.000292843298713639,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.9999953406324736,0.0,3,9.646524784960363e-05,0.0,3,0.00010889437869994225,2.299425302014386e-06,3,1.2429130850338647e-05,2.299425302014386e-06,3,-0.0001951027607863909,0.00027435386373237845,3,-6.120154110125149e-05,0.0,3,3.1878733325295507,4.48279338715489,3,1.0,0.0,3,17.8088018646619,1.4834243920369554,3,35716.0,0.0,3,,,0,0.48280521233876544,0.009698990661384297,3,0.8760074575742086,0.00512850481395061,3,0.8987310727437338,0.005950698683517717,3,0.94384765625,0.007899750823907929,3,2.6960299015045166,0.017851008620653926,3,2.9998183250427246,0.0,3,7.084740956624349,0.052090063100166964,3,0.48531611760457355,0.012964128326980308,3,0.8745128313700358,0.006985638127936103,3,0.8946383396784464,0.00475649957730792,3,0.9370930989583334,0.009696205083728192,3,2.683863401412964,0.014269332067098113,3,2.9999423027038574,0.0,3,7.041099866231282,0.0701642740964306,3,0.9876869519551595,0.003091502269558354,3,0.15623721480369568,0.02043117573613516,3,1.4483279784520466,0.029095175595859255,3,1.4559203386306763,0.03889165321090153,3,1.447648048400879,0.03388556544060915,3,0.2268478274345398,0.030013348544491156,3,0.15673227608203888,0.020607118156964376,3
0.03,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.7,13.644396464029947,2.374316337275301,3,0.18482149640719095,0.19195631358015766,3,13.793670654296875,2.5092789726176123,3,0.6763509114583334,0.06659730839870139,3,0.09225487212340037,0.016782568590387882,3,0.0066882031969726086,0.0,3,0.0001238003830318727,0.00013166089695819,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.0000039030088368,0.0,3,8.6408589483976e-05,0.0,3,8.578257846771869e-05,1.1483360663414087e-06,3,-6.260110162573094e-07,1.1483360663414081e-06,3,-0.00012806976912558383,0.00013120311007277637,3,-4.580395175999096e-05,0.0,3,2.7960419178820897,2.8644495732654285,3,1.0,0.0,3,17.8088018646619,1.4834243920369554,3,35716.0,0.0,3,,,0,0.10744442790746689,0.005791158274690674,3,0.9942537347475687,0.000560369657239143,3,0.9860391616821289,0.008294749501334972,3,0.9801432291666666,0.007651903644476903,3,1.2966512441635132,0.010907694646478151,3,1.3150098323822021,0.0,3,1.6953164339065552,0.015211738968226519,3,0.1047039305170377,0.005593779438001826,3,0.9945849378903707,0.0006251193443116125,3,0.9830290079116821,0.008564984634885985,3,0.97802734375,0.00554580893144558,3,1.2926980257034302,0.011263095725732926,3,1.3150150775909424,0.0,3,1.690711776415507,0.014699623035802188,3,0.7809109489123026,0.08210602501454965,3,0.6562036871910095,0.13018283458356047,3,0.14129048585891724,0.0076154308658639034,3,0.1376872460047404,0.007355899615864932,3,0.13167286912600198,0.0073532771781436145,3,0.09125649432341258,0.015879912254341447,3,0.6982250014940897,0.15281048276854925,3
0.03,8192,factorized_dsm_coupled,factorized_dsm_coupled,1.5,11.39993667602539,1.206242348933066,3,0.1331664820512136,0.037760917723847806,3,11.489649772644043,1.2400287072344767,3,0.6640625,0.09376811806126961,3,0.055996583153804146,0.0060434710244446875,3,0.004873654805123806,0.0,3,3.69184108421905e-05,1.3828463122987155e-05,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.0000049080243272,0.0,3,5.5249055786983125e-05,0.0,3,5.498664248088577e-05,1.3305967601768067e-07,3,-2.6241330609734384e-07,1.3305967601768236e-07,3,-3.696929290257968e-05,1.6893605790658064e-05,3,-2.402067325792116e-05,0.0,3,1.5390614786531236,0.7032944334766785,3,1.0,0.0,3,17.8088018646619,1.4834243920369554,3,35716.0,0.0,3,,,0,0.11323451747496922,0.01843496172635654,3,0.9950592915217081,0.001951116833169758,3,1.05152428150177,0.0016878293684702151,3,0.9784342447916666,0.012556836928376254,3,0.6800506512324015,0.0010916099902669987,3,0.6467283964157104,0.0,3,0.43763482570648193,0.0009176291923291089,3,0.11429966241121292,0.024064527523006366,3,0.9949298699696859,0.0030793796050256274,3,1.052062749862671,0.012138728014219504,3,0.984130859375,0.014898580373430037,3,0.680411696434021,0.007850597408082565,3,0.6467406153678894,0.0,3,0.4378242989381154,0.0058900544880734155,3,0.7271203001340231,0.08211162794145403,3,0.7573624849319458,0.1116965578378101,3,0.07323198392987251,0.01192241663175777,3,0.0739222342769305,0.015563510295502314,3,0.06854639326532681,0.00993130107110869,3,0.055559354523817696,0.005878807784176672,3,0.8216334382692972,0.13852345849347317,3
0.03,8192,oracle,oracle,0.0,0.0,,1,1.0,,1,1.0,,1,0.686279296875,,1,0.0043317293748259544,,1,0.0043317293748259544,,1,1.8763879779726267e-05,,1,0.6931512355804443,,1,0.5048828125,,1,0.505773663520813,,1,2.1200510673224926e-05,,1,-5.9757730923593044e-05,,1,0.0,,1,0.0,,1,1.0,,1,1.0000018292362125,,1,9.851776181043458e-05,,1,9.840572285471814e-05,,1,-1.1203895571643477e-07,,1,-1.851674342731384e-05,,1,-1.851674342731384e-05,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.03,8192,oracle,oracle,0.03,0.0,,1,1.0,,1,1.0,,1,0.71728515625,,1,0.0042107971385121346,,1,0.0042107971385121346,,1,1.773081203282345e-05,,1,0.6930444240570068,,1,0.509765625,,1,0.5102587938308716,,1,0.0001212132629007101,,1,-0.00038686220068484545,,1,0.0,,1,0.0,,1,1.0,,1,1.0000025737260294,,1,9.851015870339942e-05,,1,9.838100333843636e-05,,1,-1.2915536496306698e-07,,1,-1.9482732504225357e-05,,1,-1.9482732504225357e-05,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.03,8192,oracle,oracle,0.1,0.0,,1,1.0,,1,1.0,,1,0.926025390625,,1,0.0054535227827727795,,1,0.0054535227827727795,,1,2.9740909667452797e-05,,1,0.693268895149231,,1,0.4951171875,,1,0.493959903717041,,1,-4.1577150113880634e-05,,1,0.00034689082531258464,,1,0.0,,1,0.0,,1,0.9999999403953552,,1,0.9999980922863188,,1,9.840751993401e-05,,1,9.820349339987016e-05,,1,-2.0402653413983496e-07,,1,-2.914789177297014e-05,,1,-2.914789177297014e-05,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.03,8192,oracle,oracle,0.3,0.0,,1,1.0,,1,1.0,,1,1.0,,1,0.007774232886731625,,1,0.007774232886731625,,1,6.043869871064089e-05,,1,0.6930774450302124,,1,0.50390625,,1,0.5069299936294556,,1,0.0004989462904632092,,1,0.00012197403702884912,,1,0.0,,1,0.0,,1,1.0000001192092896,,1,0.9999953406324736,,1,9.646524784960361e-05,,1,9.59139683358569e-05,,1,-5.512795137467178e-07,,1,-6.120154110125149e-05,,1,-6.120154110125149e-05,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.03,8192,oracle,oracle,0.7,0.0,,1,1.0,,1,1.0,,1,1.0,,1,0.0066882031969726086,,1,0.0066882031969726086,,1,4.473206354305148e-05,,1,0.6932138204574585,,1,0.495849609375,,1,0.49315309524536133,,1,0.00012256030458956957,,1,0.00030046841129660606,,1,0.0,,1,0.0,,1,1.0,,1,1.0000039030088368,,1,8.6408589483976e-05,,1,8.60001599840599e-05,,1,-4.0842949991610144e-07,,1,-4.580395175999096e-05,,1,-4.580395175999096e-05,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
