method,trial,left_seed,right_seed,parameter_group,sketch_cosine,left_exact_norm,right_exact_norm
shared_dsm,0,0,1,net.cfg_t_end_embedder,0.7293792104789357,1.732354911439892,2.802350381467656
shared_dsm,0,0,1,net.cfg_t_start_embedder,0.8408111949303623,13.762903572838265,17.60075361485556
shared_dsm,0,0,1,net.class_tokens,0.5364921326514466,0.6689585845933232,0.8488189459307662
shared_dsm,0,0,1,net.h_embedder,0.7924327777726093,3.434484819851967,4.569603176136444
shared_dsm,0,0,1,net.omega_embedder,0.722051133585008,4.125732612176715,7.129837388443792
shared_dsm,0,0,1,net.omega_tokens,0.5966853508936913,0.10686329480482545,0.213430487466817
shared_dsm,0,0,1,net.pos_embed,0.70204295149644,0.7417605968453785,0.9643612301192718
shared_dsm,0,0,1,net.shared_blocks.0,0.8290163965009858,42.03334117221263,70.88674970160749
shared_dsm,0,0,1,net.shared_blocks.1,0.8084139495955946,32.239923767561095,44.26576736612104
shared_dsm,0,0,1,net.shared_blocks.2,0.7549324128269332,26.93925246904774,34.86103824197313
shared_dsm,0,0,1,net.shared_blocks.3,0.7141549099424928,24.15535887677849,29.77606819038123
shared_dsm,0,0,1,net.shared_blocks.4,0.6725035405794049,22.738656638992765,24.785833660207132
shared_dsm,0,0,1,net.shared_blocks.5,0.6563537703590872,20.363836686516073,22.35334327400976
shared_dsm,0,0,1,net.shared_blocks.6,0.6641349405992575,19.347461782956007,20.873553459966317
shared_dsm,0,0,1,net.shared_blocks.7,0.7263589421745247,19.103373644524947,21.182797646306298
shared_dsm,0,0,1,net.t_max_tokens,0.5117406720833513,0.061287951696240524,0.09587720477083214
shared_dsm,0,0,1,net.t_min_tokens,-0.34224110803981256,0.06897337476664031,0.08874309984377599
shared_dsm,0,0,1,net.time_tokens,0.9313380405642186,0.05745157703785875,0.08006653881605476
shared_dsm,0,0,1,net.u_final_layer,0.730293808386763,15.555732588604984,19.392827209930093
shared_dsm,0,0,1,net.u_heads,0.7245695896532203,28.373446978677052,31.940547173938302
shared_dsm,0,0,1,net.x_embedder,0.6467562728140192,30.510664224335567,40.80838381866412
shared_dsm,0,0,1,net.y_embedder,1.0,1.020501661804185,1.3542717315407091
shared_dsm,0,0,2,net.cfg_t_end_embedder,0.6024608386793086,1.732354911439892,2.3946959818590288
shared_dsm,0,0,2,net.cfg_t_start_embedder,0.787601503057043,13.762903572838265,18.865405777442998
shared_dsm,0,0,2,net.class_tokens,0.7154821306349791,0.6689585845933232,0.8795794748219943
shared_dsm,0,0,2,net.h_embedder,0.7868729196792783,3.434484819851967,4.75322316546092
shared_dsm,0,0,2,net.omega_embedder,0.7682316861130862,4.125732612176715,5.0191360051810765
shared_dsm,0,0,2,net.omega_tokens,0.6284837438661616,0.10686329480482545,0.1219820879498336
shared_dsm,0,0,2,net.pos_embed,0.6233369998860462,0.7417605968453785,0.9785831793740247
shared_dsm,0,0,2,net.shared_blocks.0,0.796295178138669,42.03334117221263,52.4710914303438
shared_dsm,0,0,2,net.shared_blocks.1,0.8002685595615717,32.239923767561095,43.730650632162586
shared_dsm,0,0,2,net.shared_blocks.2,0.7563336220474096,26.93925246904774,37.655529265432975
shared_dsm,0,0,2,net.shared_blocks.3,0.7459809404023483,24.15535887677849,35.70124012768941
shared_dsm,0,0,2,net.shared_blocks.4,0.7219723007292309,22.738656638992765,33.48817836204401
shared_dsm,0,0,2,net.shared_blocks.5,0.6795817517598177,20.363836686516073,26.66154382001428
shared_dsm,0,0,2,net.shared_blocks.6,0.6901683789541023,19.347461782956007,21.563941827124392
shared_dsm,0,0,2,net.shared_blocks.7,0.7041342731824137,19.103373644524947,18.888374195348486
shared_dsm,0,0,2,net.t_max_tokens,0.692784258991609,0.061287951696240524,0.0749063503792391
shared_dsm,0,0,2,net.t_min_tokens,0.7717809878423134,0.06897337476664031,0.0947644152587664
shared_dsm,0,0,2,net.time_tokens,0.8594945461176741,0.05745157703785875,0.07827457939875936
shared_dsm,0,0,2,net.u_final_layer,0.43670910317482775,15.555732588604984,15.006781070833583
shared_dsm,0,0,2,net.u_heads,0.6505669218030845,28.373446978677052,28.533928852157235
shared_dsm,0,0,2,net.x_embedder,0.7866689476018468,30.510664224335567,41.168296390230694
shared_dsm,0,0,2,net.y_embedder,1.0,1.020501661804185,1.3954591481644252
shared_dsm,0,1,2,net.cfg_t_end_embedder,0.5079534876836023,2.802350381467656,2.3946959818590288
shared_dsm,0,1,2,net.cfg_t_start_embedder,0.6927367286576598,17.60075361485556,18.865405777442998
shared_dsm,0,1,2,net.class_tokens,0.5889929119078572,0.8488189459307662,0.8795794748219943
shared_dsm,0,1,2,net.h_embedder,0.7726218686703065,4.569603176136444,4.75322316546092
shared_dsm,0,1,2,net.omega_embedder,0.4890977914211668,7.129837388443792,5.0191360051810765
shared_dsm,0,1,2,net.omega_tokens,-0.01990793590558027,0.213430487466817,0.1219820879498336
shared_dsm,0,1,2,net.pos_embed,0.44437172939105546,0.9643612301192718,0.9785831793740247
shared_dsm,0,1,2,net.shared_blocks.0,0.546884054749291,70.88674970160749,52.4710914303438
shared_dsm,0,1,2,net.shared_blocks.1,0.6395684036624245,44.26576736612104,43.730650632162586
shared_dsm,0,1,2,net.shared_blocks.2,0.5923999219499139,34.86103824197313,37.655529265432975
shared_dsm,0,1,2,net.shared_blocks.3,0.5905440497321222,29.77606819038123,35.70124012768941
shared_dsm,0,1,2,net.shared_blocks.4,0.5417848681173513,24.785833660207132,33.48817836204401
shared_dsm,0,1,2,net.shared_blocks.5,0.5681500074205301,22.35334327400976,26.66154382001428
shared_dsm,0,1,2,net.shared_blocks.6,0.6778231409740078,20.873553459966317,21.563941827124392
shared_dsm,0,1,2,net.shared_blocks.7,0.7119261583900783,21.182797646306298,18.888374195348486
shared_dsm,0,1,2,net.t_max_tokens,-0.2492477601196166,0.09587720477083214,0.0749063503792391
shared_dsm,0,1,2,net.t_min_tokens,-0.7799534757503914,0.08874309984377599,0.0947644152587664
