seed,base_fid,base_is,positive_fid,positive_is,negative_fid,negative_is,positive_delta,negative_delta
1,8.900812,150.2389,8.840405,149.3767,8.933415,151.3771,-0.0604069999999996,0.0326029999999999
2,8.873396,155.0989,8.821637,153.8157,8.905048,156.0157,-0.0517589999999987,0.0316520000000011
3,8.901729,151.54,8.879419,149.7676,8.964041,152.9887,-0.0223099999999991,0.0623120000000003
