method,kind,sigma,left_seed,right_seed,field_cosine,field_relative_l2,affine_vjp_cosine,affine_vjp_relative_l2
factorized_dsm_coupled,factorized_dsm_coupled,0.1,0,1,0.17082218188397505,1.2917953408315286,0.1739371021233271,1.2902056045488817
factorized_dsm_coupled,factorized_dsm_coupled,0.1,0,2,0.09591908378676697,1.3447992785005163,0.0832520953574348,1.3542755493656824
factorized_dsm_coupled,factorized_dsm_coupled,0.1,1,2,0.1260509209100495,1.3246063243426607,0.116360754345554,1.3321040635797285
factorized_dsm_coupled,factorized_dsm_coupled,0.3,0,1,0.23470301603789298,1.2378297110820973,0.2963350164799801,1.1863704921998
factorized_dsm_coupled,factorized_dsm_coupled,0.3,0,2,0.24072270370192728,1.23230501364094,0.30520585384327875,1.1788255682185471
factorized_dsm_coupled,factorized_dsm_coupled,0.3,1,2,0.2363209433607303,1.2363817919185724,0.2973418790924726,1.185473711875392
factorized_dsm_coupled,factorized_dsm_coupled,0.7,0,1,0.22431981704409207,1.2455949704632534,0.31657203916112725,1.169165395363996
factorized_dsm_coupled,factorized_dsm_coupled,0.7,0,2,0.23275945122181185,1.2387562098627947,0.3339268751297647,1.154190731283848
factorized_dsm_coupled,factorized_dsm_coupled,0.7,1,2,0.22873102699449674,1.2420047205289724,0.31854559782645625,1.1675062708732034
factorized_dsm_coupled,factorized_dsm_coupled,1.5,0,1,0.1960299978052475,1.2680470844016227,0.31136676241929556,1.1735980719290684
factorized_dsm_coupled,factorized_dsm_coupled,1.5,0,2,0.1998738786844579,1.2650110581692193,0.3317893463728513,1.156041871708246
factorized_dsm_coupled,factorized_dsm_coupled,1.5,1,2,0.20696618524226135,1.2593921617190202,0.32971599891834885,1.157886779379257
ratio,ratio,0.0,0,1,0.3057947401161229,1.1783894492757914,0.7036650517930574,0.7699015638301739
ratio,ratio,0.0,0,2,0.29821689178234206,1.1849945155542592,0.696142048571181,0.7806269579495788
ratio,ratio,0.0,1,2,0.3059433775958583,1.1788377801262186,0.6976803621141667,0.7791679722585442
ratio,ratio,0.1,0,1,0.2774690402070133,1.2024358446240053,0.6880983876904001,0.7901011845772128
ratio,ratio,0.1,0,2,0.2686838781572767,1.2096569961781218,0.6878520797386084,0.7915728829595455
