seed,method,kind,sigma,field_coordinate_rms,field_vector_rms,affine_gradient_norm,baseline_feature_fd,train_seconds,parameter_count,classifier_bce,classifier_accuracy,classifier_auc,real_logit_mean,fake_logit_mean,artifact_path,root
0,factorized_dsm_coupled,factorized_dsm_coupled,0.1,0.3098272681236267,2.4786181449890137,2.2769007682800293,0.8673320568411071,11.898605403024703,184704,,,,,,fields/seed0/factorized_dsm_coupled/sigma0.1.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed0
0,factorized_dsm_coupled,factorized_dsm_coupled,0.3,0.2007386982440948,1.6059095859527588,1.2340121269226074,0.8673320568411071,11.898605403024703,184704,,,,,,fields/seed0/factorized_dsm_coupled/sigma0.3.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed0
0,factorized_dsm_coupled,factorized_dsm_coupled,0.7,0.149054080247879,1.1924326419830322,0.749657928943634,0.8673320568411071,11.898605403024703,184704,,,,,,fields/seed0/factorized_dsm_coupled/sigma0.7.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed0
0,factorized_dsm_coupled,factorized_dsm_coupled,1.5,0.0917544811964035,0.7340359687805176,0.3262612223625183,0.8673320568411071,11.898605403024703,184704,,,,,,fields/seed0/factorized_dsm_coupled/sigma1.5.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed0
1,zero_ratio,zero_ratio,0.0,6.477568626403809,51.82054901123047,26.337310791015625,0.8673320568411071,24.5981650990434,152065,8.775930404663086,0.5648193359375,0.5820173025131226,6.421090126037598,-2.3405840396881104,fields/seed1/zero_ratio/sigma0.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,ratio,ratio,0.0,2.327025890350342,18.61620712280273,7.826356887817383,0.8673320568411071,13.641468937974423,152065,3.2318968772888184,0.56982421875,0.5994348526000977,2.429705619812012,-1.197898268699646,fields/seed1/ratio/sigma0.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,ratio,ratio,0.1,2.1437318325042725,17.14985466003418,6.246669292449951,0.8673320568411071,13.641468937974423,152065,2.988078117370605,0.5615234375,0.5914689302444458,1.603325366973877,-1.366936445236206,fields/seed1/ratio/sigma0.1.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,ratio,ratio,0.3,1.4247061014175415,11.397648811340332,3.739668130874634,0.8673320568411071,13.641468937974423,152065,2.1023082733154297,0.5533447265625,0.5745141506195068,0.9773917198181152,-0.6563135385513306,fields/seed1/ratio/sigma0.3.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,ratio,ratio,0.7,0.3837926089763641,3.070340871810913,0.9819282293319702,0.8673320568411071,13.641468937974423,152065,0.9425932168960572,0.5357666015625,0.5532234907150269,0.2711592018604278,-0.1223723292350769,fields/seed1/ratio/sigma0.7.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
1,ratio,ratio,1.5,0.0516027733683586,0.4128221869468689,0.1349648684263229,0.8673320568411071,13.641468937974423,152065,0.6979466676712036,0.526123046875,0.5394816398620605,0.0223579555749893,-0.0377844423055648,fields/seed1/ratio/sigma1.5.npz,/data/users/zhoushunyu/eqvae/experiments/pmf_residual_estimator_audit_5k_20260824/seed1
