step,mlp,adaln_fresh,adaln_warm
1,1.6682705879211426,1.6682705879211426,0.792359471321106
100,0.8838298916816711,1.115116834640503,0.7385231256484985
200,0.8851263523101807,0.9923931360244751,0.8420579433441162
300,0.824254035949707,0.8806307911872864,0.8017051815986633
400,0.8049113750457764,0.8397848010063171,0.7897067666053772
500,0.7983192205429077,0.8194111585617065,0.7790491580963135
600,0.740464448928833,0.7568656206130981,0.7272714972496033
700,0.8262816071510315,0.8429526090621948,0.8152241706848145
800,0.8334814310073853,0.8409768342971802,0.8216978311538696
900,0.7572332620620728,0.7629155516624451,0.7476871013641357
1000,0.8069775700569153,0.803628146648407,0.7926627397537231
1100,0.7429804801940918,0.7496036291122437,0.7379446029663086
1200,0.7788108587265015,0.7813163995742798,0.772871732711792
1300,0.7901418805122375,0.7892374992370605,0.7807478904724121
1400,0.8179925680160522,0.8185513019561768,0.8124057650566101
1500,0.7496471405029297,0.7481029033660889,0.7415030002593994
1600,0.7972468137741089,0.7921661138534546,0.7870256304740906
1700,0.7764873504638672,0.7745954990386963,0.7700608372688293
1800,0.7830599546432495,0.7815300226211548,0.7783316373825073
1900,0.7686131000518799,0.7607368230819702,0.7576076984405518
2000,0.7687352895736694,0.7661081552505493,0.7642214894294739
2100,0.8164007663726807,0.8122043609619141,0.8096400499343872
2200,0.7846892476081848,0.7828446626663208,0.780711829662323
2300,0.8345449566841125,0.8255870342254639,0.8248484134674072
2400,0.7813689112663269,0.7795406579971313,0.7778054475784302
2500,0.7669228911399841,0.7587887048721313,0.7570000886917114
2600,0.8189274072647095,0.8157137036323547,0.815339207649231
2700,0.8016132116317749,0.7961848378181458,0.7957615852355957
2800,0.7706557512283325,0.7681674957275391,0.7677135467529297
2900,0.839877188205719,0.8367942571640015,0.8360394239425659
3000,0.7626581192016602,0.7531046867370605,0.7523694634437561
