arm,validation_mse,parameters,steps,shared_loop_seconds
mlp,0.7979717068374157,310688,3000,64.76952737011015
adaln_fresh,0.7961778566241264,308000,3000,64.76952737011015
adaln_warm,0.7950621228665113,308000,3000,64.76952737011015
