experiment,condition,mode,space,gamma,alpha,num_samples,fid,sfid,inception_score,total_nfe,sampling_peak_memory_mib,fid_peak_memory_mib,sample_sha256,noise_fingerprint,label_fingerprint
final_linear_x,extrap_gamma_1,extrapolation,output,1.0,0.0,1000,225.93967593753263,264.48191131403576,4.65018367767334,11404,1824,6472,09f863cf33172241de8239c985d48088c4132af8cee221f3c7f7463e9361d5b7,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,full,full,output,0.0,0.0,1000,100.51048041526815,218.19650959641012,21.544885635375977,6724,1824,6472,783321f442d3a2370d0c99215be82b66450fbdffff22d37e98ea987b536894f4,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,internal,internal,output,0.0,0.0,1000,218.658443978074,280.3779825471463,7.093847274780273,7630,1824,6472,b230ccba73bc2d36b1dd398dd29d3f69b0a1ee6f367d7599b14a1957a13aed84,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p01,extrapolation,output,0.01,0.0,1000,99.93507694072173,217.86750704230485,21.653064727783203,6790,1824,6472,5bebd5c11e241b59b7b78377785ef8161c61c5832beffc5c012f2797ce33f288,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p03,extrapolation,output,0.03,0.0,1000,98.72617227522636,217.21108527466504,21.819643020629883,6760,1824,6472,d31a6243ca6d65223a1f2732dc3f36ad5a9fc33f59591a0d05b490fa3221c56a,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p05,extrapolation,output,0.05,0.0,1000,97.43557233441874,216.6138329662042,21.961288452148438,6988,1824,6472,45630f333378506a0bc83f6be0f8cbec115d732de0d30bebd8938366fe9f97a0,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p1,extrapolation,output,0.1,0.0,1000,94.7610328115868,215.32609120634788,21.80762481689453,6808,1824,6472,bbbe39adb76e806015ed9d723f35db37cdcc8bf2b28474d95facd90e847580c2,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p2,extrapolation,output,0.2,0.0,1000,91.9322651338324,213.49525800448043,22.649581909179688,7414,1824,6472,559f231f6b2e4df65c6ef66cba72039d13fce6d257ffc1eca77af83f1ccd7910,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p4,extrapolation,output,0.4,0.0,1000,90.3528009728725,213.28997370496063,21.669775009155273,8692,1824,6472,b51f57eff7b52df5c87dc82b53aa8eae948179b99d76214e1b5a022aad070adb,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
depth8_v,extrap_gamma_0p6,extrapolation,output,0.6,0.0,1000,96.36072314871535,216.4092959433916,19.37795639038086,9586,3487,6472,6e0596fe6ef8cdd4a2766f23d093755d344faf8407dd198ca9a3d58a4466b915,b5bdbc64bf30a3c8c5b137e63bab21b9db311b4b5df1549ca64d703a0c3c8d44;30cca6c4e6088c3ae0f0f5e3fca8c62e023a2c6cddd04d743f91c6f1c7ef2654;a4003d42b971d91ef505fef02e8ea151ea5694c95ccba237c894063d4ddd6dcb;a751dd44b71330496bb45cb01a9536527d5a5b48dd5ea7ce3fee613dbe72c971,199ba1308c2b7e4694132fa96c3e705ca64ef38987c10b10eb989af5c863ae53;c77d693d84d5c838261e8f79e381383e674e4a9c6f9337b3f08a8c9630e1b348;759e9ad3ee6b60a46880aae7b41fbf325a85717aba069630fbf0d2c3cd608f98;a1391898937bd1863a8c7ad216fa0e52666230926ddcd5959c1179b0647f44c3
