family,seed,time,relation,samples,valid_rate,cosine_mean,cosine_std,cosine_q05,cosine_median,cosine_q95,coefficient_mean,coefficient_std,coefficient_q05,coefficient_median,coefficient_q95,nominal_rms_mean,nominal_rms_std,nominal_rms_q05,nominal_rms_median,nominal_rms_q95,current_rms_mean,current_rms_std,current_rms_q05,current_rms_median,current_rms_q95,current_over_nominal_rms_mean,current_over_nominal_rms_std,current_over_nominal_rms_q05,current_over_nominal_rms_median,current_over_nominal_rms_q95,change_rms_mean,change_rms_std,change_rms_q05,change_rms_median,change_rms_q95,change_over_nominal_rms_mean,change_over_nominal_rms_std,change_over_nominal_rms_q05,change_over_nominal_rms_median,change_over_nominal_rms_q95,delta_cosine_nominal_mean,delta_cosine_nominal_std,delta_cosine_nominal_q05,delta_cosine_nominal_median,delta_cosine_nominal_q95,delta_parallel_rms_mean,delta_parallel_rms_std,delta_parallel_rms_q05,delta_parallel_rms_median,delta_parallel_rms_q95,delta_orthogonal_rms_mean,delta_orthogonal_rms_std,delta_orthogonal_rms_q05,delta_orthogonal_rms_median,delta_orthogonal_rms_q95,orthogonal_over_current_rms_mean,orthogonal_over_current_rms_std,orthogonal_over_current_rms_q05,orthogonal_over_current_rms_median,orthogonal_over_current_rms_q95,orthogonal_energy_fraction_mean,orthogonal_energy_fraction_std,orthogonal_energy_fraction_q05,orthogonal_energy_fraction_median,orthogonal_energy_fraction_q95,state_shift_rms_mean,state_shift_rms_std,state_shift_rms_q05,state_shift_rms_median,state_shift_rms_q95,state_shift_valid_mean,state_shift_valid_std,state_shift_valid_q05,state_shift_valid_median,state_shift_valid_q95,effective_secant_gain_mean,effective_secant_gain_std,effective_secant_gain_q05,effective_secant_gain_median,effective_secant_gain_q95,anchor_change_rms_mean,anchor_change_rms_std,anchor_change_rms_q05,anchor_change_rms_median,anchor_change_rms_q95,anchor_change_over_nominal_rms_mean,anchor_change_over_nominal_rms_std,anchor_change_over_nominal_rms_q05,anchor_change_over_nominal_rms_median,anchor_change_over_nominal_rms_q95,anchor_change_cosine_nominal_mean,anchor_change_cosine_nominal_std,anchor_change_cosine_nominal_q05,anchor_change_cosine_nominal_median,anchor_change_cosine_nominal_q95
x800,0,0.0199999995529651,closed,512,1.0,0.9999197338474914,3.3701586855536925e-05,0.9998766034841536,0.9999247789382936,0.9999561667442322,1.0002049473114312,0.0037962357163553,0.995951011776924,0.9999490082263948,1.0046469032764436,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209189166725991,0.0054613076435604,0.0147460736334323,0.0196094969287514,0.0304315468296408,1.0002852898323908,0.0038112641254408,0.996094772219658,1.0000282526016235,1.0047504365444184,0.0002685453949879,0.0001255947678686,0.0002100688769132,0.0002370691945543,0.0004375396383693,0.012844713256527,0.0032090439953858,0.0095660917926579,0.012437570374459,0.0165832750499248,-0.0006975585738473,0.1961000414387625,-0.2959811985492706,-0.004143422935158,0.3390752896666525,4.719857568111219e-05,0.000111069240202,1.2574963591305276e-06,1.7951169866137207e-05,0.000175557903276,0.0002574849764016,8.387564027538422e-05,0.0002098314020258,0.0002364019455853,0.0003898069902788,0.0124679892305721,0.0022543214323665,0.0093625110574066,0.0122686265967786,0.015710815321654,0.0001605227942889,6.740474403073582e-05,8.765702477830928e-05,0.0001505192194599,0.0002468298189342,0.0003974202890049,8.970071124560324e-05,0.0002876515573007,0.0003804017469519,0.0005660819588229,1.0,0.0,1.0,1.0,1.0,0.6687967717880383,0.1559612270856112,0.5376004576683044,0.6466666460037231,0.84811050593853,0.0009420735481171,0.0011220047349776,0.0003531988782924,0.0005783332162536,0.0027076836908236,0.0414138163341704,0.0349148382056048,0.0197979983873665,0.0289172949269413,0.1008841089904308,-0.0960826754874233,0.3812919409459689,-0.6474459052085877,-0.1398826763033867,0.5773451387882232
x800,0,0.0199999995529651,frozen,512,1.0,0.9999199663288892,3.309291313389032e-05,0.9998756945133208,0.9999250173568726,0.999956151843071,1.0002004888374358,0.0037714124351733,0.995921403169632,0.999935269355774,1.004659652709961,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209187355594622,0.0054605953568019,0.0147462006192654,0.0196095379069447,0.0304295963607728,1.0002805982949212,0.0037858728811087,0.9961101770401,1.0000029504299164,1.0047364711761475,0.0002681703066116,0.0001241714963113,0.0002105169689457,0.0002372501912759,0.0004359177546575,0.0128287943653049,0.0031688568869146,0.0095343343913555,0.0124133508652448,0.0165179152041673,-0.0006344123389681,0.1959893692839188,-0.2885444864630699,-0.0057840389199554,0.3349849238991737,4.69443744036957e-05,0.0001101111975777,1.4438346340739372e-06,1.743804750731215e-05,0.0001752296411723,0.0002571532629929,8.297509940201225e-05,0.0002103141021507,0.0002354410025873,0.0003906402707798,0.0124535880850089,0.0022309353850715,0.0093567629344761,0.0122420685365796,0.0157638933509588,0.000160059208035,6.617496810227458e-05,8.754921291256323e-05,0.0001498682540841,0.0002485007746145,0.0003972720345473,8.922068266238722e-05,0.0002875872145523,0.0003804926382144,0.0005664240481564,1.0,0.0,1.0,1.0,1.0,0.6683284327154979,0.1559710770731427,0.5377723187208175,0.6470527052879333,0.8490055739879607,0.0009404982242813,0.0011131640361967,0.000351997470716,0.0005781140644103,0.0027029104181565,0.0413674831688695,0.0346663182653757,0.0197568249888718,0.0289800725877285,0.1008667737245559,-0.095846596924094,0.3812885693005575,-0.6451858401298523,-0.1412288397550583,0.5762498408555984
x800,0,0.0199999995529651,replay,512,1.0,0.999920977279544,3.006500561149323e-05,0.999879351258278,0.9999254047870636,0.9999566078186036,1.000175838591531,0.0035698200462772,0.9960336267948152,0.9999253153800964,1.004459297657013,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209178851364413,0.0054581246068452,0.0147444989997893,0.0196096859872341,0.0304309199564158,1.0002549240598455,0.0035814530208226,0.9961124926805496,0.9999897480010986,1.0045242071151734,0.0002656761013497,0.0001139193906329,0.0002114081100444,0.0002368034474784,0.0004151867658947,0.0127497895791748,0.0029139371035295,0.0095187832135707,0.0123952133581042,0.0163892734795808,-0.000880364168097,0.1943183395468254,-0.3016046315431595,-0.0068379216827452,0.326418200135231,4.523103844114584e-05,0.000103106017248,1.5311468530398998e-06,1.7681622921372764e-05,0.0001717794693831,0.0002552627866521,7.571153385420831e-05,0.0002110545123287,0.0002353486706851,0.0003815172371105,0.0123942768777851,0.0021043208831006,0.0093078929465264,0.0122150615788996,0.0155326236505061,0.0001580376172896,6.012798975206266e-05,8.663687767693773e-05,0.0001492077281,0.000241262595955,0.0003969602905726,8.48021829396522e-05,0.0002898051214287,0.0003819964331341,0.0005659287999151,1.0,0.0,1.0,1.0,1.0,0.6644089208566584,0.1496546393746998,0.536296546459198,0.6427491903305054,0.8392723679542541,0.0009077885549686,0.001026386781897,0.0003550597379216,0.0005766976973973,0.0025421475758776,0.040109332787324,0.0317837794716344,0.0199166737496852,0.0286830980330705,0.0959234554320573,-0.1022607373025721,0.3807952849518956,-0.6476719409227372,-0.1502054259181022,0.5714135229587555
x800,0,0.050000000745058,closed,512,1.0,0.9997154256561772,0.0004702696614257,0.9991261303424837,0.9998453557491302,0.9999150842428208,1.0001097600907087,0.0126648688736142,0.983572107553482,1.000070035457611,1.0163692116737366,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274189984902477,0.0099629077792373,0.0171351983211934,0.0250203581526875,0.0449231320992112,1.0003949624951929,0.0127091550911083,0.983800795674324,1.0002036690711975,1.0170126676559448,0.0007204915792442,0.0008286677822837,0.0002689831118914,0.0004663573054131,0.0022101344540715,0.0231754107080632,0.0139660065938654,0.013331342022866,0.0184078654274344,0.0501035664230585,0.0048429778010188,0.3319818152656753,-0.5370853483676911,0.0055858248379081,0.5456328153610229,0.0002644994134983,0.0005649707932789,6.252564503483882e-06,0.0001033499393088,0.0010206345643382,0.0006382044334429,0.0006398620890244,0.0002660490281414,0.0004341880994616,0.0017537568463012,0.0211315160668164,0.0110703159816385,0.0130388796795159,0.0175828197970986,0.041781741939485,0.0005688535023011,0.0009387511360798,0.0001700124259514,0.00030915554089,0.0017470261547714,0.0010416006318791,0.0003201401624898,0.0007117109809769,0.0009611566492822,0.0016239935357589,1.0,0.0,1.0,1.0,1.0,0.6027172170579433,0.3703358289244003,0.3552256524562835,0.476087287068367,1.3769057869911194,0.0044701546256646,0.0051898522563716,0.0010214002861175,0.0028250582981854,0.0148212838452309,0.1471350119099952,0.1264844959671356,0.0492596855387091,0.1107240058481693,0.3783862575888633,0.210625781140834,0.3126844457751747,-0.3431470274925232,0.2258601635694503,0.6740566134452819
x800,0,0.050000000745058,frozen,512,1.0,0.9997185637475924,0.0004527889432529,0.999135047197342,0.9998452365398408,0.9999152034521104,0.9999998315470292,0.0126758680092939,0.9835901260375975,1.0001631379127502,1.016160362958908,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274140453693689,0.0099511701351904,0.0171355872415006,0.0250249104574322,0.0449557662010192,1.000281598418951,0.0126993745298854,0.9837201535701752,1.0003235936164856,1.0165371119976043,0.0007185210845648,0.000824386152206,0.0002689158834982,0.0004667144385166,0.002226567803882,0.0231273474691988,0.0137862267834215,0.0133241068106144,0.018437135964632,0.0505475575104355,0.0036306664517269,0.3327385679679739,-0.5425895661115646,0.0101996082812547,0.5482811182737349,0.000265162558205,0.0005684809158168,7.200697837106418e-06,0.0001050101491273,0.0010222723998595,0.0006357231269191,0.000631143119492,0.0002672345668543,0.0004354153352323,0.0017522512702271,0.0210827430291828,0.0108783338589694,0.0130186567548662,0.0175962233915925,0.0415759960189461,0.000562589069105,0.0009039156579588,0.0001694854305242,0.0003096285217907,0.001729255443206,0.0010409421454369,0.0003176124770641,0.0007112062419764,0.0009593373688403,0.0016058220993727,1.0,0.0,1.0,1.0,1.0,0.602035956340842,0.3688560737398744,0.3578793525695801,0.476329892873764,1.3767144501209256,0.0044552753015523,0.0051256529009213,0.0010205884289462,0.0028370699146762,0.0147729482967406,0.1467383649505791,0.124059278509571,0.0491049101576209,0.111050009727478,0.3764902085065841,0.2106758702488491,0.312569540567156,-0.3418181657791138,0.2253221571445465,0.6732937395572661
x800,0,0.050000000745058,replay,512,1.0,0.9997846211772412,0.0002403174293134,0.9993655502796172,0.9998578727245332,0.9999165385961531,0.9999488516477868,0.0106498706774473,0.9857916802167892,1.0000468492507937,1.014236718416214,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274103315732645,0.0099478920726933,0.0171360005624592,0.0250206515192985,0.04497842323035,1.0001643256982788,0.0106585075154468,0.9860540479421616,1.00019633769989,1.0144593000411988,0.0006413292400964,0.0006630079807599,0.000267490313854,0.0004381084436317,0.0018882067233789,0.0209953124885942,0.0101861010587927,0.0131537411827594,0.0176183255389332,0.0443512845784425,0.0026966099387664,0.3289782497472244,-0.5398903399705887,0.0031321259448304,0.5363752931356429,0.0002300707813654,0.0004639048239538,6.51266118438798e-06,9.80565237114206e-05,0.000841624487657,0.0005707294502315,0.000507024918848,0.0002650720707606,0.0004084484971826,0.0014857596950605,0.019242688005761,0.0077778343090166,0.0129207482095807,0.0168656092137098,0.0356151206418871,0.0004306575943076,0.0004802548994098,0.0001669467557803,0.0002844487753463,0.0012684734363574,0.0010079220281795,0.0002587893553309,0.0007176342915045,0.0009501325839664,0.0014765655039809,1.0,0.0,1.0,1.0,1.0,0.5713619234156795,0.3398759935413569,0.3482750281691551,0.4537718743085861,1.239859938621521,0.0037367961368772,0.0037613971980427,0.0009913712856359,0.002549477154389,0.0115101329516619,0.1246291307761566,0.0858275557211908,0.0481763226911425,0.1012035459280014,0.2953399941325187,0.2060586478813775,0.3141534386023495,-0.3547143578529358,0.2256738767027855,0.6743075340986251
x800,0,0.1000000014901161,closed,512,1.0,0.9968010971788316,0.0097564373111715,0.9900682389736176,0.9988060593605042,0.9997529029846192,0.9973363577155396,0.040064952920758,0.9404634356498718,0.9995578527450562,1.0428531527519227,0.041451538902038,0.0197393773786468,0.0219409982673823,0.0349911712110042,0.0806193310767412,0.0414373720668663,0.0197099909859703,0.0220020860433578,0.0351025573909282,0.0792499281466007,1.0004999595694244,0.0386543086775445,0.9486733406782152,1.0007939338684082,1.048120963573456,0.0036000673472358,0.0060134245375113,0.0005261238664388,0.0018898391281254,0.0122257506474852,0.0678388583219202,0.0567703040343404,0.0224379127845168,0.0527501218020916,0.1648199319839477,-0.0138142790420658,0.3627884420163904,-0.6264956921339034,-0.0145622622221708,0.5458565801382065,0.0013824589151786,0.0033079147070307,2.084318484776304e-05,0.0004719094285974,0.0049306497443467,0.0032003472994119,0.0051017272523704,0.0005185897927731,0.0017490700702182,0.0107153489254415,0.0615780181760783,0.0500560225985197,0.0222280061803758,0.0488503016531467,0.1405878908932209,0.0062925639895183,0.0184462360728337,0.0004940936894854,0.0023863610113039,0.0197650210931897,0.0027386472522721,0.0012474731298815,0.0015617020952049,0.0023884122492745,0.005119760078378,1.0,0.0,1.0,1.0,1.0,1.0279845070908775,0.9140868081676822,0.3259412840008736,0.762519121170044,2.381736230850219,0.0144132945276851,0.0163689801975783,0.0030810586293227,0.0096680242568254,0.0388237100094556,0.3169707574415952,0.2302636684060784,0.1109422370791435,0.2592433989048004,0.72801915705204,0.3348100980787194,0.2425253742719842,-0.1070962555706501,0.3648935407400131,0.7030430018901824
x800,0,0.1000000014901161,frozen,512,1.0,0.9967976197367534,0.0096048314270653,0.9906940042972564,0.9988242089748384,0.9997514337301254,0.996020149323158,0.0411815253328442,0.9383227527141572,0.99941748380661,1.04132838845253,0.041451538902038,0.0197393773786468,0.0219409982673823,0.0349911712110042,0.0806193310767412,0.0413335954362992,0.0194527810905396,0.0220030166208744,0.0350741855800151,0.0790995024144649,0.9991293218918144,0.0387374338855031,0.9455218762159348,1.0004900097846985,1.046039927005768,0.0036019762828232,0.0062433366108682,0.0005284255486913,0.0018594797002151,0.0115351862739771,0.067693205201067,0.056040358400648,0.0224601990543305,0.0527083426713943,0.1625966809689998,-0.0176818764890072,0.3637945789725653,-0.6289076000452042,-0.0126224253326654,0.5548275411128997,0.0014101069460407,0.0036816779875411,2.224589970865054e-05,0.0004651044000638,0.0046770970569923,0.0031801126738741,0.0051282471320273,0.0005173039389774,0.0017438776558265,0.0104750751052051,0.0616008190390857,0.0501266256476504,0.0222932863980531,0.0484785791486501,0.1360934659838676,0.0063024318908162,0.0182746027144929,0.0004969960602466,0.0023501982213929,0.0185253480449318,0.0027336543203091,0.0012389720458437,0.0015601875900756,0.00238651514519,0.0051137823145836,1.0,0.0,1.0,1.0,1.0,1.0284783954848535,0.917133362937377,0.3242113769054413,0.7723227739334106,2.399223113059997,0.0142489574991486,0.0157263966282609,0.003080536366906,0.0095472238026559,0.0400665866211056,0.314634247624781,0.2234809745588176,0.1097479909658432,0.256636843085289,0.7328445017337798,0.3355393759778735,0.2426810872337735,-0.106015658378601,0.363534078001976,0.6985512018203734
x800,0,0.1000000014901161,replay,512,1.0,0.9982092487625778,0.0047063554640078,0.9950342744588851,0.9991605877876282,0.999794328212738,0.9971933459164576,0.0314111756456358,0.9553151220083236,0.9993918836116792,1.032641303539276,0.041451538902038,0.0197393773786468,0.0219409982673823,0.0349911712110042,0.0806193310767412,0.0413326791895087,0.0194061704513348,0.0219993186183273,0.0351556241512298,0.078716879338026,0.9989378462778404,0.0301033501320501,0.958466535806656,0.9999508559703828,1.0340098917484284,0.0028107130438002,0.0047867695151585,0.0004799110713065,0.0015466993791051,0.0084989777300506,0.053708425250079,0.0388963451093187,0.0209097401238977,0.0439172610640525,0.1144081868231296,-0.012961725715229,0.3622359037721147,-0.6013267517089843,-0.0207228902727365,0.5530921876430511,0.0010769261706643,0.0029210621869261,2.1169720639591105e-05,0.0004052891599712,0.0035564299905672,0.0024868276009897,0.0038649285264764,0.0004712560024927,0.0014569560298696,0.0076691751834005,0.0489276478365354,0.0341255204619584,0.0202783402986824,0.0409657042473554,0.0995311379432678,0.0035561913591095,0.0091699192977518,0.0004112116337637,0.0016782151069492,0.0099069477990269,0.0024395876148446,0.0008627908395343,0.0015224056551232,0.0022062807111069,0.0039868034189566,1.0,0.0,1.0,1.0,1.0,0.9350391893531196,0.8679536898500833,0.2999644741415977,0.6979662179946899,2.1065109491348264,0.0101412189449092,0.0090176599652926,0.0026612889021635,0.0074153239838778,0.0264584575779736,0.2280583041283534,0.1173653204360383,0.097340091317892,0.2024699747562408,0.4548341676592826,0.3493774946846315,0.2433338427453877,-0.0851360037922859,0.3810902684926986,0.7096931278705597
x800,0,0.2000000029802322,closed,512,1.0,0.9709593044244684,0.0498500497092072,0.8950664430856705,0.9869803190231324,0.997994315624237,0.9813890523510054,0.0784441597841371,0.8320130228996276,0.9909722805023192,1.0897002220153809,0.0632043490550131,0.0248833407887548,0.0330173663794994,0.0577392634004354,0.1086399607360363,0.0638884766303817,0.0254734543115519,0.0328997103497386,0.0583879444748163,0.1112895116209983,1.0119014726951718,0.0792537573621803,0.8958628296852111,1.0050143003463743,1.1460990965366362,0.0153836570191288,0.0161678007222165,0.0023527387995272,0.0101365242153406,0.0446009084582328,0.2111840659781592,0.1512658149698688,0.0662050411105155,0.1693864092230796,0.4717608481645584,-0.0581656306467266,0.2988396925529757,-0.5507770031690598,-0.0681634210050106,0.4509146511554717,0.00397663308439,0.005811574056092,0.0001245081151864,0.0018428304465487,0.0156950677279382,0.014552574000163,0.0153852855967596,0.002302268857602,0.0095436004921793,0.0422692609950899,0.1957801714888773,0.1282970016882775,0.063299959897995,0.1608412861824035,0.4459325700998306,0.0547578476212038,0.0848352911088845,0.0040074854856356,0.0258700428530573,0.1988560788333415,0.0088063061793945,0.0047123960338164,0.0039286384126171,0.0074325881432741,0.0182171826250851,1.0,0.0,1.0,1.0,1.0,1.4879382289364005,0.7966700069690209,0.5529468566179275,1.325961947441101,3.013960349559784,0.0424201055338926,0.0389370434365008,0.0092807821929454,0.032042371109128,0.1085627485066652,0.6316302883788012,0.4269693956100732,0.2399780951440334,0.5327852368354797,1.380388885736465,0.3373316866094704,0.1923091315243981,0.0061032491270452,0.3595120161771774,0.6162920594215393
