family,seed,time,relation,samples,valid_rate,cosine_mean,cosine_std,cosine_q05,cosine_median,cosine_q95,coefficient_mean,coefficient_std,coefficient_q05,coefficient_median,coefficient_q95,nominal_rms_mean,nominal_rms_std,nominal_rms_q05,nominal_rms_median,nominal_rms_q95,current_rms_mean,current_rms_std,current_rms_q05,current_rms_median,current_rms_q95,current_over_nominal_rms_mean,current_over_nominal_rms_std,current_over_nominal_rms_q05,current_over_nominal_rms_median,current_over_nominal_rms_q95,change_rms_mean,change_rms_std,change_rms_q05,change_rms_median,change_rms_q95,change_over_nominal_rms_mean,change_over_nominal_rms_std,change_over_nominal_rms_q05,change_over_nominal_rms_median,change_over_nominal_rms_q95,delta_cosine_nominal_mean,delta_cosine_nominal_std,delta_cosine_nominal_q05,delta_cosine_nominal_median,delta_cosine_nominal_q95,delta_parallel_rms_mean,delta_parallel_rms_std,delta_parallel_rms_q05,delta_parallel_rms_median,delta_parallel_rms_q95,delta_orthogonal_rms_mean,delta_orthogonal_rms_std,delta_orthogonal_rms_q05,delta_orthogonal_rms_median,delta_orthogonal_rms_q95,orthogonal_over_current_rms_mean,orthogonal_over_current_rms_std,orthogonal_over_current_rms_q05,orthogonal_over_current_rms_median,orthogonal_over_current_rms_q95,orthogonal_energy_fraction_mean,orthogonal_energy_fraction_std,orthogonal_energy_fraction_q05,orthogonal_energy_fraction_median,orthogonal_energy_fraction_q95,state_shift_rms_mean,state_shift_rms_std,state_shift_rms_q05,state_shift_rms_median,state_shift_rms_q95,state_shift_valid_mean,state_shift_valid_std,state_shift_valid_q05,state_shift_valid_median,state_shift_valid_q95,effective_secant_gain_mean,effective_secant_gain_std,effective_secant_gain_q05,effective_secant_gain_median,effective_secant_gain_q95
x800,0,0.0199999995529651,segment_alpha_0,512,1.0,1.0000000103609636,8.047628371835928e-08,0.9999998807907104,1.0,1.0000001192092896,1.0,0.0,1.0,1.0,1.0,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
x800,0,0.0199999995529651,segment_alpha_0.25,512,1.0,0.9999652712140232,1.0215098391671582e-05,0.99994814991951,0.999965637922287,0.9999810129404068,1.0000464014010504,0.0010129819438779,0.998848631978035,0.9999719560146332,1.001331275701523,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209110366940876,0.0054340129332636,0.0147486000321805,0.0196214755997061,0.030435776989907,1.0000811336794868,0.001013035201131,0.998883017897606,1.0000110268592834,1.001356941461563,0.0001687650374151,3.111290996875107e-05,0.0001412916695699,0.0001625212680664,0.0002144307429261,0.0083000663671555,0.0012652707951509,0.0062781339511275,0.0083112861029803,0.0102703944779932,0.0037083019220176,0.1119535811253305,-0.1526163339614868,-0.0033315315376967,0.1703238829970359,1.3463558318223268e-05,2.801627180513889e-05,3.861056612208813e-07,6.455088850998436e-06,4.764468940265942e-05,0.0001670037872543,2.437254613769372e-05,0.0001412222671206,0.0001622891140868,0.0002093796581903,0.0082411022131054,0.0012402541371603,0.0061576702399179,0.0082925907336175,0.0101831469684839,6.945099137567468e-05,2.04335459108019e-05,3.791701801674208e-05,6.876708721392788e-05,0.0001036964880768,9.931800863682838e-05,2.2305170665596805e-05,7.189680363808292e-05,9.512315955362284e-05,0.0001416060120391,1.0,0.0,1.0,1.0,1.0,1.7273359538521618,0.2045750188731705,1.423752450942993,1.715053677558899,2.0528315544128417
x800,0,0.0199999995529651,segment_alpha_0.5,512,1.0,0.9999475008808076,1.6080312560791507e-05,0.9999204337596892,0.9999487400054932,0.9999709397554396,1.0001222778810188,0.0019491785414544,0.9980068385601044,0.999940812587738,1.002267986536026,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209142682870151,0.0054434038520266,0.0147455792408436,0.0196165600791573,0.0304288545623421,1.0001747951610014,0.001951879560769,0.9980600625276566,0.9999922811985016,1.0023151099681855,0.0002108731133603,5.875450346731313e-05,0.0001755774967023,0.0001982776666409,0.0002888713759602,0.0102832539378141,0.0017649569652107,0.007700057234615,0.0102704730816185,0.012739228690043,0.0044270693104806,0.151506645820304,-0.198232053220272,-0.0058049415238201,0.2311173185706138,2.4818164004739712e-05,5.607863365768555e-05,1.0544091026076786e-06,1.019074943542364e-05,9.465704861213453e-05,0.0002062440326824,4.030863606158937e-05,0.0001753860917233,0.0001970503872144,0.0002703225123696,0.010129135893294,0.0015476010986188,0.0076105386251583,0.0101320375688374,0.0126160681247711,0.0001049897849938,3.216794811403138e-05,5.792030005977722e-05,0.0001026582067424,0.0001591651685885,0.0001986360172736,4.461034133119361e-05,0.0001437936072761,0.0001902463191072,0.0002832120240782,1.0,0.0,1.0,1.0,1.0,1.070414614630863,0.1541483771656144,0.8852442622184753,1.0542293787002563,1.292905086278915
x800,0,0.0199999995529651,segment_alpha_0.75,512,1.0,0.9999329465208576,2.2698170313737304e-05,0.9998977094888688,0.999935507774353,0.99996258020401,1.000143658136949,0.0028433124096943,0.9970542073249816,0.999900847673416,1.0035255014896394,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209161085895175,0.0054514362217342,0.0147484387271106,0.0196125144138932,0.0304308434017002,1.0002107471227646,0.0028501335445678,0.9971282571554184,0.999968945980072,1.0035997569561004,0.0002420580679256,8.868815815694716e-05,0.0001969518249097,0.0002211487371823,0.0003630486200563,0.0116960799277876,0.0023535744984585,0.0088094835169613,0.0114841125905513,0.0146679563447833,0.0007217876442666,0.1778648143577234,-0.2502502404153347,-0.0087320432066917,0.2791525840759277,3.609872353967092e-05,8.183560101065561e-05,1.4969999369895958e-06,1.407190393365454e-05,0.0001463934320781,0.0002343191032707,5.963864600812822e-05,0.0001969194556295,0.0002200275557697,0.0003291424101917,0.0114347886901668,0.0018320649522322,0.0086522983387112,0.0113554522395133,0.014302811352536,0.0001341042990787,4.538482737541457e-05,7.486419199267402e-05,0.0001289463034481,0.0002045706241915,0.0002979540273599,6.691551156031889e-05,0.0002156904214643,0.0002853694750228,0.0004248180441209,1.0,0.0,1.0,1.0,1.0,0.8120086085982621,0.1466690216406427,0.6624871373176575,0.7933984994888306,0.988315150141716
x800,0,0.0199999995529651,segment_alpha_1,512,1.0,0.9999199663288892,3.309291313389032e-05,0.9998756945133208,0.9999250173568726,0.999956151843071,1.0002004888374358,0.0037714124351733,0.995921403169632,0.999935269355774,1.004659652709961,0.0209081308821623,0.0054252157347352,0.0147508927155286,0.0196239966899156,0.0304047420620918,0.0209187355594622,0.0054605953568019,0.0147462006192654,0.0196095379069447,0.0304295963607728,1.0002805982949212,0.0037858728811087,0.9961101770401,1.0000029504299164,1.0047364711761475,0.0002681703066116,0.0001241714963113,0.0002105169689457,0.0002372501912759,0.0004359177546575,0.0128287943653049,0.0031688568869146,0.0095343343913555,0.0124133508652448,0.0165179152041673,-0.0006344123389681,0.1959893692839188,-0.2885444864630699,-0.0057840389199554,0.3349849238991737,4.69443744036957e-05,0.0001101111975777,1.4438346340739372e-06,1.743804750731215e-05,0.0001752296411723,0.0002571532629929,8.297509940201225e-05,0.0002103141021507,0.0002354410025873,0.0003906402707798,0.0124535880850089,0.0022309353850715,0.0093567629344761,0.0122420685365796,0.0157638933509588,0.000160059208035,6.617496810227458e-05,8.754921291256323e-05,0.0001498682540841,0.0002485007746145,0.0003972720345473,8.922068266238722e-05,0.0002875872145523,0.0003804926382144,0.0005664240481564,1.0,0.0,1.0,1.0,1.0,0.6683284327154979,0.1559710770731427,0.5377723187208175,0.6470527052879333,0.8490055739879607
x800,0,0.050000000745058,segment_alpha_0,512,1.0,1.000000014086254,7.841426498555327e-08,0.9999998807907104,1.0,1.0000001192092896,1.0,0.0,1.0,1.0,1.0,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
x800,0,0.050000000745058,segment_alpha_0.25,512,1.0,0.9999481096165256,2.8344462930760784e-05,0.9999095261096954,0.99995356798172,0.999973264336586,0.999969882890582,0.0031927502766078,0.995908722281456,0.9999780356884004,1.0040264070034026,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274055620247963,0.009939169351314,0.0171308331191539,0.0249739317223429,0.045193263888359,1.0000217780470848,0.003193341037255,0.99594167470932,1.0000376105308533,1.0040705263614655,0.0002888195042487,0.0001846669020099,0.0001916048684506,0.0002340476494282,0.0006049261894077,0.010349705758017,0.0026185612400281,0.0075603139586746,0.0099045820534229,0.0148514420725405,-0.0019767028702517,0.2375215624397328,-0.4097594603896141,-0.0019579109502956,0.3765795975923537,6.716678627975703e-05,0.0001396935760893,1.973457551684987e-06,2.6207339033135213e-05,0.0002633406416862,0.0002717777601048,0.0001401414997405,0.0001915765700687,0.0002306566384504,0.0005129531462443,0.0099543839824036,0.0021662257857202,0.0073174408404156,0.0096363257616758,0.0134530776645988,0.0001037731297088,5.668187915609393e-05,5.354494151106337e-05,9.285885244025847e-05,0.0001809853769373,0.0002602355363592,7.940311926602804e-05,0.0001778015604941,0.00023983434221,0.0004014555248431,1.0,0.0,1.0,1.0,1.0,1.0689450099598616,0.2579991939085813,0.8531933665275574,1.012414038181305,1.5131414115428925
x800,0,0.050000000745058,segment_alpha_0.5,512,1.0,0.9998952524038032,0.0001101281822369,0.9997536659240722,0.9999206960201265,0.9999522984027862,0.9999824803089724,0.006406581281803,0.9914689779281616,1.0000444650650024,1.0084272623062134,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274077888479951,0.009940318699364,0.0171314594335854,0.0249843830242753,0.0451242305338382,1.0000872666714713,0.0064116568618562,0.9915778905153274,1.000123679637909,1.0086784720420838,0.0004306608408342,0.0003958556030522,0.0002293119272508,0.0003083102637901,0.0011292820388916,0.0146144967711734,0.0060909206458818,0.0100919718854129,0.0128620113246142,0.0257961403578519,0.0005255229222598,0.2903082264096359,-0.4913631305098533,0.003554800292477,0.4839974299073219,0.0001337740127354,0.0002846800337003,3.55668940983378e-06,5.143266935192514e-05,0.0005133611208293,0.0003916774849699,0.0002997477346806,0.0002283189576701,0.0002968441258417,0.0009234415891114,0.0136778493051679,0.0047367122824166,0.0097728450782597,0.0125898635014891,0.0221860539168119,0.0002094761842457,0.0002201497218565,9.550906397635118e-05,0.000158504662977,0.000492641274468,0.0005204710727184,0.000158806238532,0.0003556031209882,0.0004796686844201,0.0008029110496863,1.0,0.0,1.0,1.0,1.0,0.7576946456101723,0.3225844864697497,0.5543584167957306,0.6498118042945862,1.4352985203266142
x800,0,0.050000000745058,segment_alpha_0.75,512,1.0,0.9998205233132468,0.0002496373865502,0.999484235048294,0.9998888075351716,0.999933409690857,0.999971955199726,0.0095600710766113,0.9870911657810212,1.0000251531600952,1.0120415270328522,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274100201877445,0.00994380078355,0.0171343814581632,0.0250053824856877,0.0450118836015462,1.0001515570329502,0.0095719722057618,0.9873107850551606,1.000131070613861,1.01242898106575,0.0005722538418808,0.0006085512432328,0.0002514859777875,0.0003820735728368,0.0016803218983113,0.0187954677749075,0.0098786891071803,0.011860355688259,0.0154759571887552,0.0381721969693899,0.0016070139636212,0.3173905578311257,-0.5238898247480392,0.0017358280601911,0.5225771278142929,0.0001992911716812,0.0004257876426645,4.964409367858025e-06,7.895653834566474e-05,0.0007909432228188,0.0005111419209526,0.0004643087695533,0.0002503041832824,0.000361811442417,0.0013343587866984,0.0172992022053222,0.0077275979404628,0.0115361360367387,0.0149093442596495,0.0320940709672868,0.0003588615331011,0.0004987689951289,0.0001330825471086,0.0002222885450464,0.0010313259524991,0.0007807066102714,0.0002382093596776,0.0005334046785719,0.0007195030339062,0.0012043665745295,1.0,0.0,1.0,1.0,1.0,0.6513240162166767,0.352334052561315,0.4306895464658737,0.5261977314949036,1.4009068965911864
x800,0,0.050000000745058,segment_alpha_1,512,1.0,0.9997185637475924,0.0004527889432529,0.999135047197342,0.9998452365398408,0.9999152034521104,0.9999998315470292,0.0126758680092939,0.9835901260375975,1.0001631379127502,1.016160362958908,0.0274043481840635,0.0099395641334777,0.0171259092167019,0.0249598016962409,0.0452408947050571,0.0274140453693689,0.0099511701351904,0.0171355872415006,0.0250249104574322,0.0449557662010192,1.000281598418951,0.0126993745298854,0.9837201535701752,1.0003235936164856,1.0165371119976043,0.0007185210845648,0.000824386152206,0.0002689158834982,0.0004667144385166,0.002226567803882,0.0231273474691988,0.0137862267834215,0.0133241068106144,0.018437135964632,0.0505475575104355,0.0036306664517269,0.3327385679679739,-0.5425895661115646,0.0101996082812547,0.5482811182737349,0.000265162558205,0.0005684809158168,7.200697837106418e-06,0.0001050101491273,0.0010222723998595,0.0006357231269191,0.000631143119492,0.0002672345668543,0.0004354153352323,0.0017522512702271,0.0210827430291828,0.0108783338589694,0.0130186567548662,0.0175962233915925,0.0415759960189461,0.000562589069105,0.0009039156579588,0.0001694854305242,0.0003096285217907,0.001729255443206,0.0010409421454369,0.0003176124770641,0.0007112062419764,0.0009593373688403,0.0016058220993727,1.0,0.0,1.0,1.0,1.0,0.602035956340842,0.3688560737398744,0.3578793525695801,0.476329892873764,1.3767144501209256
