family,relation,time,cosine_mean_mean,cosine_mean_std,coefficient_mean_mean,coefficient_mean_std,orthogonal_energy_fraction_mean_mean,orthogonal_energy_fraction_mean_std,change_over_nominal_rms_mean_mean,change_over_nominal_rms_mean_std,anchor_change_over_nominal_rms_mean_mean,anchor_change_over_nominal_rms_mean_std,state_shift_rms_mean_mean,state_shift_rms_mean_std,effective_secant_gain_mean_mean,effective_secant_gain_mean_std
v500,closed,0.0199999995529651,0.9998065153486095,7.499175584653215e-08,0.9995014815940522,0.00021016682414277954,0.000386918528207,1.3964457593561406e-07,0.019727406611309548,3.302006859879243e-05,0.04708929809567045,0.0010618495329603771,0.00031693767579095,3.3439984536453903e-06,0.9914358941023238,0.0026416562164093384
v500,closed,0.050000000745058,0.9996635952265933,1.892508743428039e-05,0.9994577979668975,0.0005704798204720951,0.00067258121461575,3.781866361029146e-05,0.0265054273304485,0.0007950805060948483,0.17531903039343885,0.000725898804187719,0.00081042070900135,1.7211541440781683e-05,0.6527071203745436,0.022347407047030525
v500,closed,0.1000000014901161,0.9979940929915756,0.00011039543786778012,0.9994633882306516,0.00042667592580593143,0.0039757456944755,0.0001920340932883466,0.05526189563533985,0.0010593703855664566,0.36679717795414035,0.011488592841324904,0.00205673998829065,5.8949611069354426e-05,0.7698195516422857,0.0037539184221701337
v500,closed,0.2000000029802322,0.9795673397020437,0.0021828113792052915,0.9881210245366674,0.0028221209957217954,0.03836648131488115,0.004122985979039162,0.16816150884733355,0.010542568134435644,0.7381696064112475,0.04314481939121621,0.00632172503264875,0.00021521735246221867,1.0788995492475806,0.043464954628272455
v500,closed,0.4000000059604645,0.8940931192191783,0.004803088730184613,0.9020691449113656,0.002985770046818112,0.18909018349586398,0.007011844064515434,0.42283934101578774,0.009380178259017297,1.5096539783116896,0.07250445723559694,0.0223221306332561,0.000791707401252188,1.2105036447755992,0.00841715896991179
v500,closed,0.6000000238418579,0.8245079032494687,0.005852792829681844,0.8355368557677139,0.005924224205804999,0.30663385357183864,0.007235891702659681,0.5690010437974706,0.007898536195561762,2.320818090811372,0.04199122555330686,0.050323055627814,0.0014505140536805409,0.9105702553060837,0.00558503167850446
v500,closed,0.800000011920929,0.8080718166311271,0.005446705968645857,0.8180729109881213,0.0054465742803237755,0.3349604591021489,0.006843054453576446,0.6011772939382354,0.006945987599497056,2.7111042214091867,0.025361237510698083,0.08954761011955265,0.0020283677384926166,0.5914221582643222,0.0032071673597277354
v500,closed,0.8999999761581421,0.8082640543289017,0.006370596786254259,0.8209394235163927,0.007242281487992331,0.3353685280526406,0.008380524787187461,0.6039023240737151,0.00795760146407305,2.774903191719204,0.034591973890300144,0.1100965468867798,0.00228884813734959,0.42946863661927637,0.00013316200063298247
v500,closed,0.949999988079071,0.8181378417793894,0.007092588785438089,0.8337275341909844,0.008063087452633977,0.3196557152259629,0.009685432664229653,0.5894613741838839,0.009806135980298607,3.09845805936493,0.061732126485154845,0.11907792469719425,0.002441797568870496,0.29012401293584844,0.0011375806387839925
v500,closed,0.9700000286102296,0.836481751055544,0.00727637961067154,0.8538930153445108,0.007399952127988531,0.2898780422146956,0.010327381660250745,0.5580918936611852,0.011851739714163317,3.5863200526218866,0.0866084763575364,0.12220964761945649,0.002514420653309147,0.20702920265466668,0.0016721224301050515
v500,closed,0.9900000095367432,0.8979211857367773,0.0058379566862567,0.9149681993912964,0.003727159119487924,0.18672919135678967,0.009314203569825059,0.4359820552926976,0.014537690724893934,4.789163463632576,0.12544719880783836,0.1250762704912631,0.0025816513540866492,0.10626294073881579,0.0019790477376600314
v500,frozen,0.0199999995529651,0.9998063656967132,1.6052022382078782e-07,0.9994927303050645,0.000214903899424944,0.00038722002481955003,3.2027146914072063e-07,0.0197376397945845,4.521453533093033e-05,0.04713451358293235,0.00108581974787736,0.00031700946587414995,3.401028793861275e-06,0.9918047393439338,0.003216679417760187
v500,frozen,0.050000000745058,0.9996628563385456,2.0227688471070208e-05,0.9993304189993069,0.0005954783346312854,0.00067406071237025,4.0422190603782845e-05,0.02651828858688525,0.0008190848431353855,0.17549467461140006,0.001060927081885709,0.00081074257712995,1.7709784944978905e-05,0.6524342025222722,0.02221722522782993
v500,frozen,0.1000000014901161,0.9980181244318374,1.6598367369631703e-05,0.9985753438086249,0.000638681735487135,0.00393495899541555,4.531021846359185e-05,0.055220705571628004,0.001541550348682665,0.3659420165968186,0.012885687976815833,0.00205714411339385,6.492864743300743e-05,0.7691225638554897,0.004200092204496046
v500,frozen,0.2000000029802322,0.9803018218372017,0.0028036694429477865,0.986152536373993,0.003194242261015928,0.03701684477528025,0.004865973217280198,0.1645467766302317,0.012262068859753632,0.7207726231863489,0.0447309738880752,0.0062775423709808004,0.0002291619819345926,1.0702563493396156,0.05174690694033129
v500,frozen,0.4000000059604645,0.9005104492243845,0.00501992545774033,0.9031226634979248,0.0017323199321308935,0.17913709465392455,0.0071227940148662185,0.40913037511199946,0.009510063949274236,1.4130935752473306,0.06671377585436611,0.02159811241790515,0.0007190532256667919,1.2080741125100758,0.0018325890545766756
v500,frozen,0.6000000238418579,0.8426929440174717,0.004821859635885962,0.8506167031737277,0.005027493965714003,0.27923060950342915,0.006288917166222271,0.5383500823954819,0.006543575252179485,2.121351442532614,0.04018651906740301,0.047110238177992855,0.0013288925773659718,0.9132735745515674,0.003530885408179855
v500,frozen,0.800000011920929,0.8333508598443586,0.004381081226395889,0.8414365354401525,0.003997402330060775,0.2965928206576791,0.005999586398082171,0.5599217092676554,0.006272169077729891,2.4613862347905524,0.02603403201633438,0.08212369015200235,0.0018862260358888832,0.5964431543252431,0.0026074393139093816
