scale,layer_position,decoder_hidden_index,clean_within_spatial_variance,generated_within_spatial_variance,within_spatial_variance_ratio,clean_between_sample_trace_variance,generated_between_sample_trace_variance,between_sample_trace_variance_ratio,pooled_mean_shift_normalized,decoder_projected_fid_mean,decoder_projected_fid_std,decoder_projected_swd_mean,decoder_projected_swd_std
0.85,0,6,3.504982120537758,2.951819302535057,0.8421781341589751,769.5499848783222,673.3201822795256,0.874953148606699,0.19633206725120544,180.21718491605657,21.224528240208997,1.0792324293440148,0.00995622118251505
0.85,1,11,12.727430063819885,10.726937942934036,0.8428204192948092,3345.713662139372,2943.0483379343477,0.879647404151273,0.1781315952539444,105.62792556504473,5.331264442701266,0.7643239477164978,0.017712993034481147
0.85,2,17,135.99187901306152,123.78917481689453,0.910268875724594,44442.868202467755,40907.06118746182,0.9204415205855322,0.10857263952493668,62.41058219822412,0.3464970391670098,0.5844712653905841,0.012880827085413245
0.85,3,22,694.5669864166259,656.8417490478515,0.9456852425949519,332105.5832251483,300607.6738182524,0.905156941051659,0.15484100580215454,62.458859400490155,3.9792119595979236,0.6171110057356983,0.03890586519775183
0.85,4,28,1065.6571026748657,992.2279492294311,0.9310949523433731,577811.5332789074,507251.47772115003,0.8778839613024852,0.17704400420188904,61.738282825773126,3.5219256470898452,0.5865685296147978,0.06346825013670138
0.92,0,6,3.504982120537758,2.9842961704015734,0.8514440495758371,769.5499848783222,673.8579682061629,0.8756519803099084,0.1852106750011444,163.75658288219847,18.867915095871044,1.0264178659895804,0.011145436593570163
0.92,1,11,12.727430063819885,10.85565690574646,0.8529339270624404,3345.713662139372,2940.842412840596,0.8789880754350369,0.16675186157226562,95.42666891745012,4.51535168200613,0.7228193921046339,0.016205749198362204
0.92,2,17,135.99187901306152,124.85541316299438,0.9181093317418055,44442.868202467755,40817.371236794206,0.9184234251228584,0.10022367537021637,56.91754343924049,0.30303298998695166,0.5555796494727696,0.012178756957201876
0.92,3,22,694.5669864166259,661.7741896163941,0.9527867038866694,332105.5832251483,299179.2490062622,0.9008558245268525,0.1421651989221573,56.803102411891814,3.2019376630047267,0.5850205559746374,0.03486275730750817
0.92,4,28,1065.6571026748657,1001.0565883483887,0.9393796426971437,577811.5332789074,505198.97759413853,0.8743317647664207,0.16282080113887787,56.386303413976066,3.1246066710965206,0.5570702479921292,0.058510942464128364
1.0,0,6,3.504982120537758,3.020931306171417,0.8618963527574074,769.5499848783222,674.1993132658017,0.8760955448168881,0.17310269176959991,146.52383669083451,16.368795894794587,0.9683691579940594,0.012385266100179973
1.0,1,11,12.727430063819885,11.000753931474685,0.8643342667225805,3345.713662139372,2935.3850557207925,0.8773569265469656,0.15419332683086395,84.42467176110267,3.5755474353498915,0.6757366046749986,0.013775503401938206
1.0,2,17,135.99187901306152,125.93662460861206,0.9260598906535905,44442.868202467755,40701.40446029549,0.9158140801100565,0.0904545933008194,51.13443559078246,0.13706676897887507,0.5236311442925883,0.011975020312001068
1.0,3,22,694.5669864166259,666.5098999572754,0.9596049236314826,332105.5832251483,297868.6501903776,0.896909492751406,0.12718747556209564,51.02490800579881,2.800593098710635,0.5506851297188502,0.032565282103824415
1.0,4,28,1065.6571026748657,1009.689287512207,0.9474804653183694,577811.5332789074,503645.64646461327,0.8716434641007856,0.14603161811828613,50.89747030747776,2.5543931927160504,0.5255682020753445,0.05327326733707938
1.2,0,6,3.504982120537758,3.110642730855942,0.8874917542742518,769.5499848783222,676.7529141172263,0.8794138488927804,0.1442728489637375,109.88548928371233,10.739944580100882,0.8312926581891638,0.01330333602772213
1.2,1,11,12.727430063819885,11.348263695764542,0.8916382678089992,3345.713662139372,2936.573730339702,0.8777122093771613,0.1246400848031044,62.466879145933035,1.6418063526350186,0.5706967635973442,0.007253021821445282
1.2,2,17,135.99187901306152,128.4363873222351,0.9444415964713545,44442.868202467755,40665.850758445784,0.9150140934465556,0.06985051929950714,39.382514499032595,0.265269921571872,0.4523278698170643,0.01132038429672785
1.2,3,22,694.5669864166259,677.9446415435791,0.976068046425869,332105.5832251483,294781.6590631552,0.8876142827846116,0.09605816751718521,39.4796113301079,1.3464544580407203,0.47421148807036084,0.022347657246004397
1.2,4,28,1065.6571026748657,1030.7240141235352,0.9672192035659066,577811.5332789074,499489.2737931184,0.8644501624234919,0.11052354425191879,39.799778556146975,1.8499285162063617,0.45570336093915453,0.04273927952693875
1.4,0,6,3.504982120537758,3.1991625871181486,0.9127471915968893,769.5499848783222,679.2059426645192,0.8826014632069834,0.11940489709377289,82.9938951630611,5.9936278836117305,0.7113892096287042,0.012655992592276826
1.4,1,11,12.727430063819885,11.68745349636078,0.9182885655435316,3345.713662139372,2941.87285300901,0.8792960635871836,0.09910725057125092,47.73070996550791,0.622534617030756,0.48673223911211216,0.0022469520965870825
1.4,2,17,135.99187901306152,131.1234286064148,0.9642004328348229,44442.868202467755,40552.05912591503,0.9124536909087996,0.05082346126437187,31.72644573869775,0.5362967911208364,0.3971304117527118,0.011450046729593856
1.4,3,22,694.5669864166259,690.1119828735351,0.9935859267281406,332105.5832251483,290931.891764018,0.8760222846563318,0.0666288286447525,31.274920602051907,0.4406768537822772,0.41052599741845464,0.013619225119459729
1.4,4,28,1065.6571026748657,1052.9980296478273,0.9881208758471526,577811.5332789074,493694.53824196884,0.8544213983414284,0.07701931893825531,32.2002282315666,1.2097856074750728,0.4007352449002348,0.030648630163367364
1.5,0,6,3.504982120537758,3.2422175872802734,0.9250311344763238,769.5499848783222,679.5209229128166,0.8830107676764614,0.10937881469726562,73.1911562884934,4.0083857693289255,0.6621535454471865,0.011921278761467962
1.5,1,11,12.727430063819885,11.85062601017952,0.9311091045683413,3345.713662139372,2940.103710272513,0.8787672847031694,0.08921299129724503,42.924177923402794,0.4542980626220409,0.45718257447632127,0.0021089239942860423
1.5,2,17,135.99187901306152,132.4633464782715,0.9740533584770078,44442.868202467755,40399.924779464134,0.9090305467103239,0.0436735637485981,29.38581399967893,0.7214822454428536,0.3797104796797554,0.012408830470675255
1.5,3,22,694.5669864166259,695.94541587677,1.0019845882212968,332105.5832251483,288847.3339773583,0.869745492298865,0.05542571097612381,28.792777866438882,0.10742891133540246,0.38892717624499695,0.008231391802585208
1.5,4,28,1065.6571026748657,1063.477607032776,0.9979547871105827,577811.5332789074,490609.90965920204,0.8490829299912684,0.06407299637794495,29.866645556788626,0.8526841096498163,0.3828113486299268,0.023959441215789964
