scale,layer_position,decoder_hidden_index,clean_within_spatial_variance,generated_within_spatial_variance,within_spatial_variance_ratio,clean_between_sample_trace_variance,generated_between_sample_trace_variance,between_sample_trace_variance_ratio,pooled_mean_shift_normalized,decoder_projected_fid_mean,decoder_projected_fid_std,decoder_projected_swd_mean,decoder_projected_swd_std
1.6,0,6,3.504982120537758,3.284891097164154,0.9372062350663757,769.5499848783222,679.9801310019085,0.883607490564013,0.1010357066988945,65.51329332790056,2.32969998560165,0.6207465334706226,0.011160643401249053
1.6,1,11,12.727430063819885,12.008821396684647,0.9435385884242241,3345.713662139372,2939.2403601426313,0.8785092380748367,0.08099798113107681,39.57689961108167,0.22839682876792514,0.4342450306587,0.0009213877004559274
1.6,2,17,135.99187901306152,133.72591989746093,0.9833375409469638,44442.868202467755,40400.620616203545,0.909046203592239,0.037959832698106766,27.754252036134403,0.6764477234515698,0.365787146422322,0.012904534310370861
1.6,3,22,694.5669864166259,701.9907181533813,1.0106882876409884,332105.5832251483,287470.0370994741,0.8655983266158646,0.0458485372364521,26.91176702881262,0.5547786807691857,0.3703426559348609,0.0018531692296597142
1.6,4,28,1065.6571026748657,1074.2483912124633,1.008061963380184,577811.5332789074,488593.41816866957,0.845593052454402,0.05276338383555412,28.39614548879581,0.6741127616579115,0.3680962580855206,0.01863250346456383
1.78,0,6,3.504982120537758,3.3592625418901445,0.9584250151252537,769.5499848783222,679.4423941684921,0.8829087226555172,0.09157292544841766,56.771673018242154,0.6673732645716681,0.5694623052263666,0.007488045844208216
1.78,1,11,12.727430063819885,12.29125790772438,0.9657297542466641,3345.713662139372,2933.5864883738595,0.8768193529442734,0.07026626914739609,35.892423548931674,0.19696792663441648,0.4057629241647257,0.0011035043501798202
1.78,2,17,135.99187901306152,135.69363983993532,0.9978069339486253,44442.868202467755,40197.65559054421,0.9044793285486505,0.028015658259391785,26.356103412935454,0.7948959760524351,0.35304195751424017,0.013148318155333334
1.78,3,22,694.5669864166259,709.9229203399658,1.0221086435486424,332105.5832251483,283950.3334883843,0.8550001801562079,0.024702120572328568,24.99650140471408,1.209145503875431,0.34849292366843,0.007201678358081243
1.78,4,28,1065.6571026748657,1088.945408036804,1.0218534698483062,577811.5332789074,483351.12053396256,0.8365203750625912,0.02832532301545143,26.47830368394966,0.7358329137404931,0.3502364141815889,0.012328434716353373
1.85,0,6,3.504982120537758,3.387364462184906,0.9664427222998769,769.5499848783222,679.2023875152095,0.8825968434299974,0.09042451530694962,55.27442059651344,1.7249978408021163,0.5596042880421558,0.005625936101206754
1.85,1,11,12.727430063819885,12.397261635541916,0.9740585156137268,3345.713662139372,2931.848751284003,0.8762999608906374,0.06865114718675613,35.47049234514702,0.14659830178394362,0.4012821037988723,0.0018815217484391134
1.85,2,17,135.99187901306152,136.55879596862792,1.0041687559557284,44442.868202467755,40021.45797591626,0.9005147416136839,0.026992814615368843,26.668942344122343,0.81533634974661,0.3549165415466007,0.013447900763554201
1.85,3,22,694.5669864166259,714.2236061813354,1.0283005385357011,332105.5832251483,281879.67573418655,0.8487652420558328,0.018771059811115265,24.879961105622897,1.5870489075818428,0.3463200257143698,0.012126706615966612
1.85,4,28,1065.6571026748657,1096.7095740264892,1.0291392712286906,577811.5332789074,480111.9977219884,0.8309145284752221,0.020836379379034042,26.513400723418727,0.7434520785374809,0.3493742526308068,0.00928398708545059
