ordinal,source_batch,id,label,write_query,write_time,successor_time,read_query,read_time,quantized_input_changed_fraction,finite_recurrence_roundoff_rms,state_projection,state_rms,state_relative_norm,state_cosine,read_projection,read_rms,read_relative_norm,read_cosine,feedback_projection,feedback_rms,feedback_relative_norm,feedback_cosine
7,1324,10592,592,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.2653617858886719,3.2038316078307786e-08,0.004207984720903789,0.0007079206477251736,0.004207984725256174,0.9999999989656839,0.015291502908379682,0.012766648713960684,0.07588684261956102,0.20150400755292536,0.0,0.0,0.0,0.0
7,1324,10593,593,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.2796478271484375,3.186029011447863e-08,0.0042079846297785935,0.0007690198455702399,0.004207984633427951,0.9999999991327543,0.01228120499183504,0.01260159125309911,0.06895440040362102,0.17810618205578815,0.0,0.0,0.0,0.0
7,1324,10594,594,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.28847503662109375,3.208009834778348e-08,0.004207984059763911,0.0008224588126022334,0.004207984062951052,0.9999999992425969,0.01132379258776521,0.01272538448355182,0.06510747320256174,0.17392462079636753,0.0,0.0,0.0,0.0
7,1324,10595,595,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.2592735290527344,3.2154023642322364e-08,0.004207983888039546,0.0007055596360125008,0.004207983892429007,0.9999999989568731,0.014157171274887501,0.012113548777853712,0.0722456551305018,0.1959587915607455,0.0,0.0,0.0,0.0
7,1324,10596,596,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.2745475769042969,3.2043458259023157e-08,0.004207984549409541,0.0007690929257305949,0.004207984553065715,0.999999999131134,0.010537465050354172,0.010848121712415193,0.05935398320333815,0.17753593746614008,0.0,0.0,0.0,0.0
7,1324,10597,597,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.266632080078125,3.216192911248924e-08,0.0042079845545676346,0.0007309553833565062,0.004207984558633052,0.9999999990338803,0.009408833633251465,0.01126099500522076,0.06482761352576487,0.1451362023300773,0.0,0.0,0.0,0.0
7,1324,10598,598,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.2618865966796875,3.194974104069865e-08,0.00420798384738033,0.0006943487624162176,0.0042079838518619146,0.9999999989349806,0.009605279408336135,0.011488306714264733,0.06962294995765328,0.13796139655355524,0.0,0.0,0.0,0.0
7,1324,10599,599,48,0.8965517282485962,0.8927790522575378,49,0.8927790522575378,0.28411865234375,3.220243750000453e-08,0.004207984738280532,0.0007844928384885736,0.004207984741868169,0.9999999991474214,0.008340989174128469,0.011494345333702938,0.06165515784079405,0.13528453200406318,0.0,0.0,0.0,0.0
7,1324,10592,592,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2661170959472656,3.2073923683973624e-08,0.00425628010019984,0.0007181156580512701,0.0042685853700655885,0.9971172487372417,0.011338253959060083,0.011719730423943947,0.06966380591744183,0.1627567401714598,6.663099182394001e-05,5.5628930747545574e-05,0.0003306665678140825,0.20150507583640365
7,1324,10593,593,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2816314697265625,3.175154672994023e-08,0.004243162657564733,0.0007773288597690888,0.0042534505655090205,0.9975812795315617,0.008355951800984104,0.010964796741292443,0.05999805656745592,0.13927037439270207,5.35136406674929e-05,5.490971451488463e-05,0.0003004593915690385,0.17810606747233834
7,1324,10594,594,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2925567626953125,3.2038253674976524e-08,0.004238989855507902,0.0008303163593890589,0.004248185993000581,0.9978352789854701,0.008668682135915753,0.012319954957517754,0.06303315536675026,0.13752575268488698,4.934140581847065e-05,5.544900708572969e-05,0.0002836963195578955,0.17392332017335624
7,1324,10595,595,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2626838684082031,3.200667778989918e-08,0.004251335649776236,0.0007147052130596169,0.004262528453847981,0.9973741397405474,0.013451507630921252,0.012073968720293019,0.07200959819615378,0.18680159267490168,6.168737127511084e-05,5.2783081932455625e-05,0.000314800262412685,0.19595717869587495
7,1324,10596,596,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2785758972167969,3.205054758481556e-08,0.004235564275777591,0.0007755300718455374,0.004243204499201318,0.9981994213512063,0.012526230454690545,0.011478377832458359,0.06280234156016143,0.19945483151597232,4.591533790735271e-05,4.726914930505277e-05,0.00025862655013146526,0.17753528353532527
7,1324,10597,597,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.2672576904296875,3.203079870567118e-08,0.004230645954726563,0.0007364936841767199,0.004239867604935424,0.9978250145834444,0.010398362948553681,0.01135988591636058,0.06539691151103266,0.15900388425529002,4.0997012287908654e-05,4.9068072066766276e-05,0.00028247646064348314,0.1451342607257157
7,1324,10598,598,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.26483917236328125,3.1863651944442045e-08,0.00423150172518281,0.0006999874700786632,0.004242156290949114,0.9974884080086732,0.008160830486392706,0.011494183222529247,0.06965856354727985,0.117154734045781,4.1853485558386596e-05,5.00587029040862e-05,0.0003033723466756595,0.13796077993599354
7,1324,10599,599,48,0.8965517282485962,0.8927790522575378,50,0.8888888955116272,0.28652191162109375,3.2090741798985387e-08,0.004225993419455854,0.0007894115053074783,0.004234368252218832,0.9980221765646882,0.011167382370407979,0.011926806186756416,0.06397485864852913,0.1745589221503459,3.634429332444048e-05,5.00850607493511e-05,0.0002686540412973821,0.13528288332804111
7,1324,10592,592,48,0.8965517282485962,0.8927790522575378,51,0.8848758339881897,0.269622802734375,3.1844673746821594e-08,0.004288253004567584,0.0007257483260855497,0.004313955074430629,0.9940421099850149,0.01346244904606779,0.012142141872666662,0.0721746818605441,0.1865259215424036,0.00011751889464701723,8.153731730109069e-05,0.00048466983812930925,0.24247206118830802
7,1324,10593,593,48,0.8965517282485962,0.8927790522575378,51,0.8848758339881897,0.2828216552734375,3.1659764288659304e-08,0.004261730392418926,0.0007826781974639058,0.004282721501686376,0.9950986518130622,0.011764278772366533,0.012262584413854945,0.06709939551865785,0.17532615132270937,9.099637146466009e-05,7.916318251773557e-05,0.0004331714681834665,0.21007009498169274
7,1324,10594,594,48,0.8965517282485962,0.8927790522575378,51,0.8848758339881897,0.29400634765625,3.1883601659106364e-08,0.004258989026897214,0.0008363494368371047,0.00427905330618749,0.995311047127816,0.009343515854950038,0.012483039263987613,0.06386755114685175,0.14629519509001265,8.825557163211435e-05,8.271529605906742e-05,0.0004232000949416157,0.2085433644439281
7,1324,10595,595,48,0.8965517282485962,0.8927790522575378,51,0.8848758339881897,0.2661285400390625,3.183071372294945e-08,0.004292871575416917,0.0007241168058542162,0.004318659543071845,0.9940287102056242,0.017239483511347176,0.013340256243558229,0.07956178404850518,0.21668045428489952,0.0001221382906007723,8.162552702622476e-05,0.0004868176769274493,0.25089123996410395
7,1324,10596,596,48,0.8965517282485962,0.8927790522575378,51,0.8848758339881897,0.280029296875,3.183264675724391e-08,0.00427299401965474,0.0007843022394853809,0.004291200189566431,0.9957573244995753,0.008316003114866207,0.011385032812265756,0.062291617316139886,0.13350115911521715,0.00010226007841602706,7.455084664407243e-05,0.00040789454772090396,0.2507022439682059
