step_index,t,s,samples,official_empirical_squared_mean_gap,official_offdiagonal_cross_statistic,candidate_empirical_squared_mean_gap,candidate_offdiagonal_cross_statistic,control_empirical_squared_mean_gap,control_offdiagonal_cross_statistic
55,0.8674699068069458,0.8627451062202454,100,8.431981505068607e-09,3.3946498655077125e-09,6.023347741677891e-09,9.802660063173249e-10,6.525178088286341e-09,1.481950368678921e-09
56,0.8627451062202454,0.8578553795814514,100,8.67868278471575e-09,3.4894631752225515e-09,5.964126996274508e-09,7.710488065373187e-10,6.53878484486325e-09,1.3454208846075874e-09
57,0.8578553795814514,0.8527919054031372,100,9.73011712011534e-09,4.224553291834499e-09,6.424367209974068e-09,9.120223362555608e-10,6.997837489530167e-09,1.4849882222353094e-09
58,0.8527919054031372,0.8475452661514282,100,9.971047649384364e-09,4.19446719885125e-09,6.800763931636398e-09,1.0201782398895434e-09,7.456158824372462e-09,1.675080613090151e-09
59,0.8475452661514282,0.8421052694320679,100,1.070800137921083e-08,4.538708079898781e-09,7.647629596316619e-09,1.4730583366398949e-09,8.33028133450038e-09,2.1552652544972287e-09
60,0.8421052694320679,0.836461067199707,100,1.2074048580275615e-08,5.153087388818125e-09,8.222439678843442e-09,1.295444704732665e-09,9.003244421369688e-09,2.0759473760137314e-09
61,0.836461067199707,0.8306010961532593,100,1.273249458214488e-08,5.876510709673997e-09,8.389352379986888e-09,1.5305770215972166e-09,9.232149211835758e-09,2.3729372319608103e-09
62,0.8306010961532593,0.8245124816894531,100,1.4355005412222348e-08,6.6666846667814505e-09,9.482159690027074e-09,1.7884451464009269e-09,1.0357569342010666e-08,2.6628970565365188e-09
63,0.8245124816894531,0.8181818127632141,100,1.4792006675501145e-08,6.682076456676035e-09,9.910904756655221e-09,1.7953938569691732e-09,1.0834856563762625e-08,2.7182470098109097e-09
64,0.8181818127632141,0.8115941882133484,100,1.689690131844087e-08,8.46279881598603e-09,1.1099899183814403e-08,2.657651912126945e-09,1.2213829575530603e-08,3.771279037874335e-09
65,0.8115941882133484,0.8047336935997009,100,1.7510733466082987e-08,8.248961007943186e-09,1.174182118881539e-08,2.4661926194678625e-09,1.2913534074298603e-08,3.6377586286497116e-09
66,0.8047336935997009,0.7975830435752869,100,1.886565904776891e-08,9.043127503909922e-09,1.200568362153495e-08,2.1751733558681763e-09,1.3281869187857352e-08,3.450794816439754e-09
67,0.7975830435752869,0.790123462677002,100,2.1084066285017213e-08,1.0499460103443265e-08,1.3001395248090681e-08,2.404534940293987e-09,1.427694269987033e-08,3.679016254712624e-09
68,0.790123462677002,0.7823343873023987,100,2.227065024050747e-08,1.0870928351284952e-08,1.447959886211764e-08,3.0690549143976057e-09,1.598246816109672e-08,4.571373710420529e-09
69,0.7823343873023987,0.774193525314331,100,2.4949724095564163e-08,1.2625371442398533e-08,1.637517337316124e-08,4.038376248489551e-09,1.784224355808634e-08,5.505092736153896e-09
70,0.774193525314331,0.7656765580177307,100,2.8863868654997357e-08,1.4720199659431903e-08,1.8032207469077663e-08,3.877222053474708e-09,1.957246944910234e-08,5.417595452450538e-09
71,0.7656765580177307,0.7567567229270935,100,3.019891357952759e-08,1.576608679268417e-08,1.8742363101442456e-08,4.301633987407611e-09,2.0494153233506943e-08,6.054198895190789e-09
72,0.7567567229270935,0.7474048137664795,100,3.465145871434859e-08,1.821031238961054e-08,2.1207529187726654e-08,4.7476116443437555e-09,2.3125572133439738e-08,6.664838975343342e-09
73,0.7474048137664795,0.73758864402771,100,3.822108034858523e-08,2.0572494363474218e-08,2.2973027747181142e-08,5.3065998649752114e-09,2.4762452293777574e-08,7.094037569024979e-09
74,0.73758864402771,0.7272727489471436,100,4.444371593406497e-08,2.5422032299213384e-08,2.7565222486524184e-08,8.515045120657383e-09,2.9528617650599617e-08,1.0480488071757922e-08
75,0.7272727489471436,0.7164179682731628,100,4.6632514787646556e-08,2.528081125769495e-08,2.8389367935778132e-08,6.98489903943307e-09,3.064289630518594e-08,9.240072374517936e-09
76,0.7164179682731628,0.7049808502197266,100,5.2891851371299986e-08,2.9494022801442414e-08,3.0675445280302076e-08,7.258304623060734e-09,3.31064213666664e-08,9.692548480230082e-09
77,0.7049808502197266,0.6929134130477905,100,6.124848505518357e-08,3.514643078404969e-08,3.353660507274364e-08,7.413695243452542e-09,3.590478795315701e-08,9.781781363296455e-09
78,0.6929134130477905,0.6801619529724121,100,6.771069896364349e-08,3.876022571313323e-08,3.998752194252593e-08,1.099647554656766e-08,4.31174374372857e-08,1.4130488466305378e-08
79,0.6801619529724121,0.6666666865348816,100,7.917538988601314e-08,4.703643125715025e-08,4.619493181566129e-08,1.4022623689466326e-08,4.8796676537164055e-08,1.6626153243131992e-08
80,0.6666666865348816,0.6523604989051819,100,9.815760597742473e-08,5.972954517056527e-08,5.4676424806789084e-08,1.6206942633514393e-08,5.6492569918200265e-08,1.802857731369118e-08
81,0.6523604989051819,0.6371681094169617,100,1.0201305402543501e-07,6.087346286353836e-08,5.9023240443466305e-08,1.782124329670925e-08,6.18058465351552e-08,2.0613020302497618e-08
82,0.6371681094169617,0.621004581451416,100,1.2777763606448356e-07,7.937171404943642e-08,6.928731634214261e-08,2.0782340734920162e-08,7.062848878775016e-08,2.2130529570496447e-08
83,0.621004581451416,0.6037735939025879,100,1.4584616163034024e-07,9.172246898407767e-08,7.951891846922592e-08,2.5273262550442056e-08,8.070392574409888e-08,2.6455420553319557e-08
84,0.6037735939025879,0.5853658318519592,100,1.7937101811235478e-07,1.1704196629535416e-07,9.689181124229173e-08,3.435375498356464e-08,9.833950169195573e-08,3.582691673212346e-08
85,0.5853658318519592,0.5656565427780151,100,2.0224899975674482e-07,1.286305504876411e-07,1.113034984990229e-07,3.7196343165808616e-08,1.1173623392900326e-07,3.764136855314295e-08
86,0.5656565427780151,0.5445026159286499,100,2.5158002676932405e-07,1.6617995317448623e-07,1.319919078380964e-07,4.625347548250109e-08,1.3016312208341723e-07,4.4464826032139056e-08
87,0.5445026159286499,0.52173912525177,100,3.1780663687000854e-07,2.153417490505352e-07,1.6037784627275803e-07,5.745111025455655e-08,1.5570714146359727e-07,5.277359568382278e-08
88,0.52173912525177,0.4971751570701599,100,3.787892387864038e-07,2.5604197697650763e-07,1.9621588199524458e-07,7.268194586351608e-08,1.904486143406951e-07,6.695558789355602e-08
89,0.4971751570701599,0.47058823704719543,100,4.98947308379177e-07,3.5076658820299046e-07,2.460189978902138e-07,9.711902890211876e-08,2.2967780165691518e-07,8.082507357084941e-08
90,0.47058823704719543,0.4417177736759186,100,7.100834292871977e-07,5.114578041728609e-07,3.3476338682870666e-07,1.3478442500548415e-07,3.094843142369256e-07,1.0958845770823602e-07
91,0.4417177736759186,0.41025641560554504,100,8.78810752225993e-07,6.405451458928861e-07,4.113390755669043e-07,1.7022878561651166e-07,3.9182954766421913e-07,1.5061980067939192e-07
92,0.41025641560554504,0.3758389353752136,100,1.2897955990488524e-06,9.665767372388216e-07,5.735060127119467e-07,2.4534631324237803e-07,5.4219454714775e-07,2.1385118374239513e-07
93,0.3758389353752136,0.3380281627178192,100,1.7685068898552212e-06,1.3507179515671227e-06,8.116699394434914e-07,3.8515398690789527e-07,7.756291141371254e-07,3.479664327348999e-07
94,0.3380281627178192,0.29629629850387573,100,2.802149140305687e-06,2.1849172715942327e-06,1.2766154069861966e-06,6.434279912421812e-07,1.2215778628883112e-06,5.878676400880282e-07
95,0.29629629850387573,0.25,100,5.349120058032753e-06,4.348885350877313e-06,2.648011828116489e-06,1.6075231321651178e-06,2.6170839124649207e-06,1.5744761588034008e-06
96,0.25,0.1983470916748047,100,1.1377410580731228e-05,9.73966115534585e-06,6.213269670496403e-06,4.517118959783138e-06,6.211876082455453e-06,4.5117879466122005e-06
97,0.1983470916748047,0.14035087823867798,100,3.5803867274108726e-05,3.184813587815019e-05,2.2341131762814823e-05,1.826892234251982e-05,2.2450961835769637e-05,1.8370540286053153e-05
98,0.14035087823867798,0.07476635277271271,100,0.0001600308854157728,0.0001471475226264847,0.00011817241666754966,0.00010485647214923793,0.00011918467362087561,0.00010582169058129861
99,0.07476635277271271,0.0,100,0.0006046877683163973,0.0005857466358909138,0.0006129148004591783,0.0005881234619176145,0.0006750385983837341,0.0006502271402336594
