step_index,t,s,beta,count,Y_second_moment,W_second_moment,d2_W2_minus_Y2,e2_R2_reconstructed,cross_twice_d2_minus_e2,cross_YR_reconstructed,channel_spatial_mean_residual_squared_mean,channel_d2_negative_count,channel_d2_zero_count,channel_d2_positive_count
0,1.0,0.9987389445304871,0.0012610554695129395,100,0.9974124030275302,0.9973956916667464,-1.6711360783858392e-05,1.298747072114347e-06,-1.8010107855972738e-05,-9.005053927986369e-06,5.32973595009022e-09,901,0,123
1,0.9987389445304871,0.9974554777145386,0.001285087433643639,100,0.9944692726764466,0.9944536469135067,-1.562576293985703e-05,1.3084669695617808e-06,-1.693422990941881e-05,-8.467114954709406e-06,4.731276172861587e-09,882,0,142
2,0.9974554777145386,0.996148943901062,0.0013098667841404676,100,0.9928607261014533,0.9928447997237023,-1.5926377750979568e-05,1.3672754788602996e-06,-1.7293653229839868e-05,-8.646826614919934e-06,4.97940443992045e-09,865,0,159
3,0.996148943901062,0.9948186874389648,0.0013353991089388728,100,0.9896765130896954,0.9896603998061548,-1.611328354068854e-05,1.4118489522979886e-06,-1.7525132492986528e-05,-8.762566246493264e-06,5.282668683843439e-09,873,0,151
4,0.9948186874389648,0.9934640526771545,0.0013616901123896241,100,0.9870771142798799,0.9870625973418041,-1.4516938075807254e-05,1.4734734623814412e-06,-1.5990411538188694e-05,-7.995205769094347e-06,5.2300379621511815e-09,839,0,185
5,0.9934640526771545,0.9920844435691833,0.0013886854285374284,100,0.9844017611445826,0.9843863348889528,-1.5426255629732684e-05,1.4863044698271093e-06,-1.6912560099559794e-05,-8.456280049779897e-06,5.828884600510104e-09,843,0,181
6,0.9920844435691833,0.9906790852546692,0.0014165713218972087,100,0.9812285907698981,0.9812133573294868,-1.5233440411216849e-05,1.4652727602902628e-06,-1.669871317150711e-05,-8.349356585753556e-06,4.965360178649593e-09,863,0,161
7,0.9906790852546692,0.9892473220825195,0.0014452340546995401,100,0.9790727516005298,0.9790567613472525,-1.599025327714775e-05,1.5054635557244851e-06,-1.7495716832872237e-05,-8.747858416436118e-06,4.6838897305330566e-09,877,0,147
8,0.9892473220825195,0.9877883195877075,0.001474861172027886,100,0.9756764769632295,0.9756611969711873,-1.5279992042239576e-05,1.5757104538680075e-06,-1.6855702496107584e-05,-8.427851248053792e-06,4.892502019463804e-09,846,0,178
9,0.9877883195877075,0.9863013625144958,0.0015053397510200739,100,0.9730924370460071,0.9730779907077121,-1.4446338295128012e-05,1.5675338508501716e-06,-1.6013872145978183e-05,-8.006936072989091e-06,4.234990831523827e-09,848,0,176
10,0.9863013625144958,0.9847856163978577,0.0015367981977760792,100,0.9699703104206556,0.9699553272609753,-1.4983159680234193e-05,1.6631648368628851e-06,-1.664632451709708e-05,-8.32316225854854e-06,4.68770053131534e-09,847,0,177
11,0.9847856163978577,0.9832402467727661,0.0015692446613684297,100,0.9666065772854565,0.9665911596347412,-1.5417650715260746e-05,1.6204325008427465e-06,-1.703808321610349e-05,-8.519041608051745e-06,3.634507071094244e-09,852,0,172
12,0.9832402467727661,0.9816642999649048,0.0016028095269575715,100,0.964516685779877,0.9645014853472743,-1.5200432602658926e-05,1.6809939281754841e-06,-1.688142653083441e-05,-8.440713265417206e-06,4.079385177373965e-09,854,0,170
13,0.9816642999649048,0.9800570011138916,0.0016373202670365572,100,0.9608851599535919,0.960870807621317,-1.4352332274923099e-05,1.7744539340582355e-06,-1.6126786208981335e-05,-8.063393104490668e-06,4.912166321523393e-09,818,0,206
14,0.9800570011138916,0.9784172773361206,0.0016730902716517448,100,0.9578229559455138,0.9578083248381853,-1.4631107328401676e-05,1.6927605894628457e-06,-1.632386791786452e-05,-8.16193395893226e-06,4.147170877288865e-09,824,0,200
15,0.9784172773361206,0.9767442345619202,0.0017099480610340834,100,0.9546826525686622,0.9546674649523579,-1.518761630443224e-05,1.7524668366506788e-06,-1.694008314108292e-05,-8.47004157054146e-06,4.140564189663531e-09,821,0,203
16,0.9767442345619202,0.9750366806983948,0.0017482098191976547,100,0.9510205679623958,0.9510072858650318,-1.3282097363948595e-05,1.7994102375439926e-06,-1.5081507601492587e-05,-7.540753800746294e-06,3.801728427663192e-09,793,0,231
17,0.9750366806983948,0.9732937812805176,0.0017875218763947487,100,0.948360181718416,0.9483458495406367,-1.433217777921218e-05,1.8558206444602656e-06,-1.6187998423672446e-05,-8.093999211836223e-06,3.956280316379768e-09,816,0,208
18,0.9732937812805176,0.9715142250061035,0.001828385517001152,100,0.944450896620662,0.944437246602268,-1.3650018393946014e-05,1.897942893285058e-06,-1.5547961287231072e-05,-7.773980643615536e-06,3.553943559912944e-09,797,0,227
19,0.9715142250061035,0.9696969985961914,0.001870509353466332,100,0.9413465243314814,0.941334235453046,-1.2288878435423416e-05,1.9664626678691248e-06,-1.425534110329254e-05,-7.12767055164627e-06,4.0212665980847814e-09,777,0,247
20,0.9696969985961914,0.9678407311439514,0.00191427581012249,100,0.9377013088284558,0.9376894404535159,-1.1868374939922265e-05,2.0662348783756806e-06,-1.3934609818297946e-05,-6.967304909148973e-06,4.489646000250325e-09,766,0,258
21,0.9678407311439514,0.9659442901611328,0.0019594556652009487,100,0.9337932814414027,0.93377983378726,-1.3447654142592939e-05,2.0475277491575575e-06,-1.5495181891750495e-05,-7.747590945875247e-06,3.840775323783405e-09,784,0,240
22,0.9659442901611328,0.964006245136261,0.0020063736010342836,100,0.9311024906399072,0.9310896086862039,-1.2881953703287744e-05,2.1211860813861165e-06,-1.500313978467386e-05,-7.50156989233693e-06,3.735722580402752e-09,785,0,239
23,0.964006245136261,0.9620253443717957,0.0020548629108816385,100,0.9268888566578439,0.9268774096188954,-1.1447038948568587e-05,2.2821906107605636e-06,-1.372922955932915e-05,-6.864614779664575e-06,4.297922150749463e-09,752,0,272
24,0.9620253443717957,0.9599999785423279,0.0021053145173937082,100,0.9232392776124863,0.9232267220257763,-1.255558671002196e-05,2.1742549698007452e-06,-1.4729841679822705e-05,-7.364920839911353e-06,3.7606430231179214e-09,771,0,253
25,0.9599999785423279,0.9579287767410278,0.0021575018763542175,100,0.9195240013118672,0.9195121698304988,-1.1831481368373888e-05,2.340414279201899e-06,-1.4171895647575787e-05,-7.085947823787894e-06,4.176363193482752e-09,741,0,283
26,0.9579287767410278,0.9558101296424866,0.002211695769801736,100,0.915216817737013,0.9152071780931655,-9.639643847413949e-06,2.3786576675721407e-06,-1.201830151498609e-05,-6.009150757493045e-06,3.8189344182531265e-09,697,0,327
27,0.9558101296424866,0.9536424279212952,0.0022679208777844906,100,0.9119354191107549,0.9119246119390239,-1.08071717310178e-05,2.4847910968960188e-06,-1.3291962827913818e-05,-6.645981413956909e-06,3.908225672448576e-09,735,0,289
28,0.9536424279212952,0.9514237642288208,0.002326515270397067,100,0.9073573614480679,0.9073480895718709,-9.27187619698881e-06,2.5924894338427464e-06,-1.1864365630831557e-05,-5.9321828154157786e-06,3.883984351620579e-09,696,0,328
29,0.9514237642288208,0.9491525292396545,0.002387196058407426,100,0.9035897690190016,0.9035810188587494,-8.750160252213811e-06,2.6831646272131267e-06,-1.1433324879426938e-05,-5.716662439713469e-06,4.138639851628705e-09,683,0,341
30,0.9491525292396545,0.9468267560005188,0.0024503683671355247,100,0.8992951157232075,0.8992866381568276,-8.47756637998849e-06,2.8260198966921884e-06,-1.1303586276680678e-05,-5.651793138340339e-06,4.656934321135808e-09,671,0,353
31,0.9468267560005188,0.9444444179534912,0.00251612882129848,100,0.8946706199724922,0.8946608908864072,-9.729086084928344e-06,2.8250660232884757e-06,-1.255415210821682e-05,-6.27707605410841e-06,4.551387767372122e-09,691,0,333
32,0.9444444179534912,0.9420035481452942,0.002584450412541628,100,0.8912202635345075,0.8912114234794787,-8.840055028715718e-06,2.9727067903725304e-06,-1.181276181908825e-05,-5.906380909544125e-06,4.576868039822314e-09,702,0,322
33,0.9420035481452942,0.9395017623901367,0.0026558134704828262,100,0.8862355029082258,0.8862287281813901,-6.774726835779795e-06,3.2231873142207595e-06,-9.997914150000554e-06,-4.998957075000277e-06,5.240775573013197e-09,656,0,368
34,0.9395017623901367,0.9369369745254517,0.0027299446519464254,100,0.8818328799038515,0.8818245982843254,-8.281619526247859e-06,3.1107471661792054e-06,-1.1392366692427064e-05,-5.696183346213532e-06,4.977801556251615e-09,683,0,341
35,0.9369369745254517,0.9343065619468689,0.0028074595611542463,100,0.8774036211892899,0.8773977959630326,-5.82522625743845e-06,3.409547659022747e-06,-9.234773916461197e-06,-4.617386958230598e-06,5.487608424614405e-09,621,0,403
36,0.9343065619468689,0.9316081404685974,0.002888154238462448,100,0.8722284962616809,0.8722233165307786,-5.179730902372926e-06,3.4667954464639155e-06,-8.646526348836842e-06,-4.323263174418421e-06,4.996279324475955e-09,607,0,417
37,0.9316081404685974,0.9288389086723328,0.0029725285712629557,100,0.8681791499390148,0.8681734478383679,-5.702100646798845e-06,3.6901870679368803e-06,-9.392287714735726e-06,-4.696143857367863e-06,5.6573451029605255e-09,629,0,395
38,0.9288389086723328,0.9259962439537048,0.0030604496132582426,100,0.8627183756683326,0.8627143463966533,-4.029271679249638e-06,3.811000461237751e-06,-7.840272140487389e-06,-3.9201360702436945e-06,5.3460036698190645e-09,588,0,436
39,0.9259962439537048,0.9230769276618958,0.003152622142806649,100,0.8580926507624611,0.8580896683699359,-2.982392525077552e-06,3.980944220238713e-06,-6.963336745316265e-06,-3.4816683726581324e-06,5.667497482935865e-09,590,0,434
40,0.9230769276618958,0.9200779795646667,0.0032488603610545397,100,0.8529864911907463,0.8529843312559705,-2.1599347757823373e-06,4.261032506511236e-06,-6.420967282293574e-06,-3.210483641146787e-06,6.441793182458779e-09,568,0,456
41,0.9200779795646667,0.9169960021972656,0.0033496913965791464,100,0.8474076893443868,0.8474044391491254,-3.2501952613840993e-06,4.267634511970424e-06,-7.517829773354524e-06,-3.758914886677262e-06,6.624880313898701e-09,562,0,462
42,0.9169960021972656,0.913827657699585,0.0034551345743238926,100,0.8429895925657802,0.8429873050777672,-2.287488013060857e-06,4.583286136832292e-06,-6.870774149893149e-06,-3.4353870749465747e-06,7.1707071304262435e-09,560,0,464
43,0.913827657699585,0.9105690717697144,0.003565864870324731,100,0.8369703714888411,0.8369681821134838,-2.189375357471114e-06,4.935083934155561e-06,-7.124459291626675e-06,-3.5622296458133374e-06,7.589957648414335e-09,562,0,462
44,0.9105690717697144,0.9072164297103882,0.003681919537484646,100,0.831591471451441,0.8315909216945029,-5.497569382133596e-07,4.865447194417317e-06,-5.415204132630677e-06,-2.7076020663153383e-06,8.043010324313682e-09,551,0,473
