phase,region,gamma,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256,condition
01_half_coarse,low_noise,3.0,67.37791402192738,226.4823994114471,35.8597297668457,13174,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3
01_half_coarse,low_noise,3.5,67.63539024579416,227.8856418143523,35.41831588745117,13960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3p5
01_half_coarse,low_noise,4.0,68.0046718289259,229.27351549035052,34.84023666381836,14890,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4
01_half_coarse,low_noise,4.5,69.0045138975301,230.6774428999786,33.92518997192383,15706,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4p5
01_half_coarse,low_noise,5.0,70.26040088102593,232.269044084803,33.209224700927734,16054,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g5
01_half_coarse,low_noise,5.5,71.83234776431419,233.7874102839878,32.29692459106445,16888,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g5p5
01_half_coarse,low_noise,6.0,73.83718057932344,235.13399329332685,30.512344360351562,17530,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g6
02_half_refine,high_noise,2.25,61.82419070203184,212.81869383855155,42.97106170654297,9202,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g2p25
02_half_refine,high_noise,2.75,58.29929602689333,212.08872167067534,43.90773010253906,10102,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g2p75
02_half_refine,high_noise,3.25,56.17722227055992,211.31980709015693,44.720218658447266,10894,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g3p25
