batch_start,batch_size,inverse_maximum_iterations,inverse_maximum_relative_residual,signal_rms,second_increment_rms,inverse_noise_shift_rms,inverse_noise_shift_to_noise,null_noise_cycle_rms,null_switch_cycle_rms,guided_switch_cycle_rms,guided_cycle_to_signal,guided_cycle_to_second_increment
0,8,3,0.0009780342224985361,0.20984378457069397,0.1249828189611435,0.11539968848228455,0.11543306708335876,0.002052963711321354,0.022974900901317596,0.002059121150523424,0.010487030260264874,0.01649826020002365
32,8,3,0.0009925449267029762,0.22001121938228607,0.12304192781448364,0.10897650569677353,0.10890478640794754,0.0020256685093045235,0.01605873554944992,0.0025655245408415794,0.012436768971383572,0.021171241998672485
64,8,3,0.000996325514279306,0.19931413233280182,0.14103838801383972,0.10895093530416489,0.10888554900884628,0.002053906675428152,0.029815085232257843,0.004668641835451126,0.02390299364924431,0.03501866012811661
96,8,3,0.0009527909569442272,0.21824529767036438,0.11527188122272491,0.109858438372612,0.10983005166053772,0.002015003003180027,0.026472847908735275,0.002498626010492444,0.011808918789029121,0.021280735731124878
128,8,3,0.0009295715135522187,0.22838285565376282,0.13955020904541016,0.1045399084687233,0.10445448756217957,0.002007310511544347,0.049209967255592346,0.0029052288737148046,0.016410663723945618,0.024923115968704224
160,8,3,0.0009246412664651871,0.21549686789512634,0.1165744960308075,0.1097387820482254,0.10965529084205627,0.001998512540012598,0.040343333035707474,0.009825843386352062,0.039618752896785736,0.07587463408708572
192,8,3,0.0009513266268186271,0.17349255084991455,0.1320088803768158,0.10909740626811981,0.1090882271528244,0.0020239874720573425,0.05476004630327225,0.006400709971785545,0.03603306785225868,0.04972175136208534
224,8,3,0.0009579632896929979,0.21654874086380005,0.12274560332298279,0.1056012362241745,0.10553102940320969,0.0020101508125662804,0.015250287018716335,0.006539296358823776,0.029131554067134857,0.05440761148929596
256,8,3,0.0009513971162959933,0.23857764899730682,0.11916656792163849,0.11032664775848389,0.11036644876003265,0.0020211958326399326,0.05278636887669563,0.010879699140787125,0.040438421070575714,0.08819888532161713
288,8,3,0.0009439710411243141,0.17944765090942383,0.12710613012313843,0.10518929362297058,0.10524064302444458,0.0020277551375329494,0.023333901539444923,0.0026313993148505688,0.014823514968156815,0.021095776930451393
320,8,3,0.0009646026883274317,0.2344723492860794,0.14825059473514557,0.11448131501674652,0.11449181288480759,0.0020818181801587343,0.0216053556650877,0.002850895281881094,0.012727847322821617,0.022116482257843018
352,8,3,0.000924654130358249,0.2096295952796936,0.1547023355960846,0.10701846331357956,0.1070108711719513,0.001994749531149864,0.020728079602122307,0.008225820027291775,0.03358284756541252,0.04590798169374466
