gamma,time,velocity_cosine,velocity_relative_l2,delta_cosine,delta_norm_ratio,delta_relative_l2,weight_velocity_rms,direct_velocity_rms
0.001,0.0,0.9999999403953552,0.00035124493297189474,0.013668949715793133,19.868396759033203,19.880447387695312,1.014603853225708,1.0145447254180908
0.001,0.10000000149011612,0.9999998807907104,0.000386187806725502,0.11634114384651184,14.742284774780273,14.661237716674805,1.0280547142028809,1.0279954671859741
0.001,0.30000001192092896,0.9999998807907104,0.000475731969345361,0.11603918671607971,9.73124885559082,9.667866706848145,1.0059136152267456,1.0059725046157837
0.001,0.5,0.9999997615814209,0.0006005851901136339,0.09327251464128494,8.047067642211914,8.016103744506836,0.9431098699569702,0.9431714415550232
0.001,0.699999988079071,0.9999997615814209,0.0007038580952212214,0.09870807826519012,7.475528717041016,7.443913459777832,0.897102415561676,0.8970752358436584
0.001,0.8999999761581421,0.9999996423721313,0.0008104258449748158,0.09514478594064713,8.83365249633789,8.795632362365723,0.8350384831428528,0.8350350856781006
0.001,0.949999988079071,0.9999996423721313,0.0007742586312815547,0.11949333548545837,11.11648941040039,11.04347038269043,0.8205459713935852,0.8205559253692627
0.001,1.0,0.9999998807907104,0.0004448968102224171,0.10528511554002762,17.002853393554688,16.927223205566406,0.8372707962989807,0.8372715711593628
0.005,0.0,0.9999997615814209,0.0007335457485169172,0.009325508959591389,8.20798110961914,8.260049819946289,1.0148175954818726,1.0145443677902222
0.005,0.10000000149011612,0.9999994039535522,0.001076492015272379,0.190557062625885,8.122589111328125,7.993010520935059,1.0283398628234863,1.0279992818832397
0.005,0.30000001192092896,0.9999990463256836,0.0013950156280770898,0.18773715198040009,5.740390777587891,5.64180326461792,1.0059537887573242,1.0059738159179688
0.005,0.5,0.9999984502792358,0.0017458125948905945,0.158358633518219,4.714264392852783,4.662751197814941,0.9431032538414001,0.9431825876235962
0.005,0.699999988079071,0.9999983310699463,0.0017902455292642117,0.21503722667694092,3.850191593170166,3.765042781829834,0.8971874117851257,0.8970948457717896
0.005,0.8999999761581421,0.9999976754188538,0.002132965251803398,0.19110724329948425,4.703232765197754,4.618412971496582,0.8351659774780273,0.835050106048584
0.005,0.949999988079071,0.9999980926513672,0.0019177014473825693,0.2048943042755127,5.575946807861328,5.460702419281006,0.8207369446754456,0.8205651640892029
0.005,1.0,0.9999992847442627,0.001248662592843175,0.193193718791008,9.765504837036133,9.622364044189453,0.8375515341758728,0.8372717499732971
0.01,0.0,0.9999992847442627,0.0012983126798644662,0.03044251725077629,7.263909339904785,7.302857398986816,1.0150867700576782,1.0145437717437744
0.01,0.10000000149011612,0.9999978542327881,0.002097244141623378,0.2018471658229828,7.917728424072266,7.7783122062683105,1.0286924839019775,1.0280040502548218
0.01,0.30000001192092896,0.9999963045120239,0.002682772930711508,0.1956786811351776,5.5212225914001465,5.418001174926758,1.0059475898742676,1.0059757232666016
0.01,0.5,0.9999943971633911,0.0033006961457431316,0.16571182012557983,4.451841354370117,4.398998737335205,0.9430992603302002,0.9431965351104736
0.01,0.699999988079071,0.9999940991401672,0.0033902570139616728,0.22690369188785553,3.649785041809082,3.559351921081543,0.8973526358604431,0.8971194624900818
0.01,0.8999999761581421,0.9999918937683105,0.003994191996753216,0.19992324709892273,4.406774520874023,4.320130825042725,0.835425078868866,0.8350690603256226
0.01,0.949999988079071,0.9999939203262329,0.003468396607786417,0.20894819498062134,5.0693745613098145,4.958741188049316,0.8210287094116211,0.8205767869949341
0.01,1.0,0.999998152256012,0.0021073115058243275,0.18233472108840942,8.306041717529297,8.182906150817871,0.8379887342453003,0.8372719883918762
0.05,0.0,0.9999814629554749,0.006683767773211002,0.008267599157989025,7.470757484436035,7.530261516571045,1.0177059173583984,1.0145400762557983
0.05,0.10000000149011612,0.9999438524246216,0.010857302695512772,0.19541828334331512,8.188495635986328,8.053375244140625,1.0318022966384888,1.0280431509017944
0.05,0.30000001192092896,0.9999023675918579,0.013731715269386768,0.1784459352493286,5.641042709350586,5.553670883178711,1.005976915359497,1.0059924125671387
0.05,0.5,0.9998408555984497,0.017623867839574814,0.14294838905334473,4.739767074584961,4.703205108642578,0.9423646926879883,0.9433131814002991
0.05,0.699999988079071,0.9998376369476318,0.017751798033714294,0.20520827174186707,3.803297281265259,3.729217290878296,0.898152768611908,0.897323489189148
0.05,0.8999999761581421,0.9997825026512146,0.020684564486145973,0.18131482601165771,4.549141883850098,4.477693557739258,0.8367993235588074,0.8352265954017639
0.05,0.949999988079071,0.9998268485069275,0.0184346754103899,0.19285303354263306,5.369553565979004,5.269577980041504,0.8228334188461304,0.8206733465194702
0.05,1.0,0.9999454021453857,0.011159907095134258,0.1802697777748108,8.743955612182617,8.619651794433594,0.8407799601554871,0.8372743725776672
0.1,0.0,0.9999204874038696,0.013878673315048218,-0.00903443805873394,7.752222061157227,7.826718330383301,1.0211834907531738,1.0145362615585327
0.1,0.10000000149011612,0.9997652769088745,0.02219798043370247,0.18606728315353394,8.366043090820312,8.23923397064209,1.0356781482696533,1.0280941724777222
0.1,0.30000001192092896,0.9995787143707275,0.028586426749825478,0.15237808227539062,5.845235824584961,5.780766487121582,1.0053809881210327,1.0060197114944458
0.1,0.5,0.999258816242218,0.038050293922424316,0.1122109591960907,5.092665672302246,5.079774856567383,0.94044429063797,0.9434707760810852
0.1,0.699999988079071,0.9992345571517944,0.03849363327026367,0.16821515560150146,4.091279029846191,4.04546594619751,0.8983606100082397,0.8975957632064819
0.1,0.8999999761581421,0.9989655017852783,0.04507797956466675,0.14470407366752625,4.926140785217285,4.883131504058838,0.8378695845603943,0.8354387879371643
0.1,0.949999988079071,0.9991477727890015,0.04079325124621391,0.1609804332256317,5.909574508666992,5.833288192749023,0.824611485004425,0.8208029866218567
0.1,1.0,0.9997504949569702,0.023383500054478645,0.15919777750968933,9.109600067138672,9.004463195800781,0.8440499901771545,0.8372787833213806
