gamma,time,velocity_cosine,velocity_relative_l2,delta_cosine,delta_norm_ratio,delta_relative_l2,weight_velocity_rms,direct_velocity_rms
0.5,0.0,0.9963451623916626,0.09815585613250732,-0.08015377819538116,10.95860481262207,11.0849609375,1.0658862590789795,1.0145375728607178
0.5,0.10000000149011612,0.9923650026321411,0.12683477997779846,0.021977998316287994,9.420755386352539,9.453072547912598,1.0596505403518677,1.0285894870758057
0.5,0.30000001192092896,0.9707542061805725,0.24032846093177795,-0.0709119439125061,9.564898490905762,9.68865966796875,0.9362005591392517,1.0064858198165894
0.5,0.5,0.9121562838554382,0.4045388400554657,-0.08263655006885529,10.678361892700195,10.807534217834473,0.8302510380744934,0.9452047348022461
0.5,0.699999988079071,0.8709473609924316,0.4845914840698242,-0.09401591867208481,10.160787582397461,10.303483963012695,0.8052835464477539,0.90045565366745
0.5,0.8999999761581421,0.8931306004524231,0.44950854778289795,-0.038390446454286575,9.716379165649414,9.806122779846191,0.8036346435546875,0.8377445340156555
0.5,0.949999988079071,0.9401718378067017,0.349970281124115,0.0622326023876667,10.090410232543945,10.07790756225586,0.8527368307113647,0.8221947550773621
0.5,1.0,0.9873687624931335,0.1617887020111084,0.00523833092302084,12.757895469665527,12.793075561523438,0.8560407161712646,0.8373715877532959
1.0,0.0,0.9832656383514404,0.24342496693134308,-0.05989191681146622,13.60641860961914,13.702838897705078,1.1646372079849243,1.0146188735961914
1.0,0.10000000149011612,0.9320943355560303,0.3770892024040222,-0.04259323328733444,13.952530860900879,14.030509948730469,1.0771116018295288,1.0294266939163208
1.0,0.30000001192092896,0.8303892016410828,0.5714529156684875,-0.0630418211221695,11.543428421020508,11.65048599243164,0.9557844996452332,1.007689118385315
1.0,0.5,0.6684029698371887,0.7932669520378113,-0.07214990258216858,10.719732284545898,10.839191436767578,0.8695187568664551,0.9485486149787903
1.0,0.699999988079071,0.41904109716415405,1.0028576850891113,-0.060996197164058685,10.659741401672363,10.767617225646973,0.7441809177398682,0.9057220220565796
1.0,0.8999999761581421,0.6086854934692383,0.8540140390396118,-0.02669459395110607,9.324119567871094,9.404386520385742,0.7607340216636658,0.842136561870575
1.0,0.949999988079071,0.6272070407867432,0.9127357006072998,0.002569681266322732,13.412002563476562,13.44755744934082,0.884453535079956,0.8248180747032166
1.0,1.0,0.5721120834350586,1.0366735458374023,-0.026289474219083786,41.074981689453125,41.11392593383789,0.9859256744384766,0.8376312851905823
1.5,0.0,0.8459168672561646,0.5654780864715576,0.02791769430041313,21.26824378967285,21.26376724243164,1.0469294786453247,1.0147889852523804
1.5,0.10000000149011612,0.7825693488121033,0.6267786026000977,-0.03920770436525345,15.907318115234375,15.979537963867188,0.8699708580970764,1.0305054187774658
1.5,0.30000001192092896,0.6207966804504395,0.8374518156051636,-0.03732156381011009,11.478879928588867,11.562507629394531,0.9262952208518982,1.0095797777175903
1.5,0.5,0.31768667697906494,1.282454252243042,-0.049765825271606445,11.699167251586914,11.792986869812012,1.0996661186218262,0.9531868100166321
1.5,0.699999988079071,0.0708870217204094,1.2953991889953613,-0.05410003662109375,9.334935188293457,9.443089485168457,0.7978003025054932,0.9128369092941284
1.5,0.8999999761581421,0.08203846961259842,1.234860897064209,-0.04331450164318085,9.131105422973633,9.229692459106445,0.6658775210380554,0.8481813669204712
1.5,0.949999988079071,0.09317300468683243,1.3778564929962158,-0.030122224241495132,13.680442810058594,13.74854850769043,0.8423492312431335,0.828414261341095
1.5,1.0,0.09173839539289474,1.5348124504089355,-0.009956248104572296,40.55536651611328,40.57801818847656,1.0334354639053345,0.8380504250526428
2.0,0.0,0.437679648399353,1.165879726409912,0.050685618072748184,33.057857513427734,33.02220916748047,1.1983802318572998,1.0150476694107056
2.0,0.10000000149011612,0.44756320118904114,1.1397383213043213,-0.042589232325553894,22.12484359741211,22.19245147705078,1.181037187576294,1.0318249464035034
2.0,0.30000001192092896,0.30392175912857056,1.3237437009811401,-0.024012206122279167,13.830887794494629,13.894458770751953,1.2329895496368408,1.0121537446975708
2.0,0.5,0.11726012825965881,1.7250001430511475,-0.03527689725160599,11.902034759521484,11.980958938598633,1.4270597696304321,0.9591003656387329
2.0,0.699999988079071,0.06725552678108215,1.2698864936828613,-0.05550003796815872,6.890933036804199,7.018970489501953,0.7551482915878296,0.9217575192451477
2.0,0.8999999761581421,0.055726058781147,2.0617241859436035,-0.018284469842910767,11.526273727416992,11.588764190673828,1.5389788150787354,0.8558439612388611
2.0,0.949999988079071,0.05037030577659607,2.5398247241973877,-0.010363821871578693,18.985809326171875,19.023624420166016,1.9250071048736572,0.8329706788063049
2.0,1.0,0.04254846274852753,2.9679312705993652,-0.009714027866721153,58.82508850097656,58.84361267089844,2.3184287548065186,0.8386288285255432
2.5,0.0,0.22182635962963104,1.5956169366836548,0.07967178523540497,36.376625061035156,36.3106689453125,1.5125709772109985,1.015395164489746
2.5,0.10000000149011612,0.20152682065963745,1.7995736598968506,-0.050082702189683914,28.1191349029541,28.18917465209961,1.7632485628128052,1.0333845615386963
2.5,0.30000001192092896,0.10827160626649857,2.0702810287475586,-0.020431729033589363,17.26479721069336,17.316682815551758,1.9308167695999146,1.0154061317443848
2.5,0.5,0.05733202025294304,1.8004536628723145,-0.03226132690906525,9.965675354003906,10.049458503723145,1.4581520557403564,0.9662659168243408
2.5,0.699999988079071,0.0479264110326767,1.760813593864441,-0.033514536917209625,7.712144374847412,7.811014175415039,1.3544046878814697,0.9324320554733276
2.5,0.8999999761581421,0.02340129390358925,4.40762186050415,-0.005402962677180767,19.988014221191406,20.01883316040039,3.606879472732544,0.8650813102722168
2.5,0.949999988079071,0.021705269813537598,5.1428422927856445,-0.004158612806349993,30.98275375366211,31.003658294677734,4.113317489624023,0.8384717702865601
2.5,1.0,0.017329078167676926,5.716551780700684,-0.010581661015748978,90.89010620117188,90.90640258789062,4.614628314971924,0.8393661379814148
3.0,0.0,0.12680049240589142,2.2616219520568848,0.10681382566690445,42.98162841796875,42.886287689208984,2.213101387023926,1.0158309936523438
3.0,0.10000000149011612,0.09943435341119766,2.5201778411865234,-0.03646161034703255,32.649742126464844,32.70320129394531,2.508455514907837,1.0351829528808594
3.0,0.30000001192092896,0.04870323836803436,2.593167781829834,-0.020455824211239815,18.064476013183594,18.114704132080078,2.4552435874938965,1.0193301439285278
3.0,0.5,0.06077871471643448,1.4179314374923706,-0.033916082233190536,6.518884658813477,6.630511283874512,1.0096955299377441,0.97465580701828
3.0,0.699999988079071,0.016254380345344543,4.064192771911621,-0.008710833266377449,15.161718368530273,15.203710556030273,3.616240978240967,0.9448011517524719
3.0,0.8999999761581421,0.010110698640346527,7.833320617675781,-0.0017391354776918888,30.034093856811523,30.052743911743164,6.588709354400635,0.8758435845375061
3.0,0.949999988079071,0.008623212575912476,8.969738006591797,-0.003043847158551216,45.422210693359375,45.43667984008789,7.301863193511963,0.8448989391326904
3.0,1.0,0.0058847591280937195,9.872095108032227,-0.012089468538761139,131.1046905517578,131.12075805664062,8.037362098693848,0.8402619361877441
