mean,x,p,q,powered
2.0,-6.0,6.691511288496882e-05,0.004874891216127946,
2.0,-5.994,6.853926853075751e-05,0.004910099417478553,
2.0,-5.988,7.02003182318875e-05,0.004945526297086926,
2.0,-5.982,7.189903507347568e-05,0.004981172920753916,
2.0,-5.976,7.363620674491341e-05,0.005017040357202799,
2.0,-5.97,7.541263577846894e-05,0.005053129678069473,
2.0,-5.964,7.722913979095305e-05,0.005089441957892434,
2.0,-5.958,7.908655172847349e-05,0.005125978274102649,
2.0,-5.952,8.09857201142931e-05,0.005162739707013126,
2.0,-5.946,8.292750929982042e-05,0.005199727339808443,
2.0,-5.94,8.491279971874671e-05,0.005236942258533981,
2.0,-5.934,8.694248814435272e-05,0.005274385552085101,
2.0,-5.928,8.901748795000225e-05,0.005312058312195983,
2.0,-5.922,9.113872937284553e-05,0.005349961633428443,
2.0,-5.916,9.330715978074814e-05,0.005388096613160435,
2.0,-5.91,9.552374394246767e-05,0.005426464351574491,
2.0,-5.904,9.778946430108964e-05,0.005465065951645849,
2.0,-5.898,0.0001001053212507509,0.00550390251913051,
2.0,-5.892,0.00010247233341665737,0.005542975162553029,
2.0,-5.886,0.00010489153793842251,0.005582284993194179,
2.0,-5.88,0.00010736399075673362,0.00562183312507837,
2.0,-5.874,0.00010989076690337245,0.005661620674960925,
2.0,-5.868,0.0001124729607945956,0.005701648762315157,
2.0,-5.862,0.0001151116865279007,0.005741918509319238,
2.0,-5.856,0.00011780807818218025,0.005782431040842894,
2.0,-5.85,0.00012056329012129014,0.005823187484433903,
2.0,-5.844,0.00012337849730103715,0.0058641889703043995,
2.0,-5.838,0.0001262548955796051,0.005905436631317016,
2.0,-5.832,0.0001291937020314251,0.005946931602970765,
2.0,-5.826,0.00013219615526450848,0.005988675023386777,
2.0,-5.82,0.00013526351574125113,0.006030668033293842,
2.0,-5.814,0.0001383970661027188,0.00607291177601377,
2.0,-5.808,0.00014159811149642494,0.006115407397446462,
2.0,-5.802,0.00014486797990760915,0.006158156046054917,
2.0,-5.796,0.00014820802249402735,0.0062011588728499295,
2.0,-5.79,0.0001516196139242605,0.0062444170313746975,
2.0,-5.784,0.00015510415271954687,0.006287931677689085,
2.0,-5.778,0.00015866306159914679,0.006331703970353828,
2.0,-5.772,0.00016229778782924777,0.006375735070414467,
2.0,-5.766,0.00016600980357541221,0.006420026141385076,
2.0,-5.76,0.00016980060625856893,0.00646457834923182,
2.0,-5.754,0.00017367171891456048,0.0065093928623562785,
2.0,-5.748,0.00017762469055724087,0.006554470851578584,
2.0,-5.742,0.00018166109654513203,0.006599813490120372,
2.0,-5.736,0.00018578253895163113,0.0066454219535874775,
2.0,-5.73,0.00018999064693878067,0.0066912974199524545,
2.0,-5.724,0.00019428707713459178,0.006737441069536923,
2.0,-5.718,0.0001986735140139171,0.006783854084993634,
2.0,-5.712,0.00020315167028288269,0.006830537651288394,
2.0,-5.706,0.000207723287266862,0.006877492955681734,
2.0,-5.7,0.00021239013530199635,0.006924721187710436,
2.0,-5.694,0.00021715401413024748,0.00697222353916873,
2.0,-5.688,0.00022201675329798598,0.007020001204089416,
2.0,-5.682,0.0002269802125580983,0.007068055378724696,
2.0,-5.676,0.00023204628227561583,0.0071163872615268116,
2.0,-5.67,0.00023721688383683366,0.007164998053128465,
2.0,-5.664,0.00024249397006193663,0.007213888956323036,
2.0,-5.658,0.00024787952562109933,0.007263061176044587,
2.0,-5.652,0.0002533755674540558,0.007312515919347665,
2.0,-5.646,0.00025898414519312,0.0073622543953868295,
2.0,-5.64,0.0002647073415896452,0.00741227781539606,
2.0,-5.634,0.00027054727294390673,0.0074625873926678545,
2.0,-5.628,0.00027650608953838315,0.007513184342532205,
2.0,-5.622,0.0002825859760744199,0.007564069882335246,
2.0,-5.616,0.0002887891521122609,0.007615245231417796,
2.0,-5.61,0.00029511787251441083,0.007666711611093604,
2.0,-5.604,0.000301574427892328,0.007718470244627429,
2.0,-5.598,0.0003081611450563935,0.007770522357212849,
2.0,-5.592,0.0003148803874691576,0.007822869175949891,
2.0,-5.586,0.00032173455570181964,0.007875511929822426,
2.0,-5.58,0.0003287260878939241,0.007928451849675366,
2.0,-5.574,0.0003358574602162228,0.007981690168191587,
2.0,-5.568,0.0003431311873366982,0.00803522811986868,
2.0,-5.562,0.0003505498228896905,0.008089066940995463,
2.0,-5.556,0.0003581159599481144,0.008143207869628286,
2.0,-5.55,0.0003658322314987053,0.008197652145567067,
2.0,-5.544,0.0003737013109202808,0.008252401010331166,
2.0,-5.538,0.0003817259124649614,0.008307455707134984,
2.0,-5.532,0.0003899087917423236,0.008362817480863385,
2.0,-5.526,0.00039825274620641896,0.008418487578046845,
2.0,-5.52,0.00040676061564564583,0.008474467246836401,
2.0,-5.514,0.00041543528267540004,0.00853075773697838,
2.0,-5.508,0.00042427967323347977,0.008587360299788913,
2.0,-5.502,0.000433296757078169,0.008644276188128163,
2.0,-5.496,0.00044248954828897413,0.008701506656374399,
2.0,-5.49,0.00045186110576995146,0.008759052960397815,
2.0,-5.484,0.00046141453375555456,0.008816916357534095,
2.0,-5.478,0.00047115298231897255,0.00887509810655779,
2.0,-5.4719999999999995,0.0004810796478828827,0.008933599467655448,
2.0,-5.466,0.0004911977737325591,0.00899242170239852,
2.0,-5.46,0.000501510650531287,0.00905156607371605,
2.0,-5.454,0.0005120216168379925,0.009111033845867086,
2.0,-5.448,0.0005227340596270513,0.00917082628441292,
2.0,-5.442,0.000533651414810202,0.009230944656189103,
2.0,-5.436,0.000544777167760464,0.009291390229277148,
2.0,-5.43,0.0005561148538380359,0.009352164272976088,
2.0,-5.4239999999999995,0.0005676680589180624,0.009413268057773776,
2.0,-5.418,0.0005794404199202138,0.009474702855317941,
2.0,-5.412,0.000591435625339994,0.009536469938387046,
2.0,-5.406,0.0006036574157816908,0.009598570580860857,
2.0,-5.4,0.0006161095844928969,0.009661006057690822,
2.0,-5.394,0.0006287959779005218,0.009723777644870263,
2.0,-5.388,0.0006417204961481812,0.009786886619404205,
2.0,-5.382,0.0006548870936349059,0.009850334259279113,
2.0,-5.376,0.0006682997795550666,0.009914121843432308,
2.0,-5.37,0.0006819626184394263,0.009978250651721197,
2.0,-5.364,0.0006958797306972066,0.010042721964892237,
2.0,-5.358,0.0007100552931590998,0.010107537064549681,
2.0,-5.352,0.0007244935396211108,0.010172697233124101,
2.0,-5.346,0.0007391987613891306,0.01023820375384068,
2.0,-5.34,0.000754175307824126,0.010304057910687215,
2.0,-5.334,0.0007694275868878629,0.010370260988381983,
2.0,-5.328,0.0007849600656890353,0.010436814272341263,
2.0,-5.322,0.0008007772710297018,0.01050371904864677,
2.0,-5.316,0.0008168837899518941,0.01057097660401266,
2.0,-5.31,0.0008332842702843166,0.010638588225752496,
2.0,-5.304,0.000849983421188993,0.010706555201745821,
2.0,-5.298,0.000866986013707749,0.010774878820404664,
2.0,-5.292,0.0008842968813083996,0.010843560370639606,
2.0,-5.286,0.0009019209204305351,0.010912601141825807,
2.0,-5.28,0.0009198630910307588,0.010982002423768664,
2.0,-5.274,0.0009381284171272662,0.011051765506669331,
2.0,-5.268,0.0009567219873435999,0.011121891681089928,
2.0,-5.2620000000000005,0.0009756489554514896,0.011192382237918535,
