round,arm,source,role,fid,sfid,inception_score,full_calls,prefix_calls,sampling_decode_gpu_seconds,matched_real,delta_fid_vs_real,request_sha256
strong_reference,ig_original_00,ig,control,65.40107225421809,207.955499938294,37.244441986083984,128.0,0.0,99.08926437282935,ig_real_00,0.38024733265967825,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_real_00,ig,control,65.02082492155841,208.55772195613326,36.60988235473633,128.0,0.0,105.57728951610625,ig_real_00,0.0,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_teacher_00,ig,candidate,64.82825581439806,208.7837893362862,36.31697082519531,128.0,0.0,105.78996085375547,ig_real_00,-0.19256910716035236,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_strong_00,ig,candidate,65.17288452702508,208.47092571407393,36.16343688964844,128.0,0.0,102.99146397644654,ig_real_00,0.1520596054666612,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_teacherstrong_00,ig,candidate,65.30230976463349,208.75695668592107,35.94990539550781,128.0,0.0,105.28167242137715,ig_real_00,0.28148484307507715,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_ig_00,ig,control,64.53451090654238,208.318650462238,38.484825134277344,128.0,0.0,98.97481335233897,ig_real_00,-0.4863140150160348,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,cfg_original_00,cfg,control,45.70805936144916,206.40995456042583,60.67277145385742,224.0,0.0,152.56850618030876,cfg_real_00,0.17103106247731148,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,cfg_real_00,cfg,control,45.53702829897185,206.3864975379929,60.64882278442383,224.0,0.0,160.47858298243955,cfg_real_00,0.0,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,cfg_strong_00,cfg,candidate,45.79710956118606,206.07162747782093,60.430233001708984,224.0,0.0,156.35241953795776,cfg_real_00,0.26008126221421435,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,cfg_cfg_00,cfg,control,45.056693870858226,207.87552198700087,61.58795166015625,224.0,0.0,155.3018601979129,cfg_real_00,-0.4803344281136219,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_half_00,ig,control,70.48978147922594,207.5514194537907,34.54624557495117,128.0,0.0,100.42830645525828,ig_real_00,5.468956557667525,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,strong_00,ig,native,87.0807818845185,218.8469687356012,29.831796646118164,128.0,0.0,96.93375220149755,ig_real_00,22.059956962960086,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,cfg_apg_07,cfg,control,44.504049621917545,209.85333484210514,62.446861267089844,224.0,0.0,174.34394877264276,cfg_real_00,-1.0329786770543024,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
strong_reference,ig_adg_reference_00,ig,control,64.68997554501198,207.43803535640814,37.40327453613281,128.0,0.0,110.68372741574422,ig_real_00,-0.3308493765464391,d2d4d0871f0c6a5a828d9b8880993ef314b63cfb9840a2098cbf0f7ee11f4084
cfg_posterior,cfg_original_00,cfg,control,45.70736897194166,206.41008126256554,60.67768859863281,224.0,0.0,155.791904295329,cfg_real_00,0.1685314606181123,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_real_00,cfg,control,45.53883751132355,206.38767089024714,60.64046096801758,224.0,0.0,160.35071943327785,cfg_real_00,0.0,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_posterior_00,cfg,candidate,45.66880160631331,206.41392326836512,60.74641036987305,224.0,0.0,154.33000498777255,cfg_real_00,0.12996409498975936,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_independent_00,cfg,control,46.640139657526674,204.7192740015421,58.98661422729492,224.0,0.0,160.82384574972093,cfg_real_00,1.1013021462031247,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_cfg_00,cfg,control,45.05692632076864,207.8749332884097,61.593589782714844,224.0,0.0,164.92983915936202,cfg_real_00,-0.4819111905549107,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_half_00,cfg,control,51.00760605121866,210.398536855948,52.54248046875,224.0,0.0,159.2762434561737,cfg_real_00,5.468768539895109,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
cfg_posterior,cfg_apg_07,cfg,control,44.50375731042027,209.85528893445098,62.4432258605957,224.0,0.0,177.64459775900468,cfg_real_00,-1.0350802009032805,77f5dc2b094b92ff6cddcd20b433bef47f714c81802e57f94640097faa018cbc
