condition,mode,extrapolation_space,gamma,alpha,source_step,weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
output_gamma_0p001,extrapolation,output,0.001,0.0,0,ema,1000,0,101.17336921114543,219.34604348391895,21.534900665283203,2114,6450,6604,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9b5a0e1a647a6bbc23834d13e6cd39528b27a3a90ba4e2d2d76c2155668ee97f
output_gamma_0p003,extrapolation,output,0.003,0.0,0,ema,1000,0,101.31691777223239,220.70623680639142,21.589183807373047,2114,6450,6574,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,bdeaa04ed67870991d3b183117e6d6f7997d09f99c716d841ba8c691b9059c45
output_gamma_0p005,extrapolation,output,0.005,0.0,0,ema,1000,0,101.44038263381151,222.1696250285961,21.744752883911133,2114,6450,6562,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,2113ae1e7c92ce50d22c11410de2a32642af666f484820b68b9937953695f5d6
output_gamma_0p01,extrapolation,output,0.01,0.0,0,ema,1000,0,102.13323913430003,226.09422044157236,21.232513427734375,2114,6450,6466,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,5bf40e465d896ab479e289bf61d88ec16f78a3ce24c9efffde0b0275df80f03d
output_gamma_0p02,extrapolation,output,0.02,0.0,0,ema,1000,0,106.74723066063598,235.31347028307096,19.237106323242188,2114,6450,6364,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,707b42b8cae9280fcf65013e94a01f5a20cac9564550347d3cf1d58ef8f26bb8
output_gamma_0p03,extrapolation,output,0.03,0.0,0,ema,1000,0,116.22433290476653,244.95141821245898,16.949050903320312,2114,6450,6136,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,22a80bff33b87b50834722dca6f7d02cf773a54e7576c3e9dc2402a8fedb7711
output_gamma_0p1,extrapolation,output,0.1,0.0,0,ema,1000,0,253.0618454451194,265.77362127309084,4.215612411499023,2114,6450,5758,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8c617f62e6611e6b6759b640a65dab773c827d9be6eae02c1f8219674210c2c3
output_gamma_0p2,extrapolation,output,0.2,0.0,0,ema,1000,0,349.3359425050354,336.8503231294951,1.9081685543060303,2114,6450,5920,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,63978c1a8a152cdd7dc64087eb5a680b77dea0aa447c585948c3cc0237cc755b
hidden_alpha_0p005,interpolation,hidden,0.0,0.005,0,ema,1000,0,101.03573721247108,217.7299152912866,21.726560592651367,2114,6450,6670,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,b04a344f1e745ecbe1f92e2818296741e2c554b51d02a820a03bc409b3c34c80
hidden_alpha_0p01,interpolation,hidden,0.0,0.01,0,ema,1000,0,101.03662206680764,216.86944026913284,21.868511199951172,2114,6450,6646,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,768ebc7cec3306f6bc0dbb6caafec3567881277aa419da62c05821b9b6ee6949
