condition,mode,gamma,head_step,head_weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,50000,ema,1000,0,101.08800040943822,218.63114018207045,21.576250076293945,2114,6450,6682,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6300dcffd0521b10946062afce444b20accd83ebf3b218bf09097023fef2d91b
internal,internal,0.0,50000,ema,1000,0,258.58007651856667,349.1096126985043,3.929412841796875,2114,6450,9466,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,94cc831536126d7fbb7673ec5108298fc3c554684019532e01f9769954b0521c
extrap_gamma_0p01,extrapolation,0.01,50000,ema,1000,0,100.41457387595295,218.30877628144844,21.747774124145508,2114,6450,6652,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c979e7838afe3ad2ca505e9d3dc4a259a1328e047137b2adf46547c82e2d4603
extrap_gamma_0p03,extrapolation,0.03,50000,ema,1000,0,98.51389886191475,217.92726503550523,22.079914093017578,2114,6450,6790,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,addf1f6a46ff8b43cc64a5534cd6b4de6e9ae7da5248427593b295e1805074f2
extrap_gamma_0p05,extrapolation,0.05,50000,ema,1000,0,97.06230201313434,217.5583456894385,22.086549758911133,2114,6450,6772,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8e0a39f1bff9cd0dd08847b2fa79ddffe5ddd00a980275db824869a14db03f08
extrap_gamma_0p08,extrapolation,0.08,50000,ema,1000,0,94.87324592624168,217.26726224038725,22.043333053588867,2114,6450,6820,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,e91dda54264d03419563447e4e27eedf34a5c4fb46a2349f50dcf1797b182f5d
extrap_gamma_0p1,extrapolation,0.1,50000,ema,1000,0,93.77796226736064,217.25717536138586,22.304140090942383,2114,6450,6994,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9281691e4b8be099b9a130b3a37bb94c274bb71647a0e5c64b7f1c814b511952
extrap_gamma_0p12,extrapolation,0.12,50000,ema,1000,0,93.29079809136027,217.249119011861,22.352712631225586,2114,6450,7222,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c441cce7be640c5ec88a489c62af908db4ecec53b0c00efd8512e7344aea266b
extrap_gamma_0p15,extrapolation,0.15,50000,ema,1000,0,93.11817489990011,217.4875630008694,22.474294662475586,2114,6450,7690,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,d225371bd69e6b09dfd63d62651cb8a6c7564fa7d4b9d286e9f2b16f81b6773d
extrap_gamma_0p18,extrapolation,0.18,50000,ema,1000,0,93.4264204414967,217.7839943691141,21.858299255371094,2114,6450,7924,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,e19f9dc230ec3177f765045d290293f087c3fecfdc4ac2f49f85c85a49691af5
