condition,mode,gamma,head_step,head_weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
full,full,0.0,50000,ema,1000,0,101.08693503987354,218.6308260590397,21.577560424804688,2114,6450,6682,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6300dcffd0521b10946062afce444b20accd83ebf3b218bf09097023fef2d91b
internal,internal,0.0,50000,ema,1000,0,127.33454651957868,218.04319891583577,18.28913116455078,2114,6450,11410,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6292107298b80a2d86355883e892d204fa2b939f2450a7c94ba5f30e4afe191a
extrap_gamma_0p01,extrapolation,0.01,50000,ema,1000,0,101.08421147659465,218.68426683987957,21.49053955078125,2114,6450,6628,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,386cd35a89e4593b7c5c1754f76a92e55af8c0a9cd86d796d81fc2ae40329c10
extrap_gamma_0p03,extrapolation,0.03,50000,ema,1000,0,101.13355273231866,218.7607477713443,21.40591049194336,2114,6450,6550,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,62b29e1822e32ffb88c0abae355d5a1c1853d821a41c85788cc643e5ef68ffd1
extrap_gamma_0p05,extrapolation,0.05,50000,ema,1000,0,101.04587251731766,218.8867859786984,21.329504013061523,2114,6450,6676,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8009d37115f3da57bd13c4fcc48fe0fee0ea339e3de4fcf9c1dab663bba6fc99
extrap_gamma_0p08,extrapolation,0.08,50000,ema,1000,0,100.99007908161025,219.04968284339793,21.301881790161133,2114,6450,7306,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6b36f68bd506115c9f44d9186da099013bbf992d9715ed265a142e44c17b39c3
extrap_gamma_0p1,extrapolation,0.1,50000,ema,1000,0,101.02134721838149,219.1525531240934,21.262073516845703,2114,6450,7966,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9bd13089449eeca69652ddf63e0594d4a3e74222dab2578642851d04034fb48a
extrap_gamma_0p12,extrapolation,0.12,50000,ema,1000,0,101.04009829481527,219.28263388398523,21.234392166137695,2114,6450,8704,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,df4f50f82ed58cec54aee7796df8a22aa1d6f227d2c68b9f7e30e7792df4c369
extrap_gamma_0p15,extrapolation,0.15,50000,ema,1000,0,101.33634304287278,219.4546650154881,21.18060874938965,2114,6450,9412,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,0ee138790f8992212b9804a8bf7ee3597da8b24a32ac4c63c1175fb2ab3bf4d2
extrap_gamma_0p2,extrapolation,0.2,50000,ema,1000,0,101.87975806529306,219.80785204090455,20.694725036621094,2114,6450,9586,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,d4643c3226aea585eae384cd78b6014818a117174b1169f4ecc69a2bfbbf0278
