stage,arm,fid,sfid,inception_score,full_calls,prefix_calls,sample_decode_seconds
risk_screen_1k,ig_square_00,66.84295078009313,209.38405809095582,35.47236633300781,128.0,0.0,97.56070890882984
risk_screen_1k,ig_quartic_00,67.60472382017741,208.7577518299513,35.32487487792969,128.0,0.0,99.41917612962425
risk_screen_1k,ig_original_00,67.36175365125041,209.09690691699848,36.108097076416016,128.0,0.0,100.66182361682877
risk_screen_1k,ig_ig_00,65.95702593261069,209.97878276922825,36.87952423095703,128.0,0.0,101.44847569381818
risk_screen_1k,ig_adg_reference_00,66.14952034547053,208.70738717962627,35.9883918762207,128.0,0.0,113.14797011297196
