arm,family,role,strength,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
ig_prefix_original_00,ig_prefix_original,control,0.8,40.43180629759911,128.0,64.0,545.191853354685,True
ig_prefix_local_00,ig_local,control,0.8,39.17674145001888,128.0,64.0,610.8688684366643,True
ig_prefix_native_00,ig_prefix_native,control,0.8,36.17320749730209,128.0,64.0,548.8057189821266,True
