time,terminal_KL_derivative_per_unit_nonlinear_gauge
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-4.987285850073153171e-02
2.000000000000000042e-02,-9.854216798581560965e-02
2.999999999999999889e-02,-1.460203880642847452e-01
4.000000000000000083e-02,-1.923196734197745172e-01
5.000000000000000278e-02,-2.374518769221927172e-01
5.999999999999999778e-02,-2.814285526621214117e-01
7.000000000000000666e-02,-3.242609589087237509e-01
8.000000000000000167e-02,-3.659600609919202441e-01
8.999999999999999667e-02,-4.065365341095814600e-01
1.000000000000000056e-01,-4.460007660604290436e-01
1.100000000000000006e-01,-4.843628599033715787e-01
1.199999999999999956e-01,-5.216326365439405421e-01
1.300000000000000044e-01,-5.578196372485031418e-01
1.400000000000000133e-01,-5.929331260868693221e-01
1.499999999999999944e-01,-6.269820923039501892e-01
1.600000000000000033e-01,-6.599752526210505010e-01
1.700000000000000122e-01,-6.919210534674009594e-01
1.799999999999999933e-01,-7.228276731424854162e-01
1.900000000000000022e-01,-7.527030239097349806e-01
2.000000000000000111e-01,-7.815547540221055023e-01
2.099999999999999922e-01,-8.093902496800762236e-01
2.200000000000000011e-01,-8.362166369225563223e-01
2.300000000000000100e-01,-8.620407834511882861e-01
2.399999999999999911e-01,-8.868693003885192994e-01
2.500000000000000000e-01,-9.107085439704833973e-01
2.600000000000000089e-01,-9.335646171736327048e-01
2.700000000000000178e-01,-9.554433712775320942e-01
2.800000000000000266e-01,-9.763504073627204960e-01
2.899999999999999800e-01,-9.962910777446181143e-01
2.999999999999999889e-01,-1.015270487343745476e+00
3.099999999999999978e-01,-1.033293494992613581e+00
3.200000000000000067e-01,-1.050364714679611566e+00
3.300000000000000155e-01,-1.066488516730211167e+00
3.400000000000000244e-01,-1.081669028925796638e+00
3.500000000000000333e-01,-1.095910137560395015e+00
3.599999999999999867e-01,-1.109215488435593144e+00
3.699999999999999956e-01,-1.121588487793882205e+00
3.800000000000000044e-01,-1.133032303190669943e+00
3.900000000000000133e-01,-1.143549864305198227e+00
4.000000000000000222e-01,-1.153143863690551552e+00
4.100000000000000311e-01,-1.161816757462969640e+00
4.199999999999999845e-01,-1.169570765930624034e+00
4.299999999999999933e-01,-1.176407874162030076e+00
4.400000000000000022e-01,-1.182329832494235511e+00
4.500000000000000111e-01,-1.187338156980914938e+00
4.600000000000000200e-01,-1.191434129780489570e+00
4.700000000000000289e-01,-1.194618799484365557e+00
4.799999999999999822e-01,-1.196892981385380139e+00
4.899999999999999911e-01,-1.198257257686519583e+00
5.000000000000000000e-01,-1.198711977649967952e+00
5.100000000000000089e-01,-1.198257257686519583e+00
5.200000000000000178e-01,-1.196892981385380139e+00
5.300000000000000266e-01,-1.194618799484366001e+00
5.400000000000000355e-01,-1.191434129780489570e+00
5.500000000000000444e-01,-1.187338156980914938e+00
5.600000000000000533e-01,-1.182329832494235955e+00
5.700000000000000622e-01,-1.176407874162030964e+00
5.799999999999999600e-01,-1.169570765930624034e+00
5.899999999999999689e-01,-1.161816757462969640e+00
5.999999999999999778e-01,-1.153143863690551552e+00
6.099999999999999867e-01,-1.143549864305198227e+00
6.199999999999999956e-01,-1.133032303190669943e+00
6.300000000000000044e-01,-1.121588487793882205e+00
6.400000000000000133e-01,-1.109215488435593144e+00
6.500000000000000222e-01,-1.095910137560394570e+00
6.600000000000000311e-01,-1.081669028925795750e+00
6.700000000000000400e-01,-1.066488516730210723e+00
6.800000000000000488e-01,-1.050364714679611566e+00
6.900000000000000577e-01,-1.033293494992613137e+00
7.000000000000000666e-01,-1.015270487343744588e+00
7.099999999999999645e-01,-9.962910777446176702e-01
7.199999999999999734e-01,-9.763504073627204960e-01
7.299999999999999822e-01,-9.554433712775320942e-01
7.399999999999999911e-01,-9.335646171736327048e-01
7.500000000000000000e-01,-9.107085439704833973e-01
7.600000000000000089e-01,-8.868693003885192994e-01
7.700000000000000178e-01,-8.620407834511882861e-01
7.800000000000000266e-01,-8.362166369225567664e-01
7.900000000000000355e-01,-8.093902496800762236e-01
8.000000000000000444e-01,-7.815547540221059464e-01
8.100000000000000533e-01,-7.527030239097349806e-01
8.200000000000000622e-01,-7.228276731424854162e-01
8.300000000000000711e-01,-6.919210534674000712e-01
8.399999999999999689e-01,-6.599752526210505010e-01
8.499999999999999778e-01,-6.269820923039493010e-01
8.599999999999999867e-01,-5.929331260868693221e-01
8.699999999999999956e-01,-5.578196372485031418e-01
8.800000000000000044e-01,-5.216326365439405421e-01
8.900000000000000133e-01,-4.843628599033715787e-01
9.000000000000000222e-01,-4.460007660604290436e-01
9.100000000000000311e-01,-4.065365341095814600e-01
9.200000000000000400e-01,-3.659600609919202441e-01
9.300000000000000488e-01,-3.242609589087219746e-01
9.400000000000000577e-01,-2.814285526621214117e-01
9.500000000000000666e-01,-2.374518769221918291e-01
9.599999999999999645e-01,-1.923196734197736291e-01
9.699999999999999734e-01,-1.460203880642847452e-01
9.799999999999999822e-01,-9.854216798581560965e-02
9.899999999999999911e-01,-4.987285850073153171e-02
1.000000000000000000e+00,0.000000000000000000e+00
