time,terminal_KL_derivative_per_unit_rotation
3.200000000000000067e-01,8.224450725475791479e-01
3.250000000000000111e-01,8.364260088355126577e-01
3.300000000000000155e-01,8.504604766735125443e-01
3.350000000000000200e-01,8.645493742723109332e-01
3.400000000000000244e-01,8.786936033261623091e-01
3.450000000000000289e-01,8.928940690705549077e-01
3.500000000000000333e-01,9.071516803401430407e-01
3.549999999999999822e-01,9.214673496269144559e-01
3.599999999999999867e-01,9.358419931385915103e-01
3.649999999999999911e-01,9.502765308572629355e-01
3.699999999999999956e-01,9.647718865982712888e-01
3.750000000000000000e-01,9.793289880693313298e-01
3.800000000000000044e-01,9.939487669299067463e-01
3.850000000000000089e-01,1.008632158850833349e+00
3.900000000000000133e-01,1.023380103574207389e+00
3.950000000000000178e-01,1.038193544973524673e+00
4.000000000000000222e-01,1.053073431114091019e+00
4.050000000000000266e-01,1.068020714313698605e+00
4.100000000000000311e-01,1.083036351203574110e+00
4.150000000000000355e-01,1.098121302789603959e+00
4.199999999999999845e-01,1.113276534513838234e+00
4.249999999999999889e-01,1.128503016316280361e+00
4.299999999999999933e-01,1.143801722696963452e+00
4.349999999999999978e-01,1.159173632778317531e+00
4.400000000000000022e-01,1.174619730367835846e+00
4.450000000000000067e-01,1.190141004021034066e+00
4.500000000000000111e-01,1.205738447104726330e+00
4.550000000000000155e-01,1.221413057860592399e+00
4.600000000000000200e-01,1.237165839469071438e+00
4.650000000000000244e-01,1.252997800113563320e+00
4.700000000000000289e-01,1.268909953044953243e+00
4.750000000000000333e-01,1.284903316646460958e+00
4.799999999999999822e-01,1.300978914498814865e+00
4.849999999999999867e-01,1.317137775445764047e+00
4.899999999999999911e-01,1.333380933659927159e+00
4.949999999999999956e-01,1.349709428708972148e+00
5.000000000000000000e-01,1.366124305622156809e+00
5.050000000000000044e-01,1.349709428708971704e+00
5.100000000000000089e-01,1.333380933659925827e+00
5.150000000000000133e-01,1.317137775445763381e+00
5.200000000000000178e-01,1.300978914498813754e+00
5.250000000000000222e-01,1.284903316646460070e+00
5.300000000000000266e-01,1.268909953044952577e+00
5.350000000000000311e-01,1.252997800113562210e+00
5.400000000000000355e-01,1.237165839469070994e+00
5.450000000000000400e-01,1.221413057860592177e+00
5.500000000000000444e-01,1.205738447104725886e+00
5.550000000000000488e-01,1.190141004021033400e+00
5.600000000000000533e-01,1.174619730367835846e+00
5.650000000000000577e-01,1.159173632778317309e+00
5.700000000000000622e-01,1.143801722696962564e+00
5.750000000000000666e-01,1.128503016316279695e+00
5.799999999999999600e-01,1.113276534513838012e+00
5.849999999999999645e-01,1.098121302789603293e+00
5.899999999999999689e-01,1.083036351203573888e+00
5.949999999999999734e-01,1.068020714313698161e+00
5.999999999999999778e-01,1.053073431114091241e+00
6.049999999999999822e-01,1.038193544973523785e+00
6.099999999999999867e-01,1.023380103574206501e+00
6.149999999999999911e-01,1.008632158850833349e+00
6.199999999999999956e-01,9.939487669299067463e-01
6.250000000000000000e-01,9.793289880693313298e-01
6.300000000000000044e-01,9.647718865982709557e-01
6.350000000000000089e-01,9.502765308572628244e-01
6.400000000000000133e-01,9.358419931385909551e-01
6.450000000000000178e-01,9.214673496269143449e-01
6.500000000000000222e-01,9.071516803401433737e-01
6.550000000000000266e-01,8.928940690705547967e-01
6.600000000000000311e-01,8.786936033261616430e-01
6.650000000000000355e-01,8.645493742723108221e-01
6.700000000000000400e-01,8.504604766735124333e-01
6.750000000000000444e-01,8.364260088355128797e-01
6.800000000000000488e-01,8.224450725475787038e-01
6.850000000000000533e-01,8.085167730250164553e-01
6.900000000000000577e-01,7.946402188519015031e-01
6.950000000000000622e-01,7.808145219240323343e-01
7.000000000000000666e-01,7.670387973920833602e-01
7.049999999999999600e-01,7.533121636049862069e-01
7.099999999999999645e-01,7.396337420534886409e-01
7.149999999999999689e-01,7.260026573139466421e-01
7.199999999999999734e-01,7.124180369922807898e-01
7.249999999999999778e-01,6.988790116681544706e-01
7.299999999999999822e-01,6.853847148393270583e-01
7.349999999999999867e-01,6.719342828661944989e-01
7.399999999999999911e-01,6.585268549165181895e-01
7.449999999999999956e-01,6.451615729103363783e-01
7.500000000000000000e-01,6.318375814650343258e-01
7.550000000000000044e-01,6.185540278406156389e-01
7.600000000000000089e-01,6.053100618851110504e-01
7.650000000000000133e-01,5.921048359801799332e-01
7.700000000000000178e-01,5.789375049868579204e-01
7.750000000000000222e-01,5.658072261914646184e-01
7.800000000000000266e-01,5.527131592516789649e-01
7.850000000000000311e-01,5.396544661427447043e-01
7.900000000000000355e-01,5.266303111038455054e-01
7.950000000000000400e-01,5.136398605846130838e-01
8.000000000000000444e-01,5.006822831917814298e-01
8.050000000000000488e-01,4.877567496359747068e-01
8.100000000000000533e-01,4.748624326786317074e-01
8.150000000000000577e-01,4.619985070790670889e-01
8.200000000000000622e-01,4.491641495416522911e-01
8.250000000000000666e-01,4.363585386631223528e-01
8.300000000000000711e-01,4.235808548800115148e-01
8.349999999999999645e-01,4.108302804161945154e-01
8.399999999999999689e-01,3.981059992305548967e-01
8.449999999999999734e-01,3.854071969647541174e-01
8.499999999999999778e-01,3.727330608911110232e-01
8.549999999999999822e-01,3.600827798605892305e-01
8.599999999999999867e-01,3.474555442508902026e-01
8.649999999999999911e-01,3.348505459146218222e-01
8.699999999999999956e-01,3.222669781275864231e-01
8.750000000000000000e-01,3.097040355371505349e-01
8.800000000000000044e-01,2.971609141107047769e-01
8.850000000000000089e-01,2.846368110841921428e-01
8.900000000000000133e-01,2.721309249107433104e-01
8.950000000000000178e-01,2.596424552093772320e-01
9.000000000000000222e-01,2.471706027137714479e-01
9.050000000000000266e-01,2.347145692211038970e-01
9.100000000000000311e-01,2.222735575409839903e-01
9.150000000000000355e-01,2.098467714444169907e-01
9.200000000000000400e-01,1.974334156128492168e-01
9.250000000000000444e-01,1.850326955872714230e-01
9.300000000000000488e-01,1.726438177173710287e-01
9.350000000000000533e-01,1.602659891107300894e-01
9.400000000000000577e-01,1.478984175820987623e-01
9.450000000000000622e-01,1.355403116026776544e-01
9.500000000000000666e-01,1.231908802494592337e-01
9.550000000000000711e-01,1.108493331546283045e-01
9.599999999999999645e-01,9.851488045495715440e-02
9.649999999999999689e-01,8.618673274126020800e-02
9.699999999999999734e-01,7.386410100787621502e-02
9.749999999999999778e-01,6.154619660216908983e-02
9.799999999999999822e-01,4.923223117405450822e-02
9.849999999999999867e-01,3.692141662553760639e-02
9.899999999999999911e-01,2.461296506028798348e-02
9.949999999999999956e-01,1.230608873320448993e-02
1.000000000000000000e+00,-4.440892098500626162e-16
