time,terminal_KL_derivative_per_unit_rotation
0.000000000000000000e+00,-2.220446049250313081e-16
5.000000000000000104e-03,1.230608873320515606e-02
1.000000000000000021e-02,2.461296506028953779e-02
1.499999999999999944e-02,3.692141662553893866e-02
2.000000000000000042e-02,4.923223117405506333e-02
2.500000000000000139e-02,6.154619660217097721e-02
2.999999999999999889e-02,7.386410100787688116e-02
3.500000000000000333e-02,8.618673274126020800e-02
4.000000000000000083e-02,9.851488045495648826e-02
4.499999999999999833e-02,1.108493331546293037e-01
5.000000000000000278e-02,1.231908802494603439e-01
5.500000000000000028e-02,1.355403116026768773e-01
5.999999999999999778e-02,1.478984175820998725e-01
6.500000000000000222e-02,1.602659891107317547e-01
7.000000000000000666e-02,1.726438177173702515e-01
7.499999999999999722e-02,1.850326955872719781e-01
8.000000000000000167e-02,1.974334156128496609e-01
8.500000000000000611e-02,2.098467714444168797e-01
8.999999999999999667e-02,2.222735575409845454e-01
9.500000000000000111e-02,2.347145692211045631e-01
1.000000000000000056e-01,2.471706027137707817e-01
1.049999999999999961e-01,2.596424552093780092e-01
1.100000000000000006e-01,2.721309249107438655e-01
1.150000000000000050e-01,2.846368110841914767e-01
1.199999999999999956e-01,2.971609141107043328e-01
1.250000000000000000e-01,3.097040355371518672e-01
1.300000000000000044e-01,3.222669781275860901e-01
1.350000000000000089e-01,3.348505459146212671e-01
1.400000000000000133e-01,3.474555442508908687e-01
1.449999999999999900e-01,3.600827798605907848e-01
1.499999999999999944e-01,3.727330608911105791e-01
1.549999999999999989e-01,3.854071969647541174e-01
1.600000000000000033e-01,3.981059992305553408e-01
1.650000000000000078e-01,4.108302804161948485e-01
1.700000000000000122e-01,4.235808548800112927e-01
1.750000000000000167e-01,4.363585386631226859e-01
1.799999999999999933e-01,4.491641495416521801e-01
1.849999999999999978e-01,4.619985070790679771e-01
1.900000000000000022e-01,4.748624326786325955e-01
1.950000000000000067e-01,4.877567496359747068e-01
2.000000000000000111e-01,5.006822831917822070e-01
2.050000000000000155e-01,5.136398605846134169e-01
2.099999999999999922e-01,5.266303111038451723e-01
2.149999999999999967e-01,5.396544661427439271e-01
2.200000000000000011e-01,5.527131592516791869e-01
2.250000000000000056e-01,5.658072261914656176e-01
2.300000000000000100e-01,5.789375049868578094e-01
2.350000000000000144e-01,5.921048359801801553e-01
2.399999999999999911e-01,6.053100618851107173e-01
2.449999999999999956e-01,6.185540278406151948e-01
2.500000000000000000e-01,6.318375814650348810e-01
2.550000000000000044e-01,6.451615729103357122e-01
2.600000000000000089e-01,6.585268549165190777e-01
2.650000000000000133e-01,6.719342828661941658e-01
2.700000000000000178e-01,6.853847148393270583e-01
2.750000000000000222e-01,6.988790116681542486e-01
2.800000000000000266e-01,7.124180369922804568e-01
2.850000000000000311e-01,7.260026573139457540e-01
2.899999999999999800e-01,7.396337420534891960e-01
2.949999999999999845e-01,7.533121636049862069e-01
2.999999999999999889e-01,7.670387973920846925e-01
3.049999999999999933e-01,7.808145219240327783e-01
3.099999999999999978e-01,7.946402188519028353e-01
3.150000000000000022e-01,8.085167730250171214e-01
