index,noise_time,correction_active,future_time,future_gap_rms,future_current_cosine,future_fallback,current_gap_rms,selected_direction_rms,selected_current_cosine,selected_current_norm_ratio,zero_current_gap
0,1.0,True,0.96875,0.16375184518983588,0.1263132247458998,0.0,0.08966763035277836,0.08966763046919368,0.12631322374681986,1.0000000083819032,0.0
1,0.9987389445304871,True,0.9674889445304871,0.16738080509821884,0.14771714340804465,0.0,0.08391544397454709,0.08391544445476029,0.14771714237576816,1.0000000088475645,0.0
2,0.9974554777145386,True,0.9662054777145386,0.17061230691615492,0.17281735487861738,0.0,0.08037866013182793,0.08037866045197006,0.17281735456381853,1.000000009778887,0.0
3,0.996148943901062,True,0.964898943901062,0.17367414591717534,0.20521604672103422,0.0,0.07909120091062505,0.07909120108524803,0.2052160461898893,1.0000000055879354,0.0
4,0.9948186874389648,True,0.9635686874389648,0.17688481879304163,0.2389047954347916,0.0,0.08014728492707945,0.08014728536363691,0.23890479252440855,1.0000000086147338,0.0
5,0.9934640526771545,True,0.9622140526771545,0.18002808283199556,0.27301921574689914,0.0,0.08355467408546247,0.08355467452201992,0.2730192148301285,1.0000000116415322,0.0
6,0.9920844435691833,True,0.9608344435691833,0.18286298532621004,0.307607572816778,0.0,0.08865538332611322,0.08865538398094941,0.3076075693243183,1.0000000144355,0.0
7,0.9906790852546692,True,0.9594290852546692,0.18534259009175003,0.3395349941274617,0.0,0.09457663870125543,0.09457663890498225,0.33953499209019355,1.000000010477379,0.0
8,0.9892473220825195,True,0.9579973220825195,0.18784369245986454,0.3703944370208774,0.0,0.10117157542845234,0.10117157554486766,0.3703944333246909,1.000000009778887,0.0
9,0.9877883195877075,True,0.9565383195877075,0.19007809719187208,0.3993023131042719,0.0,0.10795319001772441,0.1079531903960742,0.39930231345351785,1.000000010477379,0.0
10,0.9863013625144958,True,0.9550513625144958,0.19203524553449824,0.4268530716653913,0.0,0.11538169809500687,0.11538169896812178,0.4268530679983087,1.0000000181607902,0.0
11,0.9847856163978577,True,0.9535356163978577,0.19401795143494383,0.45395916886627674,0.0,0.1230654816608876,0.12306548142805696,0.45395917067071423,1.0000000069849193,0.0
12,0.9832402467727661,True,0.9519902467727661,0.19595153024420142,0.4796458136406727,0.0,0.13098605666891672,0.1309860572218895,0.47964580974075943,1.0000000132713467,0.0
13,0.9816642999649048,True,0.9504142999649048,0.1978909814497456,0.5035956526990049,0.0,0.13876082957722247,0.13876083062496036,0.5035956512438133,1.0000000151339918,0.0
