model,parameters,train_seconds,raw_validation_bce,raw_validation_brier,raw_validation_accuracy
sit_small,49665,3.825383230112493,1.9892323017120361,0.26942145824432373,0.688046875
raev2,184833,5.960881435312331,1.585485816001892,0.25678011775016785,0.6851515151515152
