index,noise_time,correction_active,future_time,future_gap_rms,future_current_cosine,future_fallback,current_gap_rms,selected_direction_rms,selected_current_cosine,selected_current_norm_ratio,zero_current_gap
0,1.0,True,0.96875,0.16444204597175122,0.13048781574112944,0.0,0.08997819672524929,0.08997819722443819,0.13048781482092453,1.0000000136494636,0.0
1,0.9987389445304871,True,0.9674889445304871,0.1681019988656044,0.1521550694537873,0.0,0.08445318892970681,0.0844531895890832,0.1521550680528162,1.000000013947487,0.0
2,0.9974554777145386,True,0.9662054777145386,0.17154221965372562,0.17659714508860633,0.0,0.08107057483121753,0.08107057498022914,0.17659714372465532,1.0000000069141388,0.0
3,0.996148943901062,True,0.964898943901062,0.1747181235179305,0.2069841989595443,0.0,0.07978672350198031,0.07978672379255294,0.20698419758211822,1.0000000070929527,0.0
4,0.9948186874389648,True,0.9635686874389648,0.17778314235806464,0.24021096533164382,0.0,0.08083608832210303,0.08083608870208263,0.24021096389368177,1.0000000092983246,0.0
5,0.9934640526771545,True,0.9622140526771545,0.1807978333607316,0.27486462679132817,0.0,0.08424365497380495,0.08424365550652146,0.27486462458595634,1.0000000120401382,0.0
6,0.9920844435691833,True,0.9608344435691833,0.18373219327628612,0.3099724994674325,0.0,0.08961994225531816,0.08961994284763933,0.3099724971726537,1.0000000128149986,0.0
7,0.9906790852546692,True,0.9594290852546692,0.18641066052019595,0.341991150431335,0.0,0.09606552078947425,0.09606552134081721,0.34199114903062583,1.0000000132918359,0.0
8,0.9892473220825195,True,0.9579973220825195,0.18902902133762836,0.37219359474256636,0.0,0.10314153606072068,0.10314153645932675,0.3721935918964446,1.0000000106096267,0.0
9,0.9877883195877075,True,0.9565383195877075,0.19142676377296447,0.4005857459157705,0.0,0.11029588602855801,0.11029588652402163,0.40058574436604977,1.0000000128149986,0.0
10,0.9863013625144958,True,0.9550513625144958,0.19358917577564716,0.4278356292396784,0.0,0.11774132311716676,0.11774132386595011,0.42783562679588794,1.0000000158548354,0.0
11,0.9847856163978577,True,0.9535356163978577,0.19556221879273653,0.45489135728776453,0.0,0.12544398844987154,0.1254439888074994,0.45489135655760765,1.0000000113844871,0.0
12,0.9832402467727661,True,0.9519902467727661,0.19756299605220556,0.4805225148424506,0.0,0.13327231308072807,0.13327231387794017,0.48052251102775334,1.000000014603138,0.0
13,0.9816642999649048,True,0.9504142999649048,0.19938725132495164,0.5046831429600716,0.0,0.1409112805724144,0.14091128128021954,0.5046831406652927,1.0000000119805337,0.0
14,0.9800570011138916,True,0.9488070011138916,0.20114508229494094,0.529130872681737,0.0,0.14851017325371504,0.14851017408072947,0.529130871668458,1.0000000125169755,0.0
15,0.9784172773361206,True,0.9471672773361206,0.2029368505179882,0.5519518689811229,0.0,0.15557208005338907,0.15557208096235992,0.5519518671929836,1.0000000121593475,0.0
16,0.9767442345619202,True,0.9454942345619202,0.20452140079438685,0.5754510080814361,0.0,0.16258634337037803,0.16258634412288667,0.5754510072767735,1.0000000103116036,0.0
17,0.9750366806983948,True,0.9437866806983948,0.2060832466185093,0.5971678681671619,0.0,0.16895255146175622,0.16895255241543056,0.5971678649485112,1.0000000134110452,0.0
18,0.9732937812805176,True,0.9420437812805176,0.20754582184553147,0.6187150488197803,0.0,0.17493859707564116,0.17493859762698413,0.6187150466740131,1.0000000095367432,0.0
19,0.9715142250061035,True,0.9402642250061035,0.20894949842989444,0.639314508497715,0.0,0.18050317875295877,0.1805031801685691,0.6393145001232624,1.0000000158548354,0.0
20,0.9696969985961914,False,,,,,0.18544244068861007,0.18544244068861007,0.9999999790787697,1.0,0.0
21,0.9678407311439514,False,,,,,0.18976896381378175,0.18976896381378175,0.9999999803304672,1.0,0.0
22,0.9659442901611328,False,,,,,0.19340590062737464,0.19340590062737464,0.9999999820590019,1.0,0.0
23,0.964006245136261,False,,,,,0.1963690958544612,0.1963690958544612,0.9999999814629554,1.0,0.0
24,0.9620253443717957,False,,,,,0.19890978972613813,0.19890978972613813,0.9999999806284905,1.0,0.0
25,0.9599999785423279,False,,,,,0.20104174518585205,0.20104174518585205,0.9999999793767929,1.0,0.0
26,0.9579287767410278,False,,,,,0.2029611180573702,0.2029611180573702,0.9999999802112579,1.0,0.0
27,0.9558101296424866,False,,,,,0.2048094658702612,0.2048094658702612,0.999999981880188,1.0,0.0
28,0.9536424279212952,False,,,,,0.20638321802020074,0.20638321802020074,0.9999999817609787,1.0,0.0
29,0.9514237642288208,False,,,,,0.20778520764410496,0.20778520764410496,0.9999999815225601,1.0,0.0
30,0.9491525292396545,False,,,,,0.20914942181110383,0.20914942181110383,0.999999981045723,1.0,0.0
31,0.9468267560005188,False,,,,,0.210412220954895,0.210412220954895,0.999999983727932,1.0,0.0
32,0.9444444179534912,False,,,,,0.21159718185663223,0.21159718185663223,0.9999999809265137,1.0,0.0
33,0.9420035481452942,False,,,,,0.212611854031682,0.212611854031682,0.999999983549118,1.0,0.0
34,0.9395017623901367,False,,,,,0.21356455168128013,0.21356455168128013,0.9999999805688858,1.0,0.0
35,0.9369369745254517,False,,,,,0.21443987861275673,0.21443987861275673,0.9999999806880951,1.0,0.0
36,0.9343065619468689,False,,,,,0.21536387941241264,0.21536387941241264,0.9999999821782112,1.0,0.0
37,0.9316081404685974,False,,,,,0.21610400608181954,0.21610400608181954,0.9999999820590019,1.0,0.0
38,0.9288389086723328,False,,,,,0.21678697751462458,0.21678697751462458,0.9999999823570251,1.0,0.0
39,0.9259962439537048,False,,,,,0.21743592450022697,0.21743592450022697,0.9999999836087227,1.0,0.0
40,0.9230769276618958,False,,,,,0.21799712234735488,0.21799712234735488,0.9999999816417694,1.0,0.0
41,0.9200779795646667,False,,,,,0.21842397110164166,0.21842397110164166,0.9999999826550484,1.0,0.0
42,0.9169960021972656,False,,,,,0.21880543527007104,0.21880543527007104,0.9999999820590019,1.0,0.0
43,0.913827657699585,False,,,,,0.21912416429817677,0.21912416429817677,0.9999999815821647,1.0,0.0
44,0.9105690717697144,False,,,,,0.21943866115808486,0.21943866115808486,0.9999999821186065,1.0,0.0
45,0.9072164297103882,False,,,,,0.21964953802525997,0.21964953802525997,0.9999999815821647,1.0,0.0
46,0.9037656784057617,False,,,,,0.219828628718853,0.219828628718853,0.9999999823570251,1.0,0.0
47,0.9002123475074768,False,,,,,0.21994726599752903,0.21994726599752903,0.9999999838471413,1.0,0.0
48,0.8965517282485962,False,,,,,0.21997257943451404,0.21997257943451404,0.9999999819993973,1.0,0.0
49,0.8927790522575378,False,,,,,0.21994499215483665,0.21994499215483665,0.9999999853372574,1.0,0.0
50,0.8888888955116272,False,,,,,0.21982795521616935,0.21982795521616935,0.9999999816417694,1.0,0.0
51,0.8848758339881897,False,,,,,0.2197518060952425,0.2197518060952425,0.9999999848008155,1.0,0.0
52,0.8807339668273926,False,,,,,0.2196003325879574,0.2196003325879574,0.999999984562397,1.0,0.0
53,0.8764568567276001,False,,,,,0.21938527624309062,0.21938527624309062,0.9999999826550484,1.0,0.0
54,0.8720378875732422,False,,,,,0.21915435588359833,0.21915435588359833,0.9999999827742576,1.0,0.0
55,0.8674699068069458,False,,,,,0.21884740072488784,0.21884740072488784,0.9999999832510948,1.0,0.0
56,0.8627451062202454,False,,,,,0.21850889346003532,0.21850889346003532,0.9999999821186065,1.0,0.0
57,0.8578553795814514,False,,,,,0.21811789429187775,0.21811789429187775,0.9999999836087227,1.0,0.0
58,0.8527919054031372,False,,,,,0.2177025478333235,0.2177025478333235,0.9999999841451644,1.0,0.0
59,0.8475452661514282,False,,,,,0.21728490518033505,0.21728490518033505,0.9999999828934669,1.0,0.0
60,0.8421052694320679,False,,,,,0.21680458587408066,0.21680458587408066,0.9999999851584435,1.0,0.0
61,0.836461067199707,False,,,,,0.21633236479759216,0.21633236479759216,0.9999999856352806,1.0,0.0
