arm,source,role,strength,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
ig_original_00,ig,control,0.8,65.40124492880051,128.0,0.0,96.82849516859278,True
ig_native_00,ig,control,0.8,64.84974025086149,128.0,0.0,107.803285964299,True
ig_direct_00,ig,candidate,0.8,64.79466219619457,128.0,0.0,101.3977958522737,True
cfg_original_00,cfg,control,1.25,45.70778872599459,224.0,0.0,154.7572053791955,True
cfg_native_00,cfg,control,1.25,45.438423768924906,224.0,0.0,155.72723686415702,True
cfg_direct_00,cfg,candidate,1.25,45.65534666236016,224.0,0.0,156.44196059089154,True
cfg_apg_07,cfg,control,2.0,44.503619402929985,224.0,0.0,174.221297533717,True
ig_adg_reference_00,ig,control,0.8,64.6905805105041,128.0,0.0,116.53174964385107,True
