update,candidate_gradient_norm,candidate_loss,control_gradient_norm,control_loss
1,0.012250431813299656,0.0,0.012362544424831867,0.0
2,0.011470183730125427,-0.0009218514314852655,0.011561344377696514,-0.000927839195355773
3,0.011120747774839401,-0.001845475286245346,0.01118625421077013,-0.0018549212254583836
4,0.010661744512617588,-0.0027577164582908154,0.010703887790441513,-0.0027679274789988995
5,0.010087834671139717,-0.0036272136494517326,0.010116497054696083,-0.003636073786765337
6,0.00955543015152216,-0.00442248722538352,0.009585726074874401,-0.004429496359080076
7,0.009336252696812153,-0.005128729157149792,0.00937541015446186,-0.005135595798492432
8,0.009539657272398472,-0.005767252761870623,0.009577457793056965,-0.005776682868599892
