family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,response_g1p5_r1p35_n5000_seed1,factorized,1.5,1.0,0.0,1.35,1,5000,47.75149838091477,66.88961098720767,33.123374938964844,150068,5b84be267479bd75e77bb3b2c6e7498e8ef3b9be8e6b646ede6735c3c5a749a3,1410ba5adf9aa817491a8da73d510f7b944fc76125f6b01bb97a934dbbddd3fc,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/v500_formal_n5000/v500/response_g1p5_r1p35_n5000_seed1/nominal_intervention_fid5k.json
v500,closed_g3_n5000_seed1,closed,3.0,1.0,1.0,1.0,1,5000,47.97379794196286,67.21658623246753,35.07304382324219,175910,5b84be267479bd75e77bb3b2c6e7498e8ef3b9be8e6b646ede6735c3c5a749a3,1410ba5adf9aa817491a8da73d510f7b944fc76125f6b01bb97a934dbbddd3fc,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/v500_formal_n5000/v500/closed_g3_n5000_seed1/nominal_intervention_fid5k.json
v500,response_g1p5_r1p35_n5000_seed0,factorized,1.5,1.0,0.0,1.35,0,5000,48.08410242207276,66.79390569699945,33.604087829589844,39254,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/v500_formal_n5000/v500/response_g1p5_r1p35_n5000_seed0/nominal_intervention_fid5k.json
v500,closed_g3_n5000_seed0,closed,3.0,1.0,1.0,1.0,0,5000,48.5135105966574,67.1167572265042,34.89010238647461,44696,bb460ea94ef337bca3b15f07d0d136d2fe286168c5afef96aeda2e4757f5c143,dd55c4ee2ce9e86812f5dd9dbf7262467ac6fda3d319e21ec8716ce7292f6e46,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/v500_formal_n5000/v500/closed_g3_n5000_seed0/nominal_intervention_fid5k.json
