condition,mode,gamma,response_scale,orthogonal_scale,seeds,num_samples_per_seed,fid_seed0,fid_seed1,fid_mean,sfid_mean,inception_score_mean,fid_delta_vs_closed,fid_delta_vs_no_direction
closed_g3,closed,3.0,1.0,1.0,2,5000,48.5135105966574,47.97379794196286,48.24365426931013,67.16667172948587,34.9815731048584,0.0,0.3258538678163665
response_no_direction,factorized,1.5,1.35,0.0,2,5000,48.08410242207276,47.75149838091477,47.917800401493764,66.84175834210356,33.363731384277344,-0.3258538678163665,0.0
response_direction_candidate1,factorized,1.75,1.25,1.125,2,5000,46.375366956361745,46.12260565768236,46.24898630702205,67.21585119269184,34.462181091308594,-1.9946679622880777,-1.6688140944717132
response_direction_final,factorized,1.75,1.3,1.25,2,5000,46.06971474071372,46.000341537326676,46.0350281390202,67.82228945117549,33.96438789367676,-2.208626130289929,-1.8827722624735657
