family,condition,mode,gamma,nominal_scale,orthogonal_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
x800,factorized_b0p75_l1_n1000_seed0,factorized,1.0,0.75,1.0,0,1000,81.48447875292845,220.89117063554158,29.62542724609375,8152,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b0p75_l1_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1_l0p5_n1000_seed0,factorized,1.0,1.0,0.5,0,1000,81.6898720694744,220.99476773734068,28.815404891967773,7930,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1_l0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b0p5_l1p5_n1000_seed0,factorized,1.0,0.5,1.5,0,1000,81.84877944341281,220.91755619568244,30.11130714416504,8488,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b0p5_l1p5_n1000_seed0/nominal_intervention_fid5k.json
x800,closed_g0p75_n1000_seed0,closed,0.75,1.0,1.0,0,1000,81.93707814899523,220.11713190928845,29.3424129486084,7894,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/closed_g0p75_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b0p75_l0p5_n1000_seed0,factorized,1.0,0.75,0.5,0,1000,82.13693188075382,220.43479525443354,29.45897102355957,7642,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b0p75_l0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p25_l0p5_n1000_seed0,factorized,1.0,1.25,0.5,0,1000,82.20317602912627,221.9493702705015,28.524423599243164,8152,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p25_l0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b0p5_l0p5_n1000_seed0,factorized,1.0,0.5,0.5,0,1000,82.34037355036907,220.16997617622928,30.021316528320312,7198,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b0p5_l0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b0p5_l1_n1000_seed0,factorized,1.0,0.5,1.0,0,1000,82.41505542773723,220.23127605738773,29.444307327270508,7930,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b0p5_l1_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p25_l1_n1000_seed0,factorized,1.0,1.25,1.0,0,1000,82.48709221302755,222.30449464943763,28.958250045776367,8488,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p25_l1_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p25_l1p5_n1000_seed0,factorized,1.0,1.25,1.5,0,1000,82.58829798846591,222.77047047304598,28.63349723815918,8878,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p25_l1p5_n1000_seed0/nominal_intervention_fid5k.json
x800,closed_g0p5_n1000_seed0,closed,0.5,1.0,1.0,0,1000,82.59210853857638,220.04719982958636,30.010576248168945,7144,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/closed_g0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p5_l1p5_n1000_seed0,factorized,1.0,1.5,1.5,0,1000,83.33750250023968,223.83718903509998,27.544450759887695,9016,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p5_l1p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p5_l0p5_n1000_seed0,factorized,1.0,1.5,0.5,0,1000,83.36044959528977,222.9649397798205,27.705820083618164,8326,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p5_l0p5_n1000_seed0/nominal_intervention_fid5k.json
x800,factorized_b1p5_l1_n1000_seed0,factorized,1.0,1.5,1.0,0,1000,83.38053102172194,223.2928375938866,27.908388137817383,8434,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/screen_n1000_seed0/x800/factorized_b1p5_l1_n1000_seed0/nominal_intervention_fid5k.json
