family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,g1p25_r1p50_l0p375_n1000_seed0,factorized,1.25,1.0,0.375,1.5,0,1000,75.0168178942485,216.13691780517615,28.99371910095215,8062,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p50_l0p375_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p30_l0p125_n1000_seed0,factorized,1.75,1.0,0.125,1.3,0,1000,75.03780846676887,215.6091669593702,30.668046951293945,7972,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l0p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p30_l0p625_n1000_seed0,factorized,1.25,1.0,0.625,1.3,0,1000,75.04407467310767,216.10273465299565,31.552738189697266,7624,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p30_l0p625_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p35_l0_n1000_seed0,factorized,1.75,1.0,0.0,1.35,0,1000,75.04451327442797,215.4448124997473,30.354045867919922,7912,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p35_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p50_l1p0_n1000_seed0,factorized,1.75,1.0,1.0,1.5,0,1000,75.08583388881283,218.0575050125458,27.558746337890625,8668,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p50_l1p0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p50_l0p25_n1000_seed0,factorized,1.25,1.0,0.25,1.5,0,1000,75.08739875276251,215.9665314124752,29.021224975585938,7972,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p50_l0p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p50_l0p125_n1000_seed0,factorized,1.25,1.0,0.125,1.5,0,1000,75.09970976078768,215.7745150734089,28.898468017578125,7828,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p50_l0p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p30_l0p125_n1000_seed0,factorized,1.5,1.0,0.125,1.3,0,1000,75.12564981440232,215.50318418406187,30.818138122558594,7822,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p30_l0p125_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p50_l0p875_n1000_seed0,factorized,1.75,1.0,0.875,1.5,0,1000,75.17932663288553,217.7642160715402,27.820613861083984,8716,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p50_l0p875_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p30_l0_n1000_seed0,factorized,1.75,1.0,0.0,1.3,0,1000,75.1966341422854,215.46587993070193,30.365842819213867,7942,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p30_l0_n1000_seed0/nominal_intervention_fid5k.json
