direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean
v180,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.0001412080643934388,3.5307036092477706e-05,-2.2784756882656077e-06,5.124712653767206e-06,5.756445915287364,-0.4446055500479011,2.0962409268135644e-07,-9.681664030298403e-06,0.46533203125,7.847998453620958,-13.534363247865258,-0.030454216146397647
v180,high_noise,0.0,0.5,2082,-0.0010556674468569015,0.0007511129663238108,-3.176714797188549e-05,5.6289746851496374e-05,-1.9141496270683138e-06,6.594731736550399e-06,33.23142032741455,-0.29025435810518285,6.606193629654378e-08,-1.0423030990686869e-05,0.5110470701248799,5.543600873420876,-8.432723818241291,-0.028456408424789022
v180,low_noise,0.5,1.0,2014,-0.0005618475420969745,0.0002898519632384771,-0.0002543441060963554,4.193748707119637e-05,-2.6551027286890286e-06,3.605060354683487e-06,2.209005550473125,-0.736493280962598,2.211142974082247e-07,-8.915265812061508e-06,0.41807348560079444,9.669156149238823,-18.80825266816173,-0.03251947715751441
v180,q0,0.0,0.25,994,-0.002382012566652756,0.0015318882581420497,-0.00011446353291867346,0.00010875007629229805,-3.0572463323659014e-06,1.1756894940293817e-05,20.810231048391458,-0.2600385856888075,5.322052473032791e-07,-1.78713876050258e-05,0.4859154929577465,3.5134504752730393,-4.939360301304511,-0.023877134091151636
v180,q1,0.25,0.5,1088,0.00015608535560364972,0.0003247554107597778,4.37845125401616e-05,4.1550527505755135e-05,-8.698131150593047e-07,1.8785642507774609e-06,3.564853107830755,-0.46302015738845487,1.1751158881147599e-08,-3.618190480896076e-06,0.5340073529411765,6.894206922063025,-11.62427100191331,-0.03264004692445406
v180,q2,0.5,0.75,1017,-0.0006061631504738394,0.000379598220923697,-0.00016972245127238532,5.545442087979892e-05,-3.393352080943427e-06,3.153201590301609e-06,3.571496557641724,-1.0761608428019493,1.7695328107291635e-07,-9.939905752188462e-06,0.45722713864306785,9.936142716975663,-18.91528119280158,-0.033114832363441704
v180,q3,0.75,1.0,997,-0.0005166429546152577,0.00043939124605304103,-0.00034066328659382533,6.297455989047382e-05,-1.9020439611436704e-06,4.065983487458181e-06,1.516579493437618,-0.4677943152033603,2.3595109899664968e-07,-7.870071409745593e-06,0.3781344032096289,9.388995002098834,-18.69907713199451,-0.03191217901866981
v240,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.00014287967798320977,3.215103973161033e-05,-2.304355661913091e-06,4.253372514478164e-06,5.689098666493125,-0.5417714188139494,2.1186677198016952e-07,-8.862083838304352e-06,0.45556640625,7.078485099081674,-13.187096007060973,-0.03214640908057684
v240,high_noise,0.0,0.5,2082,-0.0010556674468569015,0.0007511129663238108,-1.8244318626512947e-05,5.0901616975705246e-05,-2.923676220906561e-06,5.392151020115012e-06,57.8628047705102,-0.542209632111565,3.818701136604371e-08,-1.1239503461927874e-05,0.4966378482228626,5.002349347244012,-7.95457434988832,-0.028917695993653198
v240,low_noise,0.5,1.0,2014,-0.0005618475420969745,0.0002898519632384771,-0.0002717231825416223,3.8619439422842694e-05,-1.664124577591145e-06,3.0761446849171325e-06,2.067720305796548,-0.5409773427597975,2.3150051655300827e-07,-6.4043938400993965e-06,0.4131082423038729,8.719704415400775,-18.596286717206684,-0.03548413532038569
v240,q0,0.0,0.25,994,-0.002382012566652756,0.0015318882581420497,-3.38119941665962e-05,9.76577953096669e-05,-5.511998124950937e-06,9.471428920801103e-06,70.44874534510632,-0.5819605648779684,1.5993793906732178e-07,-2.049542517070348e-05,0.48893360160965793,3.164073116562262,-4.3417916408172195,-0.022895099120818642
v240,q1,0.25,0.5,1088,0.00015608535560364972,0.0003247554107597778,-4.021644465811893e-06,3.914089566521756e-05,-5.589777166601353e-07,1.6653107321720205e-06,-38.8113262946378,-0.33565970954326074,-1.2716132373247969e-09,-2.7832661654922922e-06,0.5036764705882353,6.2240368353506605,-11.255223258727176,-0.03441995821019506
v240,q2,0.5,0.75,1017,-0.0006061631504738394,0.000379598220923697,-0.00018251416568288117,5.087722587917856e-05,-4.1562543166016935e-06,2.663219407646451e-06,3.3211841294940876,-1.5606128074422048,1.8795530267796094e-07,-1.0975728040849838e-05,0.4552605703048181,8.925859008141243,-18.474385836307277,-0.03590445257545545
v240,q3,0.75,1.0,997,-0.0005166429546152577,0.00043939124605304103,-0.0003627217483844906,5.813177672244844e-05,8.779977339171069e-07,3.497353317800065e-06,1.4243506404463189,0.25104633536693755,2.4322820482604886e-07,-1.741357849965896e-06,0.37011033099297896,8.504267043801184,-18.720632951785113,-0.03505538642529448
v270,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.00017204420104777185,3.107379017137137e-05,-1.1276925774729539e-06,3.983651090955195e-06,4.72469621488456,-0.28308015730427766,2.5009531651760373e-07,-6.239036245901143e-06,0.44921875,6.740280359463033,-12.79533518935932,-0.03296414447824442
v270,high_noise,0.0,0.5,2082,-0.0010556674468569015,0.0007511129663238108,-6.040337058151562e-05,4.9684085916050276e-05,-1.2022915976846902e-06,5.140614533662925e-06,17.47696257168722,-0.233880908559001,1.2388317682907199e-07,-7.545197729031793e-06,0.48895292987512007,4.771979125549452,-7.726143888957391,-0.02989898805547468
v270,low_noise,0.5,1.0,2014,-0.0005618475420969745,0.0002898519632384771,-0.00028745443393294836,3.665736875386202e-05,-1.0505748217227874e-06,2.7876243343923878e-06,1.9545621001902203,-0.3768710183654566,2.403810827524966e-07,-4.8887739778379405e-06,0.40814299900695133,8.297954241455628,-18.03568091301216,-0.03613279178321293
v270,q0,0.0,0.25,994,-0.002382012566652756,0.0015318882581420497,-9.664200898776661e-05,9.5787666217556e-05,-2.271327509861594e-06,9.120389738311291e-06,24.64779645624174,-0.24903842654010833,4.5106528184966675e-07,-1.3663044758034648e-05,0.4778672032193159,3.041533686291012,-4.228058380125394,-0.024363808343421892
v270,q1,0.25,0.5,1088,0.00015608535560364972,0.0003247554107597778,-2.7295643949334108e-05,3.7196303509258546e-05,-2.2561724409660073e-07,1.5046802014749873e-06,-5.718324722192807,-0.14994365173106933,-9.265952763133672e-09,-1.9559146896681824e-06,0.4990808823529412,5.926590930227493,-10.922005098313093,-0.034955944520346435
v270,q2,0.5,0.75,1017,-0.0006061631504738394,0.000379598220923697,-0.00020058773035225787,4.7466207335177384e-05,-3.649916956922924e-06,2.3293249297744947e-06,3.0219353367692974,-1.5669419539833274,2.0294234358557309e-07,-9.629158843620344e-06,0.4385447394296952,8.483493749408456,-17.88399008068832,-0.03656994395811759
v270,q3,0.75,1.0,997,-0.0005166429546152577,0.00043939124605304103,-0.00037606369927052326,5.591241538941703e-05,1.6009105859989163e-06,3.255117307809036e-06,1.3738176687019399,0.4918134846195334,2.4715741552030316e-07,-5.3296135811261094e-08,0.37713139418254765,8.104317564041827,-18.190414690818926,-0.035686870256755515
v300,overall,0.0,1.0,4096,-0.0008128565854832459,0.0004074946269409231,-0.00015484372551810566,2.8691263094680977e-05,-9.340927107887199e-07,3.394933806112119e-06,5.2495287281640595,-0.27514312918473177,2.2775490468397822e-07,-5.263119227689604e-06,0.449462890625,6.406663926674144,-12.242971227427915,-0.03338000383489387
