step,raw,native_fresh
1,1.6892118453979492,1.6892118453979492
100,1.2279905080795288,1.1699659824371338
200,1.0651222467422485,1.110276222229004
300,0.9781045913696289,0.9939707517623901
400,0.9418334364891052,0.9739937782287598
500,0.8840162754058838,0.911964476108551
600,0.9168339967727661,0.9455707669258118
700,0.886728823184967,0.9111247658729553
800,0.9260920882225037,0.9403268098831177
900,0.8691706657409668,0.8973357677459717
1000,0.9068570137023926,0.9438421726226807
1100,0.9290053248405457,0.9534424543380737
1200,0.9819966554641724,1.014498233795166
1300,0.9769372940063477,1.0249712467193604
1400,0.8897839784622192,0.9096770286560059
1500,0.9486805200576782,0.9824918508529663
1600,0.9160404801368713,0.9511237144470215
1700,0.8985528945922852,0.937007486820221
1800,1.0077507495880127,1.0322093963623047
1900,0.8716177940368652,0.9050915837287903
2000,0.8939058184623718,0.9297957420349121
2100,0.8895204067230225,0.9328048229217529
2200,0.9226076006889343,0.958735466003418
2300,0.8893064260482788,0.9397299289703369
2400,0.9124710559844971,0.949717104434967
2500,0.848047137260437,0.8800472617149353
2600,0.93027663230896,0.9686657190322876
2700,0.9954327344894409,1.030496597290039
2800,0.9071389436721802,0.943356990814209
2900,0.8115754723548889,0.8425933718681335
3000,0.8584381341934204,0.8969412446022034
