arm,median_seconds,batch,repeats
native_base,0.7640764769166708,8,3
context_capture,0.782719214912504,8,3
context_direct,0.7662920467555523,8,3
native_66,0.7795102307572961,8,3
adg,0.8004212798550725,8,3
