model,track,arm,fid,inception_score,mean_gain,invalid_rho_fraction,cap_triggered_fraction,seconds,full_calls_per_output,prefix_calls_at_inference,primary_samples,generated_paths,delta_vs_best_control,passes_fixed_screen
sit_small,ig,inverse,111.06690164555562,34.917205810546875,0.3941687345504761,0.005937499925494194,0.028828125447034836,40.35183296399191,128,0,400,400,7.516397409081264,False
sit_small,ig,time_mean,103.55050423647435,35.50941848754883,0.7159874439239502,0.016835937276482582,0.054375000298023224,42.29344079224393,128,0,400,400,0.0,False
sit_small,ig,moment_constant,105.01484556776421,33.478397369384766,0.9494114518165588,0.015273437835276127,0.052226562052965164,39.696244716178626,128,0,400,400,1.4643413312898588,False
sit_small,ig,native_base,103.90787602813839,34.64113998413086,0.7428572773933411,0.020351562649011612,0.06695312261581421,39.707739828154445,128,0,400,400,0.3573717916640362,False
sit_small,ig,native_half,108.24835182963488,35.141422271728516,0.37142863869667053,0.03312499821186066,0.09660156071186066,39.44439423736185,128,0,400,400,4.697847593160532,False
sit_small,ig,constant_cap2,131.1025501696583,23.192489624023438,2.0,0.004687500186264515,0.022226562723517418,39.51124483440071,128,0,400,400,27.552045933183933,False
sit_small,cfg,inverse,95.03524577979294,39.85536193847656,0.44334733486175537,0.03265624865889549,0.0729166641831398,62.26040808018297,224,0,400,400,17.306553820991894,False
sit_small,cfg,time_mean,81.2142615625043,52.82246780395508,0.8773632645606995,0.04442708194255829,0.09927083551883698,63.54985824599862,224,0,400,400,3.4855696037032544,False
sit_small,cfg,moment_constant,77.90945474196042,67.5716552734375,1.817751407623291,0.03161458298563957,0.07054687291383743,62.79369910759851,224,0,400,400,0.18076278315936634,False
sit_small,cfg,native_base,77.72869195880105,60.19150924682617,1.25,0.041588541120290756,0.09497395902872086,62.139110926073045,224,0,400,400,0.0,False
sit_small,cfg,native_half,88.52705581047951,45.5548095703125,0.625,0.07276041805744171,0.14851562678813934,88.44891084404662,224,0,400,400,10.79836385167846,False
sit_small,cfg,constant_cap2,78.26718995170643,68.7688980102539,2.0,0.028723958879709244,0.0657031238079071,88.30159612093121,224,0,400,400,0.538497992905377,False
raev2,ig,inverse,93.07421264015798,27.224855041503908,0.10386206954717636,7.575757626909763e-05,0.0010858585592359304,326.4062620406039,100,0,400,400,-0.04736391908889459,False
raev2,ig,time_mean,93.51385099788445,28.0187650680542,0.2179252803325653,0.005681818351149559,0.012398989871144295,324.88255395786837,100,0,400,400,0.39227443863757117,False
raev2,ig,moment_constant,93.12157655924688,27.424430465698244,0.12227264046669006,0.009242423810064793,0.017045455053448677,325.1055532163009,100,0,400,400,0.0,False
raev2,ig,native_base,94.36568892842604,27.81590461730957,0.779999852180481,0.0003787878667935729,0.003005050588399172,322.07043929118663,100,0,400,400,1.2441123691791631,False
raev2,ig,native_half,94.20711867613358,28.09274024963379,0.3899999260902405,0.004116161726415157,0.00909090880304575,322.62769320840016,100,0,400,400,1.0855421168866997,False
raev2,ig,constant_cap2,97.34207395356907,27.85270824432373,2.0,0.0,0.00025252526393160224,323.4182923515327,100,0,400,400,4.220497394322194,False
raev2,cfg,inverse,93.3412629525505,26.893378067016602,0.09631355106830597,0.0,0.0,635.5132795334794,200,0,400,400,0.10735602466854743,False
raev2,cfg,time_mean,93.23390692788195,26.605994033813477,0.10870051383972168,0.0,0.0,635.8919192892499,200,0,400,400,0.0,False
raev2,cfg,moment_constant,93.29410978814951,26.495734405517577,0.10776020586490631,0.0,0.0,641.8938091089949,200,0,400,400,0.06020286026756594,False
raev2,cfg,native_base,96.85326156248581,31.325010681152342,1.0,0.0,0.0,636.6753187514842,200,0,400,400,3.619354634603866,False
raev2,cfg,native_half,94.13541284747231,29.711686897277833,0.5,0.0,0.0,638.4992867391557,200,0,400,400,0.9015059195903632,False
raev2,cfg,constant_cap2,100.46329308087064,31.858001899719238,2.0,0.0,0.0,635.4152045464143,200,0,400,400,7.229386152988695,False
