model,track,inverse_temperature,audit_nll,audit_accuracy,source_seconds,head_fit_cpu_seconds,trainable_parameters
sit_small,cfg,0.10836909063109262,0.555362899776592,0.7053125,113.94522956712171,3.288381688296795,49665
raev2,cfg,0.034878337475854,0.6878944416662333,0.53695,1427.561206810642,5.985880669206381,184833
