model,track,kappa,mmd2_before,mmd2_after_weighted,mmd2_change,mean_accept_probability,ideal_accept_probability,effective_sample_size,predicted_negative_accept_fraction,source_audit_bce,source_audit_accuracy,change_lo,change_hi
sit_small,ig,0.4870246670717804,0.2240707933223436,0.17365943864726452,-0.05041135467507907,0.8502048474031622,0.5129753329282196,455.7607995997351,0.054,0.2605935835767659,0.879,-0.06664144092850796,-0.03666010132005406
sit_small,cfg,0.6451071386849161,0.2240707933223436,0.08382356770568311,-0.14024722561666048,0.4957090891991614,0.3548928613150839,363.42995037375067,0.164,0.6281389695925913,0.656,-0.16532017008738475,-0.11711962058216961
raev2,ig,0.10895094185185267,0.00044551031818573783,0.0005342864535966552,8.877613541091733e-05,0.8931949099040839,0.8910490581481474,492.6647913871505,0.002,0.6198177879733702,0.656,-0.0013141617052193743,0.0013184353869780448
raev2,cfg,0.09727757036363077,0.00044551031818573783,0.0003670572319185439,-7.845308626719394e-05,0.9018574807411177,0.9027224296363692,499.56012914735265,0.0,0.6884392009199217,0.546,-0.0004912494019865821,0.00025232001078545055
