model,arm,primary_samples,fid,inception_score,seconds,full_calls_per_output,prefix_calls_per_output
sit_small,strong,1000,87.21002963036517,28.398277282714844,91.97755330288783,128.0,0.0
sit_small,weak,1000,172.00099624091212,10.702860832214355,69.73645326960832,64.0,64.0
sit_small,null,1000,139.58285183284033,13.107805252075195,92.3861601552926,128.0,0.0
raev2,strong,1000,39.303898854192425,54.70358161926269,799.7636448168196,100.0,0.0
raev2,weak,1000,48.61283873173164,38.00432109832764,219.1272659720853,1.0,99.0
raev2,null,1000,48.4270555581744,35.071251487731935,794.7211151281372,100.0,0.0
