time,head,operator,nuisance_explained,operator_alone_explained,combined_explained,incremental_explained,operator_coefficient,diagnostic_only
0.15,depth4_v,clt,0.1225084114312911,0.3059431496045568,0.3664370526004356,0.24392864116914448,0.942598284708267,True
0.15,depth4_v,factor,0.1225084114312911,0.11751413677789269,0.17939996330469554,0.056891551873404445,0.2616287365352927,True
0.15,depth4_v,local_label,0.1225084114312911,-0.0043344492416905744,0.12320342660251848,0.0006950151712273867,0.5505601811563079,True
0.15,depth4_v,defensive,0.1225084114312911,0.17287615403948198,0.2714843073946054,0.1489758959633143,1.511322633423598,True
0.15,depth4_v,heat,0.1225084114312911,0.004248505970348426,0.12744806319529778,0.004939651764006681,0.42292255245511123,True
0.15,depth4_v,plain_mix,0.1225084114312911,0.16180865782394305,0.1794633235097718,0.05695491207848069,0.3197713716832654,True
0.15,depth4_v,random_label,0.1225084114312911,0.011048839499087526,0.13265965072818464,0.010151239296893544,0.4906801150922171,True
0.15,depth6_v,clt,0.10607293568255105,0.24072444637463175,0.2956060914082582,0.18953315572570717,0.794040073559741,True
0.15,depth6_v,factor,0.10607293568255105,0.08472491977020791,0.14277592535053008,0.036702989667979025,0.2194886724954833,True
0.15,depth6_v,local_label,0.10607293568255105,0.0005169564747375954,0.11001656448088215,0.0039436287983311,0.4329657261170611,True
0.15,depth6_v,defensive,0.10607293568255105,0.13126525382215382,0.21779657015406173,0.11172363447151068,1.2603345782900706,True
0.15,depth6_v,heat,0.10607293568255105,0.00585138329679824,0.109635195170523,0.0035622594879719527,0.4109172393084931,True
0.15,depth6_v,plain_mix,0.10607293568255105,0.1219113811238085,0.14161431667710622,0.03554138099455517,0.26702187350613016,True
0.15,depth6_v,random_label,0.10607293568255105,0.00947016934099909,0.11456166343450269,0.008488727751951641,0.36911645179549457,True
0.15,depth10_v,clt,0.0812526902444709,0.07319954438712728,0.12988545102429794,0.04863276077982703,0.19519394270484033,True
0.15,depth10_v,factor,0.0812526902444709,0.03460646150897839,0.09083504161892153,0.009582351374450626,0.06834594274214362,True
0.15,depth10_v,local_label,0.0812526902444709,0.003423805296458582,0.08399558616052771,0.002742895916056809,-0.11640966979021505,True
0.15,depth10_v,defensive,0.0812526902444709,0.029231180033442605,0.10244923912771231,0.021196548883241406,0.2505773151781676,True
0.15,depth10_v,heat,0.0812526902444709,0.011869810551584647,0.08133074248223315,7.805223776224945e-05,0.009678331490445303,True
0.15,depth10_v,plain_mix,0.0812526902444709,0.04829752250362285,0.08546248821096125,0.004209797966490347,0.06756704590890725,True
0.15,depth10_v,random_label,0.0812526902444709,0.005419677482647933,0.08855571232533777,0.007303022080866861,-0.10617396125477749,True
0.5,depth4_v,clt,0.16500211234082007,0.4792473948586805,0.5199020067502056,0.3548998944093855,1.192913303500547,True
0.5,depth4_v,factor,0.16500211234082007,0.09881645979575115,0.22434785073130636,0.05934573839048629,0.5473203103058684,True
0.5,depth4_v,local_label,0.16500211234082007,0.0008855255132549367,0.16624309403224802,0.0012409816914279448,0.3059884920754737,True
0.5,depth4_v,defensive,0.16500211234082007,0.0702849792788568,0.21660548690537051,0.05160337456455044,1.499389892340318,True
0.5,depth4_v,heat,0.16500211234082007,0.08355857154514901,0.2458928716134099,0.08089075927258982,0.72917048931077,True
0.5,depth4_v,plain_mix,0.16500211234082007,0.2612676633356962,0.5117401908180168,0.34673807847719673,0.7961476732346625,True
0.5,depth4_v,random_label,0.16500211234082007,0.0019937300954576687,0.16624797049179285,0.0012458581509727784,0.26441278882069863,True
0.5,depth6_v,clt,0.15191506383793618,0.42668109745627425,0.46652497691704553,0.31460991307910935,1.0646277003526088,True
0.5,depth6_v,factor,0.15191506383793618,0.08063119587516743,0.19849934231303545,0.04658427847509927,0.46850676495802246,True
0.5,depth6_v,local_label,0.15191506383793618,0.0006602922485562379,0.1530506217662123,0.0011355579282761319,0.34296063475481997,True
0.5,depth6_v,defensive,0.15191506383793618,0.06374678442787585,0.1987021534941642,0.04678708965622802,1.359682210150437,True
0.5,depth6_v,heat,0.15191506383793618,0.07490205349156798,0.23239574850707967,0.08048068466914349,0.6984767281081615,True
0.5,depth6_v,plain_mix,0.15191506383793618,0.24686621828031052,0.4718600332500432,0.31994496941210704,0.7270436272174398,True
0.5,depth6_v,random_label,0.15191506383793618,0.0018033418843337312,0.15299567971367667,0.0010806158757404871,0.3187484901046724,True
0.5,depth10_v,clt,0.05887908060134517,0.13354301706721372,0.15689237999000583,0.09801329938866066,0.30799174506648513,True
0.5,depth10_v,factor,0.05887908060134517,0.020838070916520346,0.06947502015048734,0.010595939549142175,0.12005972259238266,True
0.5,depth10_v,local_label,0.05887908060134517,0.00022814013467897798,0.059134430349996436,0.0002553497486512679,0.03989113628683262,True
0.5,depth10_v,defensive,0.05887908060134517,0.016507420768273717,0.0704557624262292,0.011576681824884028,0.3821612104400222,True
0.5,depth10_v,heat,0.05887908060134517,0.01840770438609518,0.09433052855323998,0.03545144795189481,0.23261963749651504,True
0.5,depth10_v,plain_mix,0.05887908060134517,0.10212467566767158,0.16697945293009475,0.10810037232874958,0.2258353678467921,True
0.5,depth10_v,random_label,0.05887908060134517,0.00027356041926274166,0.05901477960288248,0.00013569900153731496,0.04968124454107855,True
0.85,depth4_v,clt,0.6116488572117287,0.5484435529277976,0.7024751229671802,0.0908262657554515,0.7715897491569366,True
0.85,depth4_v,factor,0.6116488572117287,0.06436259497357721,0.6176732555430521,0.0060243983313233995,0.27577869598043353,True
0.85,depth4_v,local_label,0.6116488572117287,-0.00021345991343091342,0.6116281609625573,-2.0696249171336945e-05,0.05317831976402163,True
0.85,depth4_v,defensive,0.6116488572117287,0.020909129764912326,0.6153212398399175,0.0036723826281888083,0.5321468148473829,True
0.85,depth4_v,heat,0.6116488572117287,0.5945887404888721,0.6514572603330666,0.03980840312133793,0.7169450822712828,True
0.85,depth4_v,plain_mix,0.6116488572117287,0.2960369473039528,0.6723018097444029,0.06065295253267422,0.5820625216677537,True
0.85,depth4_v,random_label,0.6116488572117287,0.00018183821134265532,0.6115915328611228,-5.732435060590291e-05,0.08282466417915563,True
0.85,depth6_v,clt,0.5564349551373169,0.505519080237705,0.6469051078865531,0.0904701527492362,0.7501451421512969,True
0.85,depth6_v,factor,0.5564349551373169,0.056846851032859136,0.5615381328787088,0.005103177741391907,0.24056682722456282,True
0.85,depth6_v,local_label,0.5564349551373169,-0.00016477293459704612,0.5564248857094796,-1.0069427837322564e-05,0.0445000977693333,True
0.85,depth6_v,defensive,0.5564349551373169,0.021192402042503278,0.5607112360114519,0.004276280874135008,0.5526373343404911,True
0.85,depth6_v,heat,0.5564349551373169,0.5285041056706058,0.5979922323308077,0.04155727719349078,0.741165229534734,True
0.85,depth6_v,plain_mix,0.5564349551373169,0.28397062330356404,0.6161408747043822,0.05970591956706528,0.5654930003145734,True
0.85,depth6_v,random_label,0.5564349551373169,0.00014617068820832468,0.5564031322427059,-3.1822894611011066e-05,0.05312935800440453,True
0.85,depth10_v,clt,0.24099569724063907,0.22581257949527067,0.28233625958661834,0.04134056234597927,0.28719130416009,True
0.85,depth10_v,factor,0.24099569724063907,0.026532681302359307,0.24375819108677588,0.0027624938461368043,0.09740114167466926,True
0.85,depth10_v,local_label,0.24099569724063907,1.606598288506067e-05,0.24099919391867086,3.496678031789102e-06,0.006748868666939185,True
0.85,depth10_v,defensive,0.24099569724063907,0.009122209173704987,0.24274401676743762,0.0017483195267985474,0.2048343128809728,True
0.85,depth10_v,heat,0.24099569724063907,0.24038292352515034,0.26451946728769604,0.02352377004705697,0.32575709334245667,True
0.85,depth10_v,plain_mix,0.24099569724063907,0.1351180526006791,0.27459000218103236,0.03359430494039328,0.23672174666532597,True
0.85,depth10_v,random_label,0.24099569724063907,0.00012603554637580228,0.24099973135572916,4.034115090090218e-06,0.01477056966906383,True
