gamma,fid_high_noise,fid_low_noise,high_noise_advantage_fid,sfid_high_noise,sfid_low_noise,is_high_noise,is_low_noise
0.5,78.58482442926083,80.17977714235383,1.5949527130929937,218.27966047610755,220.63400611035922,33.88569641113281,30.947433471679688
1.0,73.25718201163045,75.64552664230735,2.3883446306768974,216.49399373111817,221.67668804917287,35.79633712768555,33.03910446166992
1.5,68.05560197064301,72.49050241448742,4.434900443844413,214.56829551010765,222.73525014149584,38.176544189453125,35.04174041748047
2.0,62.996633607964725,69.56419270136689,6.567559093402167,213.40949296670442,223.91483138883802,41.29261016845703,35.6314811706543
2.25,61.82419070203184,68.65734769506594,6.833156993034095,212.81869383855155,224.47563894397956,42.97106170654297,35.94851303100586
2.5,59.724288851726556,67.93610429135009,8.211815439623535,212.30891309948004,225.14565715120557,43.565093994140625,36.052154541015625
2.75,58.29929602689333,67.65117712156956,9.35188109467623,212.08872167067534,225.83792054599064,43.90773010253906,36.0068244934082
3.0,56.778189795611866,67.37791402192738,10.599724226315516,211.82178730330565,226.4823994114471,44.86534881591797,35.8597297668457
3.25,56.17722227055992,67.63988308005037,11.462660809490444,211.31980709015693,227.08293945105208,44.720218658447266,35.76527786254883
3.5,55.99832202126822,67.63539024579416,11.637068224525933,211.2913902160824,227.8856418143523,43.80227279663086,35.41831588745117
3.75,55.61321790658468,67.62901000337615,12.015792096791472,211.3615009271366,228.6344607533979,44.111122131347656,35.142242431640625
4.0,55.933519608098095,68.0046718289259,12.071152220827798,211.4214375289513,229.27351549035052,43.775413513183594,34.84023666381836
4.25,55.73316479027454,68.35717302675306,12.624008236478517,211.33671279624923,229.94009921319548,44.481178283691406,34.148155212402344
4.5,55.49511433837051,69.0045138975301,13.50939955915959,211.84376900288248,230.6774428999786,44.741188049316406,33.92518997192383
4.75,55.69614631423548,69.63469714801448,13.938550833779004,212.35331863611646,231.49153770209512,45.26395797729492,33.67655944824219
5.0,56.05026091256366,70.26040088102593,14.210139968462272,212.693676718578,232.269044084803,45.65104293823242,33.209224700927734
5.25,55.97458606909737,70.97328221100065,14.998696141903281,213.32972523103274,233.09430509056165,46.44419479370117,33.031734466552734
5.5,56.35348038127694,71.83234776431419,15.478867383037255,213.6097840676473,233.7874102839878,46.249385833740234,32.29692459106445
6.0,57.111133753967806,73.83718057932344,16.72604682535564,214.95014516961953,235.13399329332685,46.29948806762695,30.512344360351562
