step,branch,t_min,t_max,count,internal_velocity_mse,frozen_velocity_mse,full_internal_gap_rms,direction_residual_cosine,positive_alignment_fraction
50000,raw,0.0,0.2,448,0.6437311894260347,0.6262167303689888,0.12682662450242788,0.0037119102973325164,0.5267857142857143
50000,raw,0.2,0.4,402,0.7238280917726346,0.6833091591350475,0.19879308127941778,-0.004743797195079419,0.43781094527363185
50000,raw,0.4,0.6,436,0.9039628890539528,0.8094804621207605,0.30739535876643764,-0.005744928846746115,0.39908256880733944
50000,raw,0.6,0.8,402,1.0623875034982293,0.8920463445174753,0.41468866213933747,-0.005036722378196344,0.4228855721393035
50000,raw,0.8,1.0,360,1.1208149967922105,0.9963684152397845,0.3418348353356123,2.956801616467904e-05,0.49444444444444446
50000,ema,0.0,0.2,448,0.6435506653173694,0.6262167303689888,0.12635792592274292,0.0034870994916543297,0.5290178571428571
50000,ema,0.2,0.4,402,0.7239522586266199,0.6833091591350475,0.1990100927094915,-0.004745204390802152,0.43781094527363185
50000,ema,0.4,0.6,436,0.9037505170894325,0.8094804621207605,0.3069398170764293,-0.005708039493166584,0.4036697247706422
50000,ema,0.6,0.8,402,1.0625544182993287,0.8920463445174753,0.4148857018989117,-0.005089715848654706,0.4129353233830846
50000,ema,0.8,1.0,360,1.1211815625429153,0.9963684152397845,0.34275260613196423,-0.00014721415162865823,0.49722222222222223
