weak,weak_step,s,target_t,dt,disc_real_logit,disc_fake_logit,gap_rms,grad_rms,cos_grad_gap,inner_mean,signed_coeff,positive_coeff,finite_delta_plus,finite_delta_minus
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.011581601575016975,0.0005544144660234451,0.031221183016896248,0.000277498213108629,0.07715947926044464,6.684959998892737e-07,3.42902094416786e-05,3.42902094416786e-05,0.00013727135956287384,-0.00013540871441364288
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.009442560374736786,-0.0027445312589406967,0.05081956461071968,0.00045828698785044253,-0.06582491099834442,-1.5330585938500008e-06,-2.9680202715098858e-05,0.0,-0.0003156978636980057,0.0003134533762931824
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.007925096899271011,0.012279607355594635,0.024182060733437538,0.00023368580150417984,-0.04429156705737114,-2.5029183348124207e-07,-2.1400803234428167e-05,0.0,-5.109421908855438e-05,5.0418078899383545e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.011230973526835442,0.0038067996501922607,0.025256576016545296,0.0003036456473637372,0.04153376817703247,3.185245134318393e-07,2.496686101949308e-05,2.496686101949308e-05,6.638653576374054e-05,-6.59991055727005e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.0021879561245441437,-0.00842243991792202,0.023003580048680305,0.0002471217012498528,0.1601177155971527,9.102185458687018e-07,8.600522414781153e-05,8.600522414781153e-05,0.00018957816064357758,-0.00018397532403469086
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.006124513223767281,0.0272638201713562,0.0299586970359087,0.0002951975620817393,0.30105409026145935,2.6624422844179207e-06,0.00014832158922217786,0.00014832158922217786,0.0005396213382482529,-0.0005512535572052002
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.004286410287022591,0.009772241115570068,0.02544797956943512,0.00020894577028229833,0.0481865219771862,2.5621966415201314e-07,1.9782257368206047e-05,1.9782257368206047e-05,5.216151475906372e-05,-5.440413951873779e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.0018881801515817642,0.007135719060897827,0.027824247255921364,0.000316174904583022,-0.05751487612724304,-5.059772547610919e-07,-3.2677900890121236e-05,0.0,-0.00010441616177558899,0.00010457821190357208
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.005626130849123001,0.006904289126396179,0.01829325407743454,0.00022648184676654637,-0.061892762780189514,-2.5642731316111167e-07,-3.831354479189031e-05,0.0,-5.443394184112549e-05,5.161017179489136e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.0037157051265239716,0.007721809670329094,0.03850774094462395,0.0003137694438919425,-0.045285437256097794,-5.471636654874601e-07,-1.8449778508511372e-05,0.0,-0.00011615455150604248,0.00010625459253787994
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.004354121163487434,0.004500154405832291,0.023908689618110657,0.00022183480905368924,0.12426093965768814,6.590526595573465e-07,5.764725210610777e-05,5.764725210610777e-05,0.00013509579002857208,-0.00013485737144947052
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.001459561288356781,0.003780987113714218,0.018450360745191574,0.0003899002622347325,0.0935334861278534,6.728612333972706e-07,9.882931772153825e-05,9.882931772153825e-05,0.0001405607908964157,-0.0001367814838886261
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.012761004269123077,-0.024795852601528168,0.02654332108795643,0.0003417179104872048,0.00028589574503712356,2.5931683467206312e-09,1.8403066803784895e-07,1.8403066803784895e-07,6.139278411865234e-06,4.716217517852783e-06
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.029665779322385788,-0.0006242655217647552,0.020640209317207336,0.00031530417618341744,0.007607041858136654,4.950620180466103e-08,5.810339189338265e-06,5.810339189338265e-06,9.43988561630249e-06,-1.0076910257339478e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.003246322274208069,0.005348889157176018,0.027837850153446198,0.0005519718397408724,-0.013378092087805271,-2.0556389301873423e-07,-1.3263112123240717e-05,0.0,-3.663450479507446e-05,5.0572678446769714e-05
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.004807319492101669,-0.009545234963297844,0.022409647703170776,0.0003778316895477474,-0.0681605264544487,-5.771202609139436e-07,-5.746008537244052e-05,0.0,-0.00011927448213100433,0.00011826679110527039
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.010905686765909195,-0.009598759934306145,0.04125141352415085,0.00036837279913015664,-0.22474487125873566,-3.415200126255513e-06,-0.000100347948318813,0.0,-0.0006995685398578644,0.0006994474679231644
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,-0.012457946315407753,-0.005481358617544174,0.0179496631026268,0.00035220541758462787,-0.26764100790023804,-1.6920181451496319e-06,-0.00026258043362759054,0.0,-0.000343983992934227,0.00035105645656585693
v180,180000,0.0625,0.11249999701976776,0.05000000074505806,0.007445391267538071,-0.012569736689329147,0.03654569014906883,0.00048566251643933356,0.0298272967338562,5.294008929013216e-07,1.9819026420009322e-05,1.9819026420009322e-05,0.00011095404624938965,-0.00010953471064567566
