interaction,order,rms_mean,rms_over_full_effect_mean,cosine_to_full_effect_mean
early:middle,2,0.22591888644487407,0.484579769110415,0.0538461387374015
early:late,2,0.14383206971706344,0.30383979351804835,0.2729915908708543
middle:late,2,0.11931182384963386,0.2560002310200181,0.1700651608601689
early:middle:late,3,0.13418029092514672,0.28696732050363427,-0.02314962549933357
