model,arm,kind,samples,fid,sfid,inception_score,delta_ig,delta_cost_control,full_calls_per_output,seconds,relative_seconds,reused,source_output
raev2,ig,baseline,1000,39.43200363470146,,58.06604690551758,0.0,,100,740.6000806759112,1.0,True,/home/zhoushunyu/data/eqvae/experiments/weak_reference_20260914/cross_screen_1k/raev2/ig
raev2,ig_sg_w1,sg,1000,41.89612484281304,,51.264251708984375,2.464121208111578,2.713955917226201,199,1446.2899035168812,1.9528622008748904,False,/home/zhoushunyu/data/eqvae/experiments/ig_sg_20260914/screen_1k/raev2/ig_sg_w1
raev2,ig_log_k02_w1,log,1000,39.25302072064795,,59.20949440002441,-0.1789829140535062,-0.05082205468909251,300,2179.3824526271783,2.9427251083177812,True,/home/zhoushunyu/data/eqvae/experiments/weak_reference_20260914/cross_screen_1k/raev2/ig_log_k02_w1
raev2,ig_sg_cost,baseline,1000,39.182168925586836,,58.03298988342285,-0.2498347091146229,,199,1457.9622997394763,1.968622928597121,False,/home/zhoushunyu/data/eqvae/experiments/ig_sg_20260914/screen_1k/raev2/ig_sg_cost
raev2,ig_log_cost,baseline,1000,39.303842775337046,,58.41718673706055,-0.12816085936441368,,300,2214.0474711619318,2.989531771507875,True,/home/zhoushunyu/data/eqvae/experiments/weak_reference_20260914/cross_screen_1k/raev2/ig_equal_nfe
