start,method,k,index,gap_rms,clean_gap_rms,noise_gap_rms,modified_rms,correction_rms,sign_disagreement,guidance_flip_fraction
0,cfg_low,0,0,0.15222660610198033,0.15222660610198033,0.0,0.15222660610198033,0.0,0.0,0.0
0,cfg_low,0,1,0.18167397449166828,0.18167397449166828,0.0,0.18167397449166828,0.0,0.0,0.0
0,cfg_low,0,2,0.08842107906727106,0.08842107906727106,0.0,0.08842107906727106,0.0,0.0,0.0
0,cfg_low,0,3,0.16248645496254221,0.16248645496254221,0.0,0.16248645496254221,0.0,0.0,0.0
0,cfg_low,1,0,0.15705214397730335,0.154598204227658,0.002453939749645365,0.15705214397730335,0.0,0.0,0.0
0,cfg_low,1,1,0.18390412369535714,0.1810306217626172,0.0028735019327399552,0.18390412369535714,0.0,0.0,0.0
0,cfg_low,1,2,0.08866964724794901,0.08728418400969981,0.0013854632382492033,0.08866964724794901,0.0,0.0,0.0
0,cfg_low,1,3,0.17483348129123036,0.17210170814605488,0.0027317731451754743,0.17483348129123036,0.0,0.0,0.0
0,cfg_low,2,0,0.155782141870009,0.1509139499365712,0.004868191933437781,0.155782141870009,0.0,0.0,0.0
0,cfg_low,2,1,0.18398384546924826,0.17823435029833426,0.005749495170914008,0.18398384546924826,0.0,0.0,0.0
0,cfg_low,2,2,0.0870836343886615,0.08436227081401583,0.002721363574645672,0.0870836343886615,0.0,0.0,0.0
0,cfg_low,2,3,0.1789185197271726,0.17332731598569845,0.005591203741474144,0.1789185197271726,0.0,0.0,0.0
0,cfg_low,3,0,0.14811734961158038,0.14117434884853755,0.00694300076304283,0.14811734961158038,0.0,0.0,0.0
0,cfg_low,3,1,0.1801388161327663,0.1716948091265429,0.008444007006223421,0.1801388161327663,0.0,0.0,0.0
0,cfg_low,3,2,0.08709675381446859,0.08301409347941538,0.004082660335053215,0.08709675381446859,0.0,0.0,0.0
0,cfg_low,3,3,0.17251484785193863,0.164428214358879,0.008086633493059624,0.17251484785193863,0.0,0.0,0.0
0,cfg_low,4,0,0.13836547997925788,0.12971763748055426,0.008647842498703618,0.13836547997925788,0.0,0.0,0.0
0,cfg_low,4,1,0.17193648446758691,0.16119045418836273,0.010746030279224182,0.17193648446758691,0.0,0.0,0.0
0,cfg_low,4,2,0.08785355852556208,0.08236271111771445,0.00549084740784763,0.08785355852556208,0.0,0.0,0.0
0,cfg_low,4,3,0.15415980320987635,0.14452481550925908,0.009634987700617272,0.15415980320987635,0.0,0.0,0.0
0,cfg_low,5,0,0.12815373492692278,0.11814172438575694,0.010012010541165843,0.12815373492692278,0.0,0.0,0.0
0,cfg_low,5,1,0.15986161437543775,0.14737242575235668,0.012489188623081075,0.15986161437543775,0.0,0.0,0.0
0,cfg_low,5,2,0.0871700006461285,0.0803598443456497,0.006810156300478789,0.0871700006461285,0.0,0.0,0.0
0,cfg_low,5,3,0.13346611528081806,0.12303907502450415,0.010427040256313911,0.13346611528081806,0.0,0.0,0.0
0,cfg_low,6,0,0.11846688939511374,0.10736061851432183,0.011106270880791913,0.11846688939511374,0.0,0.0,0.0
0,cfg_low,6,1,0.14565734269550712,0.13200196681780332,0.013655375877703792,0.14565734269550712,0.0,0.0,0.0
0,cfg_low,6,2,0.08376770940226533,0.07591448664580296,0.007853222756462375,0.08376770940226533,0.0,0.0,0.0
0,cfg_low,6,3,0.11914681371275844,0.10797679992718734,0.011170013785571104,0.11914681371275844,0.0,0.0,0.0
0,cfg_low,7,0,0.11031142469961581,0.09824611262309534,0.012065312076520479,0.11031142469961581,0.0,0.0,0.0
0,cfg_low,7,1,0.13150164741444342,0.11711865472848867,0.014382992685954749,0.13150164741444342,0.0,0.0,0.0
0,cfg_low,7,2,0.07779645189855716,0.06928746497215248,0.008508986926404689,0.07779645189855716,0.0,0.0,0.0
0,cfg_low,7,3,0.11052956732942264,0.09844039590276704,0.0120891714266556,0.11052956732942264,0.0,0.0,0.0
0,cfg_low,8,0,0.1044091941290763,0.09135804486294176,0.013051149266134538,0.1044091941290763,0.0,0.0,0.0
0,cfg_low,8,1,0.1190593487441002,0.10417693015108767,0.014882418593012524,0.1190593487441002,0.0,0.0,0.0
0,cfg_low,8,2,0.07037466351295825,0.06157783057383847,0.008796832939119781,0.07037466351295825,0.0,0.0,0.0
0,cfg_low,8,3,0.1050870626729885,0.09195117983886493,0.013135882834123562,0.1050870626729885,0.0,0.0,0.0
0,cfg_low,9,0,0.10110991072071862,0.08689132952561757,0.014218581195101056,0.10110991072071862,0.0,0.0,0.0
0,cfg_low,9,1,0.10926424644203732,0.09389896178612582,0.015365284655911499,0.10926424644203732,0.0,0.0,0.0
0,cfg_low,9,2,0.06275817341580638,0.0539328052792086,0.008825368136597771,0.06275817341580638,0.0,0.0,0.0
0,cfg_low,9,3,0.10303821738967281,0.08854846806925007,0.014489749320422738,0.10303821738967281,0.0,0.0,0.0
0,cfg_low,10,0,0.10016023287526721,0.0845101964885067,0.0156500363867605,0.10016023287526721,0.0,0.0,0.0
0,cfg_low,10,1,0.10262045032975224,0.08658600496572845,0.016034445364023788,0.10262045032975224,0.0,0.0,0.0
0,cfg_low,10,2,0.05606666780651665,0.047306250961748425,0.008760416844768228,0.05606666780651665,0.0,0.0,0.0
0,cfg_low,10,3,0.10492592180481795,0.08853124652281515,0.016394675282002804,0.10492592180481795,0.0,0.0,0.0
0,cfg_low,11,0,0.10136933431055224,0.08394647997592608,0.017422854334626165,0.10136933431055224,0.0,0.0,0.0
0,cfg_low,11,1,0.09942032135217113,0.08233245361976672,0.017087867732404415,0.09942032135217113,0.0,0.0,0.0
0,cfg_low,11,2,0.05101268959769902,0.0422448835730945,0.00876780602460452,0.05101268959769902,0.0,0.0,0.0
0,cfg_low,11,3,0.1106329980453551,0.09161795150630969,0.01901504653904541,0.1106329980453551,0.0,0.0,0.0
0,cfg_low,12,0,0.10434478625806985,0.08478013883468176,0.019564647423388096,0.10434478625806985,0.0,0.0,0.0
0,cfg_low,12,1,0.09986260581990054,0.0811383672286692,0.018724238591231353,0.09986260581990054,0.0,0.0,0.0
0,cfg_low,12,2,0.04793310385612257,0.038945646883099594,0.008987456973022983,0.04793310385612257,0.0,0.0,0.0
0,cfg_low,12,3,0.12038598852559594,0.0978136156770467,0.022572372848549238,0.12038598852559594,0.0,0.0,0.0
