start,method,k,suffix,index,resnet_p,resnet_top1,resnet_prediction,convnext_p,convnext_top1,convnext_prediction
0,conditional,64,guided,0,0.13852031528949738,0.0,269.0,0.17253606021404266,0.0,271.0
0,conditional,64,guided,1,0.10093279927968979,0.0,891.0,0.10925501585006714,0.0,891.0
0,conditional,64,guided,2,5.637094363919459e-05,0.0,283.0,0.0006593692814931273,0.0,332.0
0,conditional,64,guided,3,0.2631881833076477,1.0,331.0,0.3226703405380249,1.0,331.0
0,conditional,16,null,0,4.7869518311927095e-05,0.0,235.0,0.0005727752577513456,0.0,169.0
0,conditional,16,null,1,5.905939906369895e-05,0.0,784.0,0.0003675210755318403,0.0,618.0
0,conditional,16,null,2,8.708352083885984e-07,0.0,281.0,9.453811799176037e-05,0.0,283.0
0,conditional,16,null,3,6.573247501862056e-10,0.0,128.0,0.00042631637188605964,0.0,128.0
0,conditional,32,null,0,0.046340152621269226,0.0,269.0,0.09030067920684814,0.0,271.0
0,conditional,32,null,1,0.002228032797574997,0.0,822.0,0.0004845350922551006,0.0,599.0
0,conditional,32,null,2,7.817214282113127e-06,0.0,283.0,9.697442874312401e-05,0.0,283.0
0,conditional,32,null,3,0.0028133296873420477,0.0,277.0,0.007357379421591759,0.0,335.0
0,conditional,32,conditional,0,0.13852031528949738,0.0,269.0,0.17253606021404266,0.0,271.0
0,conditional,32,conditional,1,0.10093279927968979,0.0,891.0,0.10925501585006714,0.0,891.0
0,conditional,32,conditional,2,5.637094363919459e-05,0.0,283.0,0.0006593692814931273,0.0,332.0
0,conditional,32,conditional,3,0.2631881833076477,1.0,331.0,0.3226703405380249,1.0,331.0
0,conditional,48,null,0,0.10975776612758636,0.0,269.0,0.15641243755817413,0.0,271.0
0,conditional,48,null,1,0.07885467261075974,0.0,891.0,0.07801374047994614,0.0,891.0
0,conditional,48,null,2,3.136419036309235e-05,0.0,283.0,0.00034335459349676967,0.0,332.0
0,conditional,48,null,3,0.18126307427883148,1.0,331.0,0.1435849368572235,0.0,335.0
4,conditional,64,guided,4,0.9309390783309937,1.0,882.0,0.23402702808380127,1.0,882.0
