batch_start,batch_size,inverse_maximum_iterations,inverse_maximum_relative_residual,signal_rms,second_increment_rms,inverse_noise_shift_rms,inverse_noise_shift_to_noise,null_noise_cycle_rms,null_switch_cycle_rms,guided_switch_cycle_rms,guided_cycle_to_signal,guided_cycle_to_second_increment
24,8,3,0.0009554657153785229,0.20456567406654358,0.11007150262594223,0.11233733594417572,0.11240383982658386,0.002056897385045886,0.015443027019500732,0.00283287325873971,0.014809106476604939,0.025708027184009552
56,8,3,0.0009989553363993764,0.19783775508403778,0.1311500370502472,0.11198621243238449,0.11201030761003494,0.0020354092121124268,0.019589848816394806,0.00470362976193428,0.024053648114204407,0.03809553384780884
88,8,3,0.0009184872615151107,0.22966808080673218,0.11876742541790009,0.1102164089679718,0.11029079556465149,0.0020331358537077904,0.022482600063085556,0.0027849609032273293,0.01281872857362032,0.023262187838554382
120,8,3,0.0009667841950431466,0.23872825503349304,0.14789944887161255,0.11122699081897736,0.1112891435623169,0.0020624103490263224,0.060627084225416183,0.021666113287210464,0.08662782609462738,0.10892130434513092
152,8,3,0.0009709433652460575,0.22003594040870667,0.13305020332336426,0.11074933409690857,0.11073984205722809,0.002073604380711913,0.02406872808933258,0.003581573721021414,0.018528476357460022,0.025699416175484657
184,8,3,0.0009623093064874411,0.22028683125972748,0.17388714849948883,0.10800535976886749,0.10809646546840668,0.002011945703998208,0.04271261766552925,0.03508324176073074,0.13247939944267273,0.16853724420070648
216,8,3,0.0009304358391091228,0.17864838242530823,0.13901618123054504,0.1061437577009201,0.10615631192922592,0.0020093251951038837,0.044467829167842865,0.00814900640398264,0.04387799650430679,0.05247080326080322
248,8,3,0.0009495366830378771,0.21118034422397614,0.10517580807209015,0.1086651086807251,0.10866858065128326,0.0020205779001116753,0.014463452622294426,0.0024944846518337727,0.012584015727043152,0.023577682673931122
280,8,3,0.0009818273829296231,0.18354421854019165,0.12711705267429352,0.10963559150695801,0.1096055805683136,0.0020298773888498545,0.017294177785515785,0.006917022168636322,0.03844095394015312,0.047658517956733704
312,8,3,0.0009601933998055756,0.25002560019493103,0.17085154354572296,0.11226572096347809,0.11234527081251144,0.0020045721903443336,0.025659039616584778,0.008144309744238853,0.03023829497396946,0.045698702335357666
344,8,3,0.0009719005902297795,0.17055290937423706,0.10840338468551636,0.10877376794815063,0.10883072018623352,0.0020198614802211523,0.01800365559756756,0.0025507169775664806,0.015414206311106682,0.023193955421447754
376,8,3,0.0009041925077326596,0.2063683271408081,0.14194226264953613,0.10905224084854126,0.10904611647129059,0.002041142899543047,0.03330746665596962,0.009731377474963665,0.04200098663568497,0.07259112596511841
408,8,3,0.0009698853245936334,0.241195410490036,0.1378849446773529,0.11995339393615723,0.11997797340154648,0.0020456546917557716,0.021059373393654823,0.016894986853003502,0.07531467080116272,0.10894504189491272
440,8,3,0.0009797506500035524,0.25913888216018677,0.14021866023540497,0.12157739698886871,0.12155549973249435,0.002017456339672208,0.024068530648946762,0.002666303887963295,0.010513223707675934,0.018884163349866867
472,8,3,0.0009310650639235973,0.268245667219162,0.1716701090335846,0.12271662056446075,0.12266340851783752,0.002062132814899087,0.03236723318696022,0.0045667351223528385,0.015325343236327171,0.02725118026137352
504,8,3,0.0009559557656757534,0.25851452350616455,0.17579224705696106,0.12324906885623932,0.12320861220359802,0.0020473296754062176,0.04749833047389984,0.019220316782593727,0.0826517790555954,0.08666573464870453
