condition,reference_condition,paired_feature_shift_rms_mean,paired_feature_shift_rms_median,paired_feature_shift_rms_q05,paired_feature_shift_rms_q95,shift_cosine_with_time_only_mean,shift_cosine_with_projected_mean
time_only,ordinary_ig,0.22472588805108973,0.2211860664714026,0.07368404667498589,0.3916914877826783,1.0,0.9552275070076658
projected_temporal_parallel,ordinary_ig,0.22204632701728025,0.21748712645420193,0.07068094418667738,0.3944427685422826,0.9703521900472466,0.9667275991985192
projected_temporal_orthogonal,ordinary_ig,0.22634147608163308,0.2221537813181128,0.07586108357040722,0.39013072372299484,0.9702935011411208,0.9711685171431238
projected,ordinary_ig,0.22413130086127103,0.2193187934528286,0.07298758314018773,0.39325093088559965,0.9552275070076658,1.0
