context,time,sample_id,cosine,projection_coefficient,positive_coefficient,reference_rms,difference_rms,difference_over_reference_rms,parallel_energy_fraction,orthogonal_energy_fraction,predicted_residual_energy_fraction,dot,reference_energy,difference_energy
teacher,0.02,4746,0.5408580292425926,0.5506240482862866,1.0,0.09951491943126131,0.10131181352500039,1.0180565296541315,0.29252743365219813,0.7074725927105674,0.734062551169541,22.33528582610784,40.56358579982512,42.04168626063135
teacher,0.02,182,0.4208732566617176,0.42772463203585326,1.0,0.08646340934792136,0.08787094300370386,1.0162789515981114,0.17713429608768277,0.8228657012803768,0.824665049478349,13.097515522488207,30.621373055247215,31.626455549379273
teacher,0.02,2501,0.5181315733948709,0.5328924545239694,1.0,0.11400928786905681,0.11725726122613651,1.0284886733158978,0.26846033863363755,0.7315396738836626,0.75232461876765,28.371348915079178,53.240290182797175,56.31699071080209
teacher,0.02,253,0.36035260418203957,0.3892315827340551,1.0,0.1035349843696682,0.11183237020314052,1.0801408903858698,0.12985400591160037,0.8701460018755145,0.8701642657457137,17.090007949280125,43.907043280598785,51.226538087433305
teacher,0.02,2698,0.36343625917161715,0.40310931854911186,1.0,0.09604239374263158,0.10652647587134649,1.1091609831884188,0.1320859105895636,0.8679140841086813,0.8681921017542341,15.230309794887715,37.78208315725692,46.480957692184845
teacher,0.02,3707,0.6540321565056159,0.7622757794641927,1.0,0.10352744451968311,0.12066144253336843,1.1655019892858238,0.42775803482660796,0.572241939177456,0.6772389246697811,33.46440107330686,43.90064852490676,59.634416493499884
teacher,0.02,3533,0.4837114170849768,0.4342075659998096,1.0,0.11419489136886811,0.1025079914997708,0.8976582951390819,0.23397672727706514,0.7660232636360972,0.769075404109225,23.19266666111493,53.41377828760612,43.040310564114776
teacher,0.02,4496,0.4604887081901741,0.4595151680606129,1.0,0.07919176410716677,0.07902434119555601,0.9978858545014329,0.21204983738166186,0.7879501504254043,0.7935839219742283,11.803745432994567,25.687390217851483,25.578891269700208
teacher,0.02,254,0.3097893489803283,0.30428263604102745,1.0,0.107056280332521,0.10515328332477705,0.9822243309609379,0.09596944019032037,0.9040305555750977,0.9107196004126155,14.284380738437463,46.94444916177028,45.2903444233455
teacher,0.02,3445,0.4902023979888217,0.5618291491006995,1.0,0.08544087058285146,0.09792520765898224,1.1461166885469034,0.24029839153991245,0.7597016083015248,0.7836092767385181,16.799468641397908,29.901383130954024,39.27796242454444
teacher,0.02,938,0.5059502859751565,0.5901630942619387,1.0,0.0985532942406023,0.1149569803417348,1.166444827923108,0.25598570644361013,0.7440143099423459,0.7750668294395591,23.47871297304672,39.78343139604372,54.12907962077184
teacher,0.02,4010,0.4911804231328079,0.4619294764351358,1.0,0.09301329668094768,0.08747413661826432,0.9404476536114651,0.2412582019979937,0.7587417929931412,0.7655002555862299,16.369133811003213,35.43643488033994,31.34146386784572
teacher,0.02,3696,0.48205669579246274,0.33025345043554455,1.0,0.16763405283946456,0.11484484054249534,0.6850925489016064,0.23237866038096006,0.7676213432468021,0.7739177281172395,38.012969888850236,115.10241554999048,54.02352598725093
teacher,0.02,2283,0.3749609528984055,0.4010344778945774,1.0,0.0897115135478066,0.09594975081718682,1.0695366405345053,0.14059571348896166,0.8594042835709456,0.859639952924801,13.220200056180104,32.965245595804824,37.709228776981476
teacher,0.02,3632,0.5208360777845346,0.6069214780140884,1.0,0.0776958264486497,0.09053763330743826,1.1652830975068642,0.2712702342757232,0.7287297809698808,0.7651246208674233,15.006791063884965,24.72608336911849,33.575170231960186
teacher,0.02,372,0.480637919837119,0.5702844894769246,1.0,0.0810223071290116,0.09613424815289105,1.1865158073049777,0.23101280744558716,0.7689871892582052,0.7934739962143166,15.334185728427624,26.888659978272287,37.85438686380702
strong_rollout,0.02,4746,0.5454233816984241,0.554197434718274,1.0,0.10038432734356786,0.10199917819160399,1.0160866829590764,0.2974866606760545,0.7025133337258045,0.7303680150509737,22.874746273315615,41.27544596979952,42.61409731281954
strong_rollout,0.02,182,0.4104915677997018,0.4194159352907343,1.0,0.08617003400739065,0.08804342949348737,1.0217406840751164,0.168503315974666,0.8314966737481447,0.8326567596869145,12.756084976051147,30.413925420379595,31.750739873688293
strong_rollout,0.02,2501,0.5296341669179262,0.552973976252127,1.0,0.1144406425319415,0.11948378918602218,1.0440677939454341,0.280512360447017,0.7194876487404582,0.7454900320295944,29.66369289221032,53.64392207615434,58.476035597311146
strong_rollout,0.02,253,0.3569355540942161,0.3848525998821638,1.0,0.10437494527414687,0.11253843611418732,1.0782131269012747,0.12740298219963897,0.8725970127649149,0.8725970603946489,17.17302864465837,44.62235320721881,51.87542877399868
strong_rollout,0.02,2698,0.34757092969692793,0.38604118631509055,1.0,0.09541925822533998,0.10598056539059797,1.1106831824275625,0.1208055563166603,0.8791944496153447,0.8791960950986741,14.39678973109201,37.293403505762754,46.00578146513229
strong_rollout,0.02,3707,0.6565024322538515,0.7671967669037344,1.0,0.10315242379243257,0.12054518329832713,1.168612223217294,0.4309954509832152,0.5690045564992279,0.6761828392390089,33.43686765268586,43.58317070030279,59.519554422486166
strong_rollout,0.02,3533,0.4489864037347965,0.4161378807275704,1.0,0.10941447727628545,0.10140954896612527,0.9268384905779267,0.20158878448217335,0.798411207792515,0.799567938536771,20.405478291160193,49.035378022984844,42.12284056171708
strong_rollout,0.02,4496,0.45374099160407566,0.45098302077637176,1.0,0.07974908476307715,0.079264346435744,0.9939217067033027,0.20588088464373608,0.7941191124668939,0.7985778123241077,11.748206036264953,26.05021806816651,25.734498778667593
strong_rollout,0.02,254,0.31033840103831073,0.3053679972153695,1.0,0.10740127750797153,0.10568113034433228,0.9839839226911283,0.09630992879197003,0.9036900777618158,0.9101763330947701,14.427874736935784,47.247500944770294,45.746181369265145
strong_rollout,0.02,3445,0.48715225104784393,0.5561591982308147,1.0,0.0854408673699583,0.09754388733791258,1.1416537582132482,0.2373173151295681,0.7626826848192039,0.7852604642424218,16.629928017409966,29.90138088214858,38.972661583836704
strong_rollout,0.02,938,0.5240950745758455,0.6134550548240599,1.0,0.09902769077625347,0.11591224650109777,1.1705033773128553,0.2746756496536218,0.725324353622723,0.7635466916351906,24.640867934022566,40.16735658179492,55.03241784906241
strong_rollout,0.02,4010,0.49252436794726434,0.47014962241599445,1.0,0.09318702333988685,0.08895365729804722,0.9545712923311327,0.24258026739614433,0.7574197489242108,0.7654487786250298,16.722720007092857,35.56893212241353,32.410636888876766
strong_rollout,0.02,3696,0.4966621896397864,0.31933024161595663,1.0,0.1882513104780074,0.12103666780646545,0.642952590869776,0.24667333589194346,0.753326670617663,0.763636958924976,46.352804319271684,145.15632495283052,60.00588781032517
strong_rollout,0.02,2283,0.39983036305900815,0.41216451075448973,1.0,0.08915426500023597,0.09190453604964281,1.0308484518312113,0.15986431792722586,0.8401356802666358,0.8408498902681616,13.418834303532147,32.5569862358315,34.59663358566439
strong_rollout,0.02,3632,0.5217523303528802,0.6110107232187295,1.0,0.07731390661448417,0.09054032583511684,1.1710742581743347,0.27222549971299187,0.7277745055301694,0.7651482046402699,14.959739013980437,24.48359487894806,33.577167267140105
strong_rollout,0.02,372,0.47567603843618805,0.5570179979781422,1.0,0.08032247747882752,0.09405785026504533,1.1710028527175145,0.22626768103890246,0.7737323056049601,0.7954079385053273,14.719849405915717,26.426164790627347,36.236817188789
teacher,0.05,4746,0.6036795833050641,0.610609066215244,1.0,0.11127445455113774,0.11255174543934399,1.011478743197247,0.3644290254068787,0.6355709614840249,0.6854914768515924,30.96807032506535,50.71668934923559,51.88769956431008
