context,time,samples,global_projection_coefficient,global_cosine,global_residual_energy_fraction,cosine_mean,cosine_median,cosine_q10,cosine_q90,projection_coefficient_mean,projection_coefficient_median,projection_coefficient_q10,projection_coefficient_q90,positive_coefficient_mean,positive_coefficient_median,positive_coefficient_q10,positive_coefficient_q90,reference_rms_mean,reference_rms_median,reference_rms_q10,reference_rms_q90,difference_rms_mean,difference_rms_median,difference_rms_q10,difference_rms_q90,difference_over_reference_rms_mean,difference_over_reference_rms_median,difference_over_reference_rms_q10,difference_over_reference_rms_q90,parallel_energy_fraction_mean,parallel_energy_fraction_median,parallel_energy_fraction_q10,parallel_energy_fraction_q90,orthogonal_energy_fraction_mean,orthogonal_energy_fraction_median,orthogonal_energy_fraction_q10,orthogonal_energy_fraction_q90,predicted_residual_energy_fraction_mean,predicted_residual_energy_fraction_median,predicted_residual_energy_fraction_q10,predicted_residual_energy_fraction_q90
strong_rollout,0.02,512,0.5127331766945223,0.4955590511525426,0.7544212268207917,0.49418102535187614,0.49910321487464476,0.3791471147961519,0.5967604997172277,0.5200126402113263,0.5285153769154551,0.3838415801270916,0.6475940710787262,1.0,1.0,1.0,1.0,0.09880162135586906,0.09601310743892438,0.08269734148845492,0.11498760112774169,0.1029604128985919,0.10168739937086699,0.08734549580590864,0.11883310938559632,1.0519870367730695,1.0582276740150829,0.9425227886585615,1.1618749540928577,0.25189778716785793,0.24910411515914166,0.1437530336572737,0.35612306578216985,0.7481022125237158,0.7508958809475503,0.6438769011181404,0.8562469611386149,0.7730809945906552,0.768739128065197,0.6991055067870074,0.8571102847659158
strong_rollout,0.05,512,0.5327995860755818,0.5398146700796562,0.7086001219667918,0.543499618088739,0.5463050501556135,0.4484357028648009,0.6302899443026146,0.5602784658079765,0.5713083654245552,0.436870867159806,0.6730525984744711,1.0,1.0,1.0,1.0,0.11749481581756013,0.1096455290192977,0.09262407432769085,0.14428036181805076,0.11862688323766135,0.11573079452116639,0.09826389263779546,0.14124116341074652,1.0324588893693436,1.0415812261281412,0.8884055433126189,1.1592424861109352,0.30079775672397224,0.29844919407526915,0.2010946848746903,0.3972656198012507,0.699202244020378,0.7015507923791429,0.6027343867546571,0.798905299065639,0.734299255379121,0.7328962331738598,0.6559352677057936,0.8097775878180188
strong_rollout,0.1,512,0.5331273829284731,0.5638922025029142,0.6820255839564124,0.5675763685671738,0.5698082345616273,0.4689068892666718,0.6558725290608483,0.568369382109714,0.5725031475409018,0.44826539346141936,0.6824158411573926,1.0,1.0,1.0,1.0,0.14567633134920477,0.13317566640642942,0.10967148248877176,0.19361061587730602,0.1419966532348233,0.1373212098799198,0.1118736659122168,0.17477210413302138,1.0033360496919248,1.0150585204764246,0.8422204764822886,1.1395228124416334,0.327636324322238,0.32468144992409403,0.21987375662939054,0.4301688101246163,0.6723636755433956,0.6753185520140337,0.5698311918174962,0.7801262559741539,0.7125568994043856,0.7132155920486797,0.6336222171666873,0.7921114154501423
strong_rollout,0.2,512,0.4611488039619325,0.5579953872436879,0.6886411478147667,0.565512196924804,0.5734420198601184,0.4742072788013638,0.651865638829498,0.5075354856586358,0.5155554628391049,0.36594480912662847,0.6360942058351897,1.0,1.0,1.0,1.0,0.1943760044773723,0.17678361997275588,0.13260421304098377,0.2817789273201223,0.16643000573605088,0.16366238065376504,0.13073626935969163,0.20613235444944403,0.8962670764781717,0.9121528294130832,0.6911157915781001,1.065560830730829,0.3252292215429872,0.32883578930334734,0.22487258645890268,0.4249287787173444,0.6747707775013099,0.6711642156019729,0.5750711890844563,0.7751274075909106,0.7034327360692357,0.6979273631318373,0.6191039627364657,0.784324861165306
strong_rollout,0.4,512,0.464424491184408,0.5771537642363812,0.6668935324277757,0.5803342561013156,0.5847982776884353,0.5041385258126878,0.6535893257550881,0.481560123304961,0.48045286740088244,0.3777326490383855,0.581281520394506,1.0,1.0,1.0,1.0,0.30597400630231664,0.3003195648709137,0.23331073149591613,0.39170652348794827,0.24872474406637518,0.2450572106254096,0.20963649472743684,0.2930852837223292,0.8274120210529381,0.8211267280647032,0.7048177950341583,0.9550983463364172,0.3403094392943765,0.3419891442295189,0.25415565159658093,0.4271795082297938,0.659690560920611,0.6580108569757861,0.5728205049313033,0.7458443474909037,0.6800738896490953,0.6738622495937976,0.6145952602563423,0.7523999947991157
strong_rollout,0.6,512,0.41771023510752087,0.5657886831218202,0.6798831660512765,0.5655293683392274,0.568415825789027,0.5121115410764316,0.6155462590224067,0.4224455179094154,0.42331590789545803,0.35759210602822933,0.4846802828610522,1.0,1.0,1.0,1.0,0.4358836969467193,0.43331020489667904,0.35696668004655885,0.5177396386023962,0.3228205520505871,0.3200190786111332,0.27939840640427943,0.36948556583300823,0.7458757376555727,0.7467696424120227,0.6675248681943561,0.8273971665071526,0.3215096762865879,0.32309655560321743,0.26225848801288815,0.378897245474172,0.6784903238216371,0.6769034496696468,0.6211027404846433,0.7377415195117192,0.6851912499717105,0.681050274313087,0.6346302634801962,0.7405405402276768
strong_rollout,0.8,512,0.3123479106273494,0.5079572844572455,0.7419793971668209,0.5069931188775333,0.5092248430772801,0.4647022636320376,0.5465571002241717,0.31611061656111833,0.3167653511956583,0.2793465571520262,0.35667177335829536,1.0,1.0,1.0,1.0,0.4887612138363241,0.4865129502901959,0.40749796823556134,0.5762793647411366,0.3021375875704999,0.3010368253960528,0.26930115713153363,0.3373123181422975,0.6239668559540602,0.6212506461790874,0.556175671710637,0.6951211578081676,0.2580626928578612,0.2593099324436958,0.215948257955814,0.29872468991770906,0.7419373070834203,0.7406900566362142,0.7012753295911491,0.7840517390412145,0.7587765001389415,0.7543506002475754,0.7091952265133247,0.8108004386869453
strong_rollout,0.9,512,0.2929024457540756,0.4524227261560982,0.7953136768574841,0.45371434868231486,0.45567794916371085,0.412250799988016,0.4907200929560822,0.30560613390856284,0.30575270539428956,0.25853036687764624,0.35551044768084217,1.0,1.0,1.0,1.0,0.39201336650650576,0.38082341823140886,0.30284524790300604,0.48933169062448695,0.25815476584028596,0.25769614891766557,0.2339296947541595,0.28237618888827815,0.6760530819668562,0.6715718926476018,0.5550876891194869,0.7974691942524847,0.20685310905500684,0.2076424060960128,0.16995074762355003,0.2408062257164879,0.7931468911342544,0.7923576059357429,0.7591937903822198,0.8300492615537713,0.8160322481700644,0.8094542775317659,0.7723460001048666,0.8622469471123563
strong_rollout,0.95,512,0.3339307450803989,0.41664363728796866,0.8264080795074515,0.4225823980566765,0.4248722549684074,0.38077192566936496,0.45865107503018054,0.3605442024323394,0.36609758011287447,0.2943949319020573,0.4257075810309802,1.0,1.0,1.0,1.0,0.2816231563964042,0.264411334965549,0.21637649228395572,0.35631294045890266,0.23223052664724514,0.23188646175432348,0.2134174746897727,0.25198076845169853,0.8561505825401201,0.8734737501267156,0.6865088613436534,1.0112115751202975,0.17961845050465622,0.1805164486337521,0.1449872554918359,0.21036081172615773,0.8203815494605947,0.8194835541218548,0.7896391918288367,0.8550127336434962,0.8303695769197799,0.8236548065483038,0.7931372578669926,0.8708470390164759
teacher,0.02,512,0.5159051718439277,0.49584716472632856,0.7541355892328613,0.4943414282260626,0.4994622967789131,0.37791701056292304,0.5972012849062104,0.5212398289365108,0.5280460845849394,0.38367844280117425,0.6446644978809416,1.0,1.0,1.0,1.0,0.0983011344408809,0.09590640819693404,0.08315630928502943,0.11440680488530683,0.1028266590004446,0.10151798396540834,0.0872159087376149,0.11839577664667146,1.0545315362218992,1.0602451636263175,0.9375545870191209,1.1660654108956017,0.25213327298791155,0.24946261823130783,0.14282141999618977,0.35664952157829416,0.7478667273565839,0.7505374002318453,0.6433504671777855,0.8571785775674171,0.7730464028150159,0.7692432063392544,0.6969537075080994,0.8605034951474732
