query,time,gamma_mean,gamma_median,horizon_mean,horizon_median,query_shift_rms_mean,query_shift_rms_median,query_shift_projected_cosine_mean,query_shift_projected_cosine_median,weak_revision_rms_mean,weak_revision_rms_median,gap_rms_mean,gap_rms_median,persistent_gap_rms_mean,persistent_gap_rms_median,weak_revision_gap_cosine_mean,weak_revision_gap_cosine_median,persistent_revision_cosine_mean,persistent_revision_cosine_median,projection_identity_ratio_mean,projection_identity_ratio_median,gap_distance_change_fraction_mean,gap_distance_change_fraction_median,weak_revision_projected_cosine_mean,weak_revision_projected_cosine_median,correction_projected_cosine_mean,correction_projected_cosine_median,temporal_response_rms_mean,temporal_response_rms_median,positive_spatial_response_rms_mean,positive_spatial_response_rms_median,spatial_odd_rms_mean,spatial_odd_rms_median,spatial_even_rms_mean,spatial_even_rms_median,odd_fraction_of_positive_spatial_mean,odd_fraction_of_positive_spatial_median,even_fraction_of_positive_spatial_mean,even_fraction_of_positive_spatial_median,temporal_spatial_cosine_mean,temporal_spatial_cosine_median,spatial_secant_work_mean,spatial_secant_work_median,spatial_secant_curvature_mean,spatial_secant_curvature_median,spatial_secant_positive_mean,spatial_secant_positive_median,spatial_correction_shift_cosine_mean,spatial_correction_shift_cosine_median,temporal_correction_guided_cosine_mean,temporal_correction_guided_cosine_median,spatial_correction_guided_cosine_mean,spatial_correction_guided_cosine_median,weak_log_density_shift_positive_per_dim_mean,weak_log_density_shift_positive_per_dim_median,weak_log_density_shift_negative_per_dim_mean,weak_log_density_shift_negative_per_dim_median,weak_density_increases_positive_mean,weak_density_increases_positive_median,weak_density_increases_negative_mean,weak_density_increases_negative_median,controlled_weak_log_density_shift_per_dim_mean,controlled_weak_log_density_shift_per_dim_median,controlled_weak_density_increases_mean,controlled_weak_density_increases_median,spatial_temporal_coefficient_mean,spatial_temporal_coefficient_median,spatial_parallel_rms_mean,spatial_parallel_rms_median,spatial_orthogonal_rms_mean,spatial_orthogonal_rms_median,spatial_parallel_energy_fraction_mean,spatial_parallel_energy_fraction_median,naive_cycle_error_rms_mean,naive_cycle_error_rms_median,compensated_cycle_error_rms_mean,compensated_cycle_error_rms_median,cycle_error_ratio_mean,cycle_error_ratio_median
anti_projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,-0.9531249767169356,-1.0,0.07759317386080511,0.0738556869328022,0.11404502228833735,0.10903734341263771,0.14439957472495735,0.1362127885222435,-0.0942791411143844,-0.10604335740208626,-0.6064093949971721,-0.6214378476142883,-0.12689759752993268,-0.15458739548921585,0.6264357251913566,0.5998496413230896,0.9915904044173658,0.999061793088913,0.9915903978981078,0.9990617334842682,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,-0.001531121777475164,-0.0013744300813414156,0.0,0.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
donor_projected,0.05,0.6,0.6,0.03125,0.03125,0.0013905748261606732,0.0012474014656618237,0.013046537600530428,0.008194724097847939,0.07610378309618682,0.07344802469015121,0.11404502228833735,0.10903734341263771,0.1429777515004389,0.13631892204284668,-0.09050420031417161,-0.10607832297682762,-0.5992016029777005,-0.6194187104701996,-0.1229698427432595,-0.15006934851408005,0.6039364722382743,0.5979205369949341,0.9965767539106309,0.9995532333850861,0.9965767501853406,0.9995531439781189,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,-1.2367958035497395e-07,0.0,0.4140625,0.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
orthogonal_projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170880982557,0.0012802499695681036,-3.0377123039215803e-10,0.0,0.07631340451189317,0.07365497574210167,0.11404502228833735,0.10903734341263771,0.14314793952507898,0.13627340644598007,-0.09112362185987877,-0.10388762503862381,-0.6003387588425539,-0.6214526891708374,-0.12417936489737258,-0.14751630276441574,0.6071894219385285,0.5977037847042084,0.9964604256674647,0.9995470941066742,0.9964604182168841,0.9995471239089966,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,-1.3961023596631428e-06,2.100621259160107e-07,0.546875,1.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,0.9531249767169356,1.0,0.0750337433128152,0.07299027591943741,0.11404502228833735,0.10903734341263771,0.14159211778314784,0.13632939010858536,-0.08391279021816445,-0.10641052201390266,-0.5908894230960868,-0.6157196462154388,-0.11435171125390298,-0.149989552795887,0.5855542300123489,0.5900781750679016,0.999999993480742,1.0,0.9999999906867743,1.0,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,0.0015271067355513424,0.001372586702927947,0.953125,1.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
state_only,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,0.9531249767169356,1.0,0.0036220736013774513,0.0015900990110822022,0.11404502228833735,0.10903734341263771,0.11324520979542285,0.10902535915374756,-0.03678203271010716,-0.06517599523067474,-0.05947845995797252,-0.07552284374833107,-4.811902687419206,-4.418563604354858,-0.006304066608031178,0.0013839636812917888,-0.22212622468941845,-0.2200569584965706,-0.22212622805091087,-0.22005695104599,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,0.001425590371184171,0.0012831618660129607,0.953125,1.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
time_only,0.05,0.6,0.6,0.03125,0.03125,0.0,0.0,0.0,0.0,0.07612175671965815,0.0735783502459526,0.11404502228833735,0.10903734341263771,0.14292280172230676,0.13627541810274124,-0.0898843589820899,-0.1043691635131836,-0.598960614646785,-0.6199355721473694,-0.12234840696260108,-0.15005458146333694,0.6041923470183974,0.5985311269760132,0.9973951629363,0.9997565150260925,0.9973951573483646,0.9997565448284149,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.009378126032376644,0.003297241171821952,0.5135467362106283,0.7344127595424652,0.8359375,1.0,0.4105045859141683,0.4462050050497055,-0.3698721586551983,-0.38101211190223694,0.41050468242610805,0.44620515406131744,0.0015271067355513424,0.001372586702927947,-0.001531121777475164,-0.0013744300813414156,0.953125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
anti_projected,0.1,0.6,0.6,0.03125,0.03125,0.0013174346067472698,0.0004960888327332214,-0.7265624864958227,-0.9999999403953552,0.05736336519476026,0.04973766952753067,0.141678235726431,0.1322169378399849,0.15883822669275105,0.14493496716022491,-0.09767711404856527,-0.10290933772921562,-0.44245666393544525,-0.4555223882198334,-0.2517409311658412,-0.26963137090206146,0.2606484933385218,0.24407195299863815,0.9843362024985254,0.9995580315589905,0.9843361966777593,0.9995580315589905,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,-0.001280944244768989,-0.000554877711692825,0.0,0.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
donor_projected,0.1,0.6,0.6,0.03125,0.03125,0.0008938896384051986,6.690790542052127e-05,0.009433866922336165,0.0,0.05471318049239926,0.049008533358573914,0.141678235726431,0.1322169378399849,0.1567653496749699,0.14456981420516968,-0.08689031453832285,-0.0997019074857235,-0.42510764810140245,-0.44223569333553314,-0.21992838735241094,-0.2496238574385643,0.23787260100425556,0.2317025139927864,0.9932261947542429,0.9997982680797577,0.9932261845096946,0.9997982680797577,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,7.89442938131657e-07,0.0,0.21875,0.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
orthogonal_projected,0.1,0.6,0.6,0.03125,0.03125,0.00131743460408984,0.0004960888472851366,-6.548361852765083e-11,0.0,0.05504585010930896,0.04893353208899498,0.141678235726431,0.1322169378399849,0.15700785955414176,0.14476558566093445,-0.08784049655514536,-0.09718292951583862,-0.42653983720811084,-0.4440823644399643,-0.21914330928120762,-0.2305658608675003,0.24104631470981985,0.23512578755617142,0.9927116245962679,0.9997749030590057,0.9927116045728326,0.9997749030590057,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,-2.331247868303521e-06,0.0,0.328125,0.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
projected,0.1,0.6,0.6,0.03125,0.03125,0.0013174346067472698,0.0004960888327332214,0.7265624864958227,0.9999999403953552,0.05283295037224889,0.04764150455594063,0.141678235726431,0.1322169378399849,0.15503403736511245,0.14422111213207245,-0.07272304910293315,-0.09377177804708481,-0.4053360453544883,-0.4376024156808853,-0.15975939803411165,-0.23029714822769165,0.22027716039792722,0.22072464227676392,1.0000000018626451,1.0,0.9999999850988388,1.0,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,0.0012740200860434925,0.000554576312424615,0.7265625,1.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
state_only,0.1,0.6,0.6,0.03125,0.03125,0.0013174346067472698,0.0004960888327332214,0.7265624864958227,0.9999999403953552,0.0038235314635812756,0.0009227641858160496,0.141678235726431,0.1322169378399849,0.14074163447367027,0.13222545385360718,0.07597445967621752,0.0,0.057630541727121454,0.0,3.6325354678556323,0.0,-0.0075953986145478325,0.0,-0.3101637994259363,-0.31217043101787567,-0.31016379353241064,-0.3121704161167145,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,0.0011841223874569096,0.0005185049085412174,0.7265625,1.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
time_only,0.1,0.6,0.6,0.03125,0.03125,0.0,0.0,0.0,0.0,0.054812345071695745,0.049134474247694016,0.141678235726431,0.1322169378399849,0.15683447051560506,0.1445561647415161,-0.08688121116574621,-0.09718292951583862,-0.4254429482971318,-0.4447029083967209,-0.21786238964523363,-0.25245971977710724,0.2390988765819202,0.23503518104553223,0.9943172903731465,0.9998771846294403,0.9943172726780176,0.9998770952224731,0.054812345071695745,0.049134474247694016,0.003677272099480433,0.0008926037407945842,0.003681991046676103,0.000844796682940796,0.00024878769954739255,0.0002676558360690251,0.6824340196326375,0.9497188925743103,0.17859276905073784,0.07182944566011429,-0.342557366238907,-0.3269519954919815,-0.023346242184108412,0.00012613788567250594,0.21880125887400936,0.31808866560459137,0.5859375,1.0,0.15600252030708361,0.11669282987713814,-0.14057991955269244,-0.179545596241951,0.15600241372158052,0.11669380962848663,0.0012740200860434925,0.000554576312424615,-0.001280944244768989,-0.000554877711692825,0.7265625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03007931367233141,-0.007398459129035473,0.0023133353409576785,0.0003154164442094043,0.00258608576223196,0.0007968458812683821,0.19778924414276844,0.10694832354784012,0.08453272242331877,0.07622640952467918,0.002244723161604994,0.0008042940753512084,0.01902487982902501,0.011066934559494257
anti_projected,0.15,0.6,0.6,0.03125,0.03125,0.002508565363314119,0.0013702925643883646,-0.8828124920837581,-1.0,0.05493505382037256,0.04763432592153549,0.1711104440037161,0.15309840440750122,0.18450187775306404,0.16473601013422012,-0.08115374807675835,-0.0831238143146038,-0.3746915186929982,-0.3757471591234207,-0.26547320297686383,-0.2728412449359894,0.17013425806499072,0.1570255309343338,0.9664334683911875,0.9964869022369385,0.9664334653643891,0.9964868426322937,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.024784882222640192,0.0007380945608019829,0.2355957025574753,0.3530169576406479,0.6796875,1.0,0.15799243010405917,0.1605067029595375,0.050010890105113504,0.04707678593695164,0.15799246770620812,0.16050730645656586,0.0024763977793327285,0.0015380693366751075,-0.0024944900409877846,-0.0015405819285660982,0.8828125,1.0,0.0,0.0,-0.0024944900409877846,-0.0015405819285660982,0.0,0.0,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
