condition,sample_count,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,precision,recall,feature_covariance_trace,reference_covariance_trace,feature_covariance_trace_ratio,feature_effective_rank,reference_effective_rank,requested_class_count,requested_class_min_count,requested_class_max_count,within_class_trace,between_class_trace_per_sample,between_total_scatter_fraction,fid_improvement_vs_baseline,fid_mean_improvement_vs_baseline,fid_covariance_improvement_vs_baseline,precision_change_vs_baseline,recall_change_vs_baseline
ordinary_ig,1000,64.85265183650034,7.554506301879883,57.29814553462046,208.9063181221319,35.70928192138672,0.427,0.7328,190.1589068917443,180.97863489917316,1.0507257223908537,112.65632609873705,135.0580887091798,100.0,3.0,16.0,151.1174084510606,54.01709747633462,0.2840629364108478,0.0,0.0,0.0,0.0,0.0
time_only,1000,62.50755943368824,5.422333717346191,57.08522571634205,206.44211566927243,36.900447845458984,0.443,0.7044,188.31343134372082,180.97863489917316,1.040528521218176,109.34153427923899,135.0580887091798,100.0,3.0,16.0,144.80179791056946,57.86136115398172,0.3072609358829061,2.3450924028120994,2.1321725845336914,0.212919818278408,0.016000000000000014,-0.02839999999999998
projected_temporal_parallel,1000,62.32021014911845,5.427264213562012,56.89294593555644,206.39293414467238,36.726837158203125,0.456,0.7068,188.2879745508194,180.97863489917316,1.0403878593499085,109.30692484024243,135.0580887091798,100.0,3.0,16.0,145.0461873352066,57.61573370825444,0.3059979472704719,2.5324416873818905,2.127242088317871,0.40519959906401937,0.029000000000000026,-0.026000000000000023
projected_temporal_orthogonal,1000,62.02298060675247,5.3599853515625,56.66299525518997,206.4117817351978,37.55634307861328,0.459,0.7066,188.12569512107265,180.97863489917316,1.0394911820717472,108.24636936850926,135.0580887091798,100.0,3.0,16.0,144.41259189337188,58.02426098286297,0.30843347021538675,2.8296712297478734,2.194520950317383,0.6351502794304906,0.03200000000000003,-0.0262
projected,1000,61.859459005650876,5.358695983886719,56.50076302176416,206.51904601842307,37.04521560668945,0.455,0.7058,187.52665668910916,180.97863489917316,1.036181186765963,109.03746252870064,135.0580887091798,100.0,3.0,16.0,143.96615485708344,57.82741807908728,0.30836905589890484,2.993192830849466,2.195810317993164,0.7973825128563021,0.028000000000000025,-0.027000000000000024
